,PRE062-1
LINC01409,0.009672571
NOC2L,0.15488212
PERM1,0.010163797
ENSG00000272512,0.0040921206
HES4,0.44548354
ISG15,0.13463078
AGRN,0.2193576
RNF223,0.0013143135
C1orf159,0.020117376
TNFRSF18,0.049610287
TNFRSF4,0.033809744
SDF4,0.26380587
B3GALT6,0.067167774
UBE2J2,0.19160308
ACAP3,0.051019784
PUSL1,0.050462022
INTS11,0.14239386
CPTP,0.08626468
DVL1,0.07297037
MXRA8,0.10190604
AURKAIP1,0.92506737
CCNL2,0.23215207
MRPL20,0.7674483
VWA1,0.15898648
ATAD3A,0.040178932
SSU72,0.6445546
SSU72-AS1,0.0056376695
FNDC10,0.046668194
ENSG00000272106,0.04621032
MIB2,0.14521644
MMP23B,0.0036745581
CDK11B,0.117025204
SLC35E2B,0.020499032
CDK11A,0.043365452
SLC35E2A,0.03625475
NADK,0.09792955
GNB1,0.3434499
GABRD,0.0
PRKCZ,0.05309548
FAAP20,0.3564548
SKI,0.084113725
RER1,0.6254621
PEX10,0.11143304
PANK4,0.028008763
HES5,0.0
ENSG00000272449,0.078706205
TNFRSF14-AS1,0.017174987
TNFRSF14,0.15304492
PRXL2B,0.047269866
MMEL1,0.0010938755
PRDM16,0.077640645
ENSG00000272235,0.0
ARHGEF16,0.0415596
MEGF6,0.017767357
TPRG1L,0.14741816
WRAP73,0.048290193
SMIM1,0.12509611
LRRC47,0.120537356
CEP104,0.1173691
DFFB,0.013380049
C1orf174,0.0647669
NPHP4,0.016947873
KCNAB2,0.027334087
RPL22,1.5244182
ICMT,0.13812774
ACOT7,0.07335457
TNFRSF25,0.0319413
PLEKHG5,0.012132531
NOL9,0.05365957
ZBTB48,0.04745776
KLHL21,0.06698696
PHF13,0.041452713
THAP3,0.091575146
DNAJC11,0.115136035
CAMTA1,0.6822069
VAMP3,0.2440434
PER3,0.119458035
PARK7,1.2143815
ERRFI1,0.20634551
RERE,0.2708809
ENO1,1.171113
GPR157,0.024538564
MIR34AHG,0.0
H6PD,0.097969174
SPSB1,0.06315942
SLC25A33,0.19402291
PIK3CD,0.028055642
CLSTN1,0.32013363
CTNNBIP1,0.11189517
