,KRP462
LINC01409,0.22449602
NOC2L,0.09784754
PERM1,0.0019369584
ENSG00000272512,0.009360743
HES4,0.05497098
ISG15,0.031854823
AGRN,0.35377416
RNF223,0.007057775
C1orf159,0.17605744
TNFRSF18,0.0040104864
TNFRSF4,0.0064412514
SDF4,0.115801856
B3GALT6,0.016233379
UBE2J2,0.14220168
ACAP3,0.15348624
PUSL1,0.010139566
INTS11,0.1760669
CPTP,0.023486773
DVL1,0.06798305
MXRA8,0.038703438
AURKAIP1,0.13361555
CCNL2,0.44455966
MRPL20,0.16234298
VWA1,0.10397561
ATAD3A,0.057506345
SSU72,0.16911349
SSU72-AS1,0.0025008554
FNDC10,0.004061007
ENSG00000272106,0.008572242
MIB2,0.1002619
MMP23B,0.0056589865
CDK11B,0.21980512
SLC35E2B,0.11604361
CDK11A,0.13002856
SLC35E2A,0.12597428
NADK,0.08724764
GNB1,0.78549707
GABRD,0.0006282776
PRKCZ,0.24780811
FAAP20,0.13950424
SKI,0.3703628
RER1,0.17273797
PEX10,0.03902194
PANK4,0.025494652
HES5,0.0
ENSG00000272449,0.0073876185
TNFRSF14-AS1,0.025774369
TNFRSF14,0.2546623
PRXL2B,0.03288703
MMEL1,0.0036826762
PRDM16,0.4687084
ENSG00000272235,0.0009381946
ARHGEF16,0.11410119
MEGF6,0.05142852
TPRG1L,0.048565432
WRAP73,0.039961617
SMIM1,0.009576189
LRRC47,0.0592602
CEP104,0.14811708
DFFB,0.05823344
C1orf174,0.046512794
NPHP4,0.13928184
KCNAB2,0.11102586
RPL22,0.14278412
ICMT,0.05144061
ACOT7,0.06839871
TNFRSF25,0.032082334
PLEKHG5,0.04283244
NOL9,0.16683823
ZBTB48,0.11371566
KLHL21,0.072212376
PHF13,0.044414323
THAP3,0.029664716
DNAJC11,0.37492335
CAMTA1,0.8063806
VAMP3,0.06960834
PER3,0.48733792
PARK7,0.14220712
ERRFI1,0.501732
RERE,1.7766703
ENO1,0.5002587
GPR157,0.07617112
MIR34AHG,0.10167695
H6PD,0.19394286
SPSB1,0.30343017
SLC25A33,0.2793593
PIK3CD,0.09012511
CLSTN1,0.33532104
CTNNBIP1,0.17357177
LZIC,0.086318694
NMNAT1,0.17761575
RBP7,0.019895375
UBE4B,0.5219967
KIF1B,0.6908302
PGD,0.07326945
CENPS,0.0
DFFA,0.12545212
PEX14,0.40624574
CASZ1,0.43317136
TARDBP,0.009601264
SRM,0.032315917
EXOSC10,0.13189518
MTOR,0.2745172
UBIAD1,0.04047132
FBXO2,0.02822023
FBXO44,0.06270515
FBXO6,0.016243896
MAD2L2,0.025208548
AGTRAP,0.075190805
