,29-10012
LINC01409,0.11656243
NOC2L,0.12899624
PERM1,0.0019078614
ENSG00000272512,0.0044692643
HES4,0.10675605
ISG15,0.10117413
AGRN,0.39877972
RNF223,0.0040814546
C1orf159,0.098318055
TNFRSF18,0.008784512
TNFRSF4,0.01959515
SDF4,0.19476403
B3GALT6,0.039435364
UBE2J2,0.17411508
ACAP3,0.16779107
PUSL1,0.026124578
INTS11,0.1693669
CPTP,0.054360736
DVL1,0.07089295
MXRA8,0.040396478
AURKAIP1,0.4295601
CCNL2,0.4607173
MRPL20,0.3894821
VWA1,0.11339293
ATAD3A,0.059989784
SSU72,0.3045635
SSU72-AS1,0.003798881
FNDC10,0.018706836
ENSG00000272106,0.024544777
MIB2,0.15306039
MMP23B,0.014323136
CDK11B,0.098953
SLC35E2B,0.1088265
CDK11A,0.043164447
SLC35E2A,0.06989522
NADK,0.11159658
GNB1,0.6654747
GABRD,0.00025247256
PRKCZ,0.22281615
FAAP20,0.26443022
SKI,0.32356876
RER1,0.31920895
PEX10,0.06344863
PANK4,0.026680429
HES5,0.00034520583
ENSG00000272449,0.0298555
TNFRSF14-AS1,0.025936045
TNFRSF14,0.25702474
PRXL2B,0.048286133
MMEL1,0.0062947087
PRDM16,0.2752696
ENSG00000272235,0.0
ARHGEF16,0.07340615
MEGF6,0.041700266
TPRG1L,0.09842459
WRAP73,0.04551177
SMIM1,0.05134963
LRRC47,0.09339571
CEP104,0.15276879
DFFB,0.051325805
C1orf174,0.08525376
NPHP4,0.084112
KCNAB2,0.10194542
RPL22,0.8319487
ICMT,0.093707055
ACOT7,0.12322606
TNFRSF25,0.054584827
PLEKHG5,0.051165637
NOL9,0.15985428
ZBTB48,0.12091932
KLHL21,0.06822336
PHF13,0.034727454
THAP3,0.05990761
DNAJC11,0.35473585
CAMTA1,0.72549117
VAMP3,0.13194521
PER3,0.28825715
PARK7,0.51332355
ERRFI1,0.12711716
RERE,1.102449
ENO1,0.787681
GPR157,0.063389
MIR34AHG,0.079150386
H6PD,0.13764203
SPSB1,0.14436111
SLC25A33,0.12047724
PIK3CD,0.121054426
CLSTN1,0.3787172
CTNNBIP1,0.13155518
LZIC,0.11559046
NMNAT1,0.1506224
RBP7,0.066606104
UBE4B,0.34539253
KIF1B,0.49501058
PGD,0.12171236
CENPS,0.018225856
DFFA,0.15242459
PEX14,0.22642492
CASZ1,0.23116449
TARDBP,0.073087685
SRM,0.09631961
EXOSC10,0.12283383
MTOR,0.18270174
UBIAD1,0.050812937
FBXO2,0.06693521
FBXO44,0.088516526
FBXO6,0.0220972
MAD2L2,0.0633153
AGTRAP,0.16792846
C1orf167,0.0075118016
MTHFR,0.13024662
CLCN6,0.08246902
KIAA2013,0.12802349
PLOD1,0.09268569
MFN2,0.14473937
MIIP,0.059262007
TNFRSF1B,0.09346898
VPS13D,0.489094
DHRS3,0.38181418
PDPN,0.005667473
PRDM2,0.26546222
KAZN,0.96625936
TMEM51,0.40299097
FHAD1,0.027730195
EFHD2,0.122364506
CASP9,0.06282015
DNAJC16,0.19675656
DDI2,0.21381177
PLEKHM2,0.14732102
SLC25A34,0.018146632
FBLIM1,0.118534684
SPEN-AS1,0.04861459
SPEN,0.38987154
ZBTB17,0.08640093
SRARP,0.017658435
HSPB7,0.010557631
EPHA2,0.07529888
CPLANE2,0.006243457
FBXO42,0.3043948
SZRD1,0.19043465
NECAP2,0.11022373
NBPF1,0.12131721
CROCC,0.15611407
ENSG00000238142,0.029057426
MFAP2,0.015879596
ATP13A2,0.06374952
SDHB,0.26078945
PADI2,0.029784251
PADI4,0.002237705
RCC2,0.12790306
ARHGEF10L,0.5002811
IGSF21,0.020990236
ALDH4A1,0.11128817
IFFO2,0.058217295
UBR4,0.33079514
EMC1,0.066560395
MRTO4,0.07120349
AKR7A3,0.06157945
AKR7A2,0.20500962
SLC66A1,0.042485725
CAPZB,0.58913755
MICOS10,0.48875868
NBL1,0.08735348
TMCO4,0.2091618
OTUD3,0.071352914
PLA2G5,0.0013207643
CAMK2N1,0.5558861
MUL1,0.054500297
CDA,0.086787485
PINK1,0.15942076
PINK1-AS,0.013911955
DDOST,0.16322109
KIF17,0.009927456
HP1BP3,0.5941036
EIF4G3,0.75992125
ECE1,0.25948286
NBPF3,0.059561525
ALPL,0.058725115
USP48,0.32533407
