,31-10035
LINC01409,0.24388015
NOC2L,0.09052364
PERM1,0.00038847854
ENSG00000272512,0.0015058175
HES4,0.055334345
ISG15,0.03575416
AGRN,0.16024768
RNF223,0.0011620027
C1orf159,0.077655464
TNFRSF18,0.0028566052
TNFRSF4,0.0056863823
SDF4,0.08518769
B3GALT6,0.012516883
UBE2J2,0.12086775
ACAP3,0.14569446
PUSL1,0.008460707
INTS11,0.10581671
CPTP,0.016197683
DVL1,0.032256577
MXRA8,0.01964461
AURKAIP1,0.20216024
CCNL2,0.33329812
MRPL20,0.21649048
VWA1,0.027689872
ATAD3A,0.037095837
SSU72,0.14754298
SSU72-AS1,0.0032772562
FNDC10,0.004320287
ENSG00000272106,0.013686023
MIB2,0.073001735
MMP23B,0.0066644293
CDK11B,0.08608308
SLC35E2B,0.10144785
CDK11A,0.06839565
SLC35E2A,0.13097212
NADK,0.08051957
GNB1,0.7264151
GABRD,0.0010533534
PRKCZ,0.26879007
FAAP20,0.15895316
SKI,0.34054068
RER1,0.1347613
PEX10,0.018690474
PANK4,0.014548796
HES5,0.0010233626
ENSG00000272449,0.016349543
TNFRSF14-AS1,0.011228308
TNFRSF14,0.19749068
PRXL2B,0.01868444
MMEL1,0.0032440107
PRDM16,0.3134306
ENSG00000272235,0.0
ARHGEF16,0.041948784
MEGF6,0.025021227
TPRG1L,0.04736076
WRAP73,0.024065135
SMIM1,0.033583466
LRRC47,0.06073274
CEP104,0.1132582
DFFB,0.059661523
C1orf174,0.028858498
NPHP4,0.06035235
KCNAB2,0.09148986
RPL22,0.42858183
ICMT,0.04822276
ACOT7,0.14742334
TNFRSF25,0.01109126
PLEKHG5,0.03926332
NOL9,0.17488943
ZBTB48,0.052213423
KLHL21,0.040495876
PHF13,0.024019845
THAP3,0.03030095
DNAJC11,0.2981245
CAMTA1,0.6203238
VAMP3,0.074666545
PER3,0.13125806
PARK7,0.22789556
ERRFI1,0.053389687
RERE,1.3753787
ENO1,0.34991664
GPR157,0.047737505
MIR34AHG,0.11878112
H6PD,0.13077283
SPSB1,0.076528564
SLC25A33,0.122788034
PIK3CD,0.10356434
CLSTN1,0.31130412
CTNNBIP1,0.1310778
LZIC,0.09619533
NMNAT1,0.20599395
RBP7,0.038547177
UBE4B,0.40956667
KIF1B,0.55353826
PGD,0.07175263
CENPS,0.008773008
DFFA,0.11042254
PEX14,0.24484123
CASZ1,0.30711213
TARDBP,0.05166333
SRM,0.046991352
EXOSC10,0.09436532
MTOR,0.17811397
UBIAD1,0.035746053
FBXO2,0.015811084
FBXO44,0.03523621
FBXO6,0.020033611
MAD2L2,0.029116228
AGTRAP,0.069781646
C1orf167,0.0058754925
MTHFR,0.09284875
CLCN6,0.076668195
KIAA2013,0.05706824
PLOD1,0.12786621
MFN2,0.12622578
MIIP,0.03031376
TNFRSF1B,0.07726566
VPS13D,0.48547468
DHRS3,0.28176412
PDPN,0.008508383
PRDM2,0.21188892
KAZN,1.1732241
TMEM51,0.4170145
FHAD1,0.04932158
EFHD2,0.05371959
CASP9,0.0419306
DNAJC16,0.18169786
DDI2,0.23327744
PLEKHM2,0.11601743
SLC25A34,0.010966108
FBLIM1,0.06288391
SPEN-AS1,0.038927823
SPEN,0.35796723
ZBTB17,0.062238988
SRARP,0.0054452387
HSPB7,0.0051258574
EPHA2,0.04127505
CPLANE2,0.0055302815
FBXO42,0.4276144
SZRD1,0.17119715
NECAP2,0.058144115
NBPF1,0.07078431
CROCC,0.19825059
