,Sample1157-EO3
LINC01409,0.028259965
NOC2L,0.10899439
PERM1,0.005781703
ENSG00000272512,0.01640601
HES4,0.30490965
ISG15,0.1476852
AGRN,0.35339558
RNF223,0.0015770448
C1orf159,0.014606119
TNFRSF18,0.0081316
TNFRSF4,0.0135082835
SDF4,0.2931856
B3GALT6,0.057859555
UBE2J2,0.19174287
ACAP3,0.07795826
PUSL1,0.045615736
INTS11,0.15259427
CPTP,0.14155664
DVL1,0.10036034
MXRA8,0.02418791
AURKAIP1,1.109985
CCNL2,0.1789556
MRPL20,0.918572
VWA1,0.13419095
ATAD3A,0.038604077
SSU72,0.6118904
SSU72-AS1,0.010784842
FNDC10,0.027180811
ENSG00000272106,0.05307985
MIB2,0.1361502
MMP23B,0.003290117
CDK11B,0.113068976
SLC35E2B,0.033689328
CDK11A,0.030608976
SLC35E2A,0.031545684
NADK,0.10668886
GNB1,0.42026952
GABRD,0.0
PRKCZ,0.07709502
FAAP20,0.4215885
SKI,0.115962505
RER1,0.5835398
PEX10,0.11436449
PANK4,0.05283529
HES5,0.0
ENSG00000272449,0.08145025
TNFRSF14-AS1,0.036893144
TNFRSF14,0.18524961
PRXL2B,0.090151764
MMEL1,0.013584339
PRDM16,0.09776465
ENSG00000272235,0.0
ARHGEF16,0.04902255
MEGF6,0.018982911
TPRG1L,0.1779434
WRAP73,0.055249095
SMIM1,0.22342794
LRRC47,0.09043127
CEP104,0.1226798
DFFB,0.010806623
C1orf174,0.09353891
NPHP4,0.034862973
KCNAB2,0.047407415
RPL22,2.3157682
ICMT,0.18199025
ACOT7,0.1889225
TNFRSF25,0.019724362
PLEKHG5,0.0049832244
NOL9,0.08325599
ZBTB48,0.05226603
KLHL21,0.07744737
PHF13,0.058364127
THAP3,0.09908575
DNAJC11,0.17065482
CAMTA1,0.7232516
VAMP3,0.1845508
PER3,0.10735595
PARK7,1.086036
ERRFI1,0.29814503
RERE,0.3075657
ENO1,1.4007853
GPR157,0.02531914
MIR34AHG,0.0
H6PD,0.06644255
SPSB1,0.037261166
SLC25A33,0.23357897
PIK3CD,0.021952521
CLSTN1,0.34885
CTNNBIP1,0.122646086
LZIC,0.14640261
NMNAT1,0.04059884
RBP7,0.104542926
UBE4B,0.07825978
KIF1B,0.11403742
PGD,0.12581635
CENPS,0.08141596
DFFA,0.13381702
PEX14,0.04977406
CASZ1,0.07433129
TARDBP,0.1882074
SRM,0.16445412
EXOSC10,0.08521558
MTOR,0.07273525
UBIAD1,0.047897585
FBXO2,0.11681166
FBXO44,0.10270785
FBXO6,0.026502118
MAD2L2,0.10285918
AGTRAP,0.17848791
C1orf167,0.010756096
MTHFR,0.0608812
CLCN6,0.025646739
KIAA2013,0.17091574
PLOD1,0.040888198
MFN2,0.17349109
MIIP,0.04432829
TNFRSF1B,0.056193866
VPS13D,0.1479303
DHRS3,0.2926117
PDPN,0.0
PRDM2,0.108052984
KAZN,0.13420708
TMEM51,0.11735179
FHAD1,0.0
EFHD2,0.1435587
CASP9,0.07518399
DNAJC16,0.062252823
DDI2,0.060223326
PLEKHM2,0.10224697
SLC25A34,0.019897075
FBLIM1,0.019414581
SPEN-AS1,0.07196061
SPEN,0.15576662
ZBTB17,0.04117152
SRARP,0.030991627
HSPB7,0.030501287
EPHA2,0.033540837
CPLANE2,0.0039407816
FBXO42,0.05515578
SZRD1,0.24522023
NECAP2,0.11902661
NBPF1,0.0155832525
CROCC,0.020209506
ENSG00000238142,0.10532138
MFAP2,0.0061911317
ATP13A2,0.066835806
SDHB,0.5537106
PADI2,0.068841
PADI4,0.0
RCC2,0.10049261
ARHGEF10L,0.099909745
IGSF21,0.004698587
ALDH4A1,0.46194354
IFFO2,0.011100222
UBR4,0.20811956
EMC1,0.06542746
MRTO4,0.06587886
AKR7A3,0.23531681
AKR7A2,0.5474649
SLC66A1,0.038351934
CAPZB,0.57321274
MICOS10,1.4183186
NBL1,0.098614275
TMCO4,0.0633898
OTUD3,0.03216103
PLA2G5,0.0
CAMK2N1,0.6634597
MUL1,0.10235677
CDA,0.1647742
PINK1,0.4158725
PINK1-AS,0.002811443
DDOST,0.24933612
KIF17,0.007944187
HP1BP3,0.45556867
EIF4G3,0.110299654
ECE1,0.18924105
NBPF3,0.013773672
ALPL,0.05245793
USP48,0.12692457
HSPG2,0.2109927
CDC42,0.8409948
WNT4,0.0013676736
ZBTB40,0.048980165
C1QA,0.03426908
C1QC,0.022649752
C1QB,0.024132587
EPHB2,0.005176657
KDM1A,0.1263646
LUZP1,0.13075984
HNRNPR,0.33357772
ZNF436,0.011633413
TCEA3,0.45003974
ASAP3,0.0412322
ID3,0.44099817
RPL11,2.9824698
ELOA,0.07138589
PITHD1,0.1537723
LYPLA2,0.25174475
GALE,0.08910338
HMGCL,0.34945142
FUCA1,0.20944293
PNRC2,0.3552154
SRSF10,0.30889022
STPG1,0.026826726
