,Sample1153-EO3
LINC01409,0.017127795
NOC2L,0.12773454
PERM1,0.006154289
ENSG00000272512,0.008991204
HES4,0.33395448
ISG15,0.21482807
AGRN,0.34913453
RNF223,0.0020425303
C1orf159,0.015015449
TNFRSF18,0.01278277
TNFRSF4,0.031256896
SDF4,0.27273878
B3GALT6,0.07262198
UBE2J2,0.16937546
ACAP3,0.05662182
PUSL1,0.05042997
INTS11,0.1580438
CPTP,0.1041944
DVL1,0.08156656
MXRA8,0.024374964
AURKAIP1,0.8473658
CCNL2,0.1967974
MRPL20,0.74745643
VWA1,0.18149655
ATAD3A,0.065286934
SSU72,0.5395373
SSU72-AS1,0.0016473355
FNDC10,0.0258039
ENSG00000272106,0.03962195
MIB2,0.14644797
MMP23B,0.0023024653
CDK11B,0.10888929
SLC35E2B,0.038812816
CDK11A,0.055954333
SLC35E2A,0.024452444
NADK,0.08755853
GNB1,0.45097527
GABRD,0.0
PRKCZ,0.064945064
FAAP20,0.33059552
SKI,0.1360338
RER1,0.57037354
PEX10,0.06788789
PANK4,0.037465807
HES5,0.0
ENSG00000272449,0.045747012
TNFRSF14-AS1,0.011936584
TNFRSF14,0.15888532
PRXL2B,0.054511372
MMEL1,0.0039597065
PRDM16,0.06092145
ENSG00000272235,0.0
ARHGEF16,0.047953986
MEGF6,0.007858694
TPRG1L,0.11216198
WRAP73,0.05562977
SMIM1,0.08537968
LRRC47,0.087931275
CEP104,0.08327917
DFFB,0.007193731
C1orf174,0.068077795
NPHP4,0.020463988
KCNAB2,0.042722967
RPL22,1.9636098
ICMT,0.11550104
ACOT7,0.09394899
TNFRSF25,0.016192988
PLEKHG5,0.010849844
NOL9,0.06474118
ZBTB48,0.065377064
KLHL21,0.110933915
PHF13,0.07055684
THAP3,0.04991992
DNAJC11,0.103834376
CAMTA1,0.74650395
VAMP3,0.1717982
PER3,0.059587494
PARK7,0.9597958
ERRFI1,0.51081264
RERE,0.25097921
ENO1,1.1824015
GPR157,0.018999241
MIR34AHG,0.0
H6PD,0.0696954
SPSB1,0.09938342
SLC25A33,0.21693605
PIK3CD,0.032912847
CLSTN1,0.2955782
CTNNBIP1,0.09099353
LZIC,0.10458413
NMNAT1,0.036935873
RBP7,0.1572953
UBE4B,0.068717666
KIF1B,0.15484627
PGD,0.12946555
CENPS,0.023643363
DFFA,0.10143269
PEX14,0.030383864
CASZ1,0.086508825
TARDBP,0.20180766
SRM,0.18529877
EXOSC10,0.06312706
MTOR,0.04373865
UBIAD1,0.061849568
FBXO2,0.10649669
FBXO44,0.08265483
FBXO6,0.020197826
MAD2L2,0.13467287
AGTRAP,0.17217577
C1orf167,0.0043977653
MTHFR,0.062383134
CLCN6,0.044780802
KIAA2013,0.13756387
PLOD1,0.06269626
MFN2,0.18162175
MIIP,0.056588043
TNFRSF1B,0.119211145
VPS13D,0.13723432
DHRS3,0.3072824
PDPN,0.002139706
PRDM2,0.11255855
KAZN,0.087111406
TMEM51,0.23188876
FHAD1,0.004498141
EFHD2,0.16749331
CASP9,0.041590262
DNAJC16,0.086555764
DDI2,0.056016885
PLEKHM2,0.08464212
SLC25A34,0.006101476
FBLIM1,0.031706862
SPEN-AS1,0.033220332
SPEN,0.19680534
ZBTB17,0.054348215
SRARP,0.04444882
HSPB7,0.04340312
EPHA2,0.37304565
CPLANE2,0.0032679706
FBXO42,0.043501858
SZRD1,0.22031562
NECAP2,0.15432031
NBPF1,0.027161151
CROCC,0.025377873
ENSG00000238142,0.056244954
MFAP2,0.0053449958
ATP13A2,0.06213152
SDHB,0.35175774
PADI2,0.044469625
PADI4,0.0
RCC2,0.0865107
ARHGEF10L,0.053478394
IGSF21,0.022557415
ALDH4A1,0.30449912
IFFO2,0.011723146
UBR4,0.20965165
EMC1,0.07294691
MRTO4,0.08475638
AKR7A3,0.112696186
AKR7A2,0.31456628
SLC66A1,0.038886193
CAPZB,0.5527646
MICOS10,1.254581
NBL1,0.12896465
TMCO4,0.037395816
OTUD3,0.04317334
PLA2G5,0.0
CAMK2N1,0.63161093
MUL1,0.11860082
CDA,0.14738664
PINK1,0.30958688
PINK1-AS,0.0021669897
DDOST,0.22028093
KIF17,0.010275138
HP1BP3,0.5088196
EIF4G3,0.14318399
ECE1,0.18783854
NBPF3,0.008344113
ALPL,0.033943526
USP48,0.11663106
HSPG2,0.35775575
CDC42,1.1295403
WNT4,0.0009451423
ZBTB40,0.031447113
C1QA,0.19176239
C1QC,0.1354369
C1QB,0.14315216
EPHB2,0.0111133605
KDM1A,0.09624524
LUZP1,0.1280276
HNRNPR,0.35938728
ZNF436,0.015757315
TCEA3,0.21853551
ASAP3,0.034985516
ID3,0.41708347
RPL11,2.7679534
ELOA,0.07056171
PITHD1,0.16603401
LYPLA2,0.24476086
GALE,0.10505599
HMGCL,0.18608966
FUCA1,0.15551639
PNRC2,0.49695644
SRSF10,0.4110467
STPG1,0.033643823
NIPAL3,0.05862508
RCAN3,0.062728845
SRRM1,0.5189371
CLIC4,0.29118854
RUNX3,0.058398664
SYF2,0.4696827
RSRP1,0.5002217
TMEM50A,0.5393832
MACO1,0.11172593
LDLRAP1,0.058839235
MAN1C1,0.0705712
ENSG00000233478,0.0
SELENON,0.22505929
MTFR1L,0.1849772
PAQR7,0.12740484
STMN1,0.30789575
PAFAH2,0.03656203
PDIK1L,0.016466519
FAM110D,0.09691353
ZNF593OS,0.0
ZNF593,0.49046347
CEP85,0.019743834
SH3BGRL3,0.92949104
UBXN11,0.054545905
CD52,0.18623348
DHDDS,0.07284662
HMGN2,0.72045475
RPS6KA1,0.07331256
ARID1A,0.20073673
PIGV,0.030603442
ZDHHC18,0.038668506
SFN,0.08197131
GPN2,0.047585044
GPATCH3,0.020720623
NUDC,0.4160399
KDF1,0.038481504
TRNP1,0.08345892
SLC9A1,0.05792259
WDTC1,0.06305357
TMEM222,0.112505704
SYTL1,0.037709717
MAP3K6,0.13562135
FCN3,0.21763085
CD164L2,0.0039776377
WASF2,0.32512364
AHDC1,0.08614461
FGR,0.031679254
IFI6,0.16760768
FAM76A,0.078336045
STX12,0.25313932
PPP1R8,0.05603907
THEMIS2,0.05304293
RPA2,0.110983044
XKR8,0.022319758
EYA3,0.08291097
PTAFR,0.01708183
DNAJC8,0.4137697
ATP5IF1,1.3891902
ENSG00000270605,0.011511008
MED18,0.016864995
PHACTR4,0.18555945
RCC1,0.014091223
TRNAU1AP,0.088110365
SNHG12,0.106057346
TAF12,0.1228789
RAB42,0.0013610709
GMEB1,0.05247163
YTHDF2,0.2330954
EPB41,0.11079814
TMEM200B,0.010952172
SRSF4,0.25905642
MECR,0.053983204
PTPRU,0.021326963
LAPTM5,0.21317914
SDC3,0.09331501
PUM1,0.22534971
NKAIN1,0.0
SNRNP40,0.14307131
ZCCHC17,0.11139735
FABP3,0.379468
SERINC2,0.34060013
TINAGL1,0.5011031
PEF1,0.23245196
COL16A1,0.009875436
PTP4A2,0.55911976
KHDRBS1,0.43120927
TMEM39B,0.02792315
KPNA6,0.14878449
TXLNA,0.13976644
CCDC28B,0.04005797
IQCC,0.004710278
TMEM234,0.05591009
EIF3I,0.3659966
FAM167B,0.14954394
LCK,0.043768633
HDAC1,0.19219603
MARCKSL1,0.19697912
FAM229A,0.10365309
BSDC1,0.12049577
ZBTB8A,0.036044557
ZBTB8OS,0.18050614
RBBP4,0.29317468
SYNC,0.053805772
NHSL3,0.18928121
YARS1,0.050566785
S100PBP,0.05149586
TMEM54,0.06251133
RNF19B,0.0910728
AK2,0.3996292
ZNF362,0.069092326
PHC2,0.37820387
SMIM12,0.257005
GJA4,0.053995285
ENSG00000284773,0.0074835625
ZMYM6,0.055053562
ZMYM1,0.03354868
SFPQ,0.82017523
ZMYM4,0.11967475
KIAA0319L,0.116837345
TFAP2E-AS1,0.008923242
PSMB2,0.40552747
C1orf216,0.014369444
CLSPN,0.0012849502
AGO4,0.03654494
AGO1,0.06272973
AGO3,0.107895255
ADPRS,0.118548274
COL8A2,0.002144727
TRAPPC3,0.20430699
MAP7D1,0.19763106
THRAP3,0.26745117
SH3D21,0.013345803
EVA1B,0.26079476
STK40,0.11627725
LSM10,0.17905158
OSCP1,0.034181844
MRPS15,0.35300905
CSF3R,0.0068417047
LITATS1,0.019652534
ZC3H12A,0.101217315
MEAF6,0.36391234
SNIP1,0.07938808
DNALI1,0.05698069
GNL2,0.067374095
AIRIM,0.03466327
CDCA8,0.0
YRDC,0.10138123
C1orf122,0.340146
MTF1,0.041340414
INPP5B,0.01820156
SF3A3,0.1291987
FHL3,0.042719074
UTP11,0.15025158
RRAGC,0.09710818
MYCBP,0.070526555
RHBDL2,0.0027414334
AKIRIN1,0.38900867
NDUFS5,1.5473961
MACF1,0.42483982
PABPC4,0.30374673
HEYL,0.008345484
PPIE,0.1270649
TRIT1,0.027274393
MFSD2A,0.022488143
CAP1,0.4311267
PPT1,0.24654116
RLF,0.109052
ZMPSTE24-DT,0.042498704
ZMPSTE24,0.19529475
COL9A2,0.06685309
SMAP2,0.17361365
ZNF684,0.029427927
RIMS3,0.0030870738
NFYC,0.089990444
CITED4,0.20288359
CTPS1,0.029515665
SCMH1,0.054565504
HIVEP3,0.028797839
FOXJ3,0.098321006
PPCS,0.22730444
CCDC30,0.015375549
PPIH,0.13383442
YBX1,1.101463
P3H1,0.019130409
C1orf50,0.04007465
SVBP,0.113395974
ERMAP,0.017592551
ZNF691,0.020427091
SLC2A1,0.10372593
CFAP144,0.0043596285
EBNA1BP2,0.15408371
TMEM125,0.039471883
C1orf210,0.05481851
TIE1,0.071892254
ELOVL1,0.13827556
MED8,0.116650894
SZT2,0.043794762
HYI,0.21603651
PTPRF,0.16008882
KDM4A,0.0135176685
ST3GAL3,0.031117886
ARTN,0.014460959
IPO13,0.06736964
DPH2,0.026656432
ATP6V0B,1.2523869
B4GALT2,0.05148101
CCDC24,0.039744772
SLC6A9,0.007937573
DMAP1,0.121542
ERI3,0.19997998
RNF220,0.07559396
TMEM53,0.09603204
KIF2C,0.0
RPS8,2.5100014
PLK3,0.1255671
BTBD19,0.011900835
EIF2B3,0.06753568
HECTD3,0.043462843
UROD,0.15269889
MUTYH,0.042867728
TOE1,0.039005548
PRDX1,1.4708636
AKR1A1,0.34828854
NASP,0.279826
CCDC17,0.005118322
GPBP1L1,0.1935265
TMEM69,0.06618358
IPP,0.038539324
MAST2,0.01404061
PIK3R3,0.097541384
TSPAN1,0.322548
POMGNT1,0.115690894
LURAP1,0.059365593
LRRC41,0.13538033
UQCRH,1.4657786
NSUN4,0.03729227
FAAH,0.054351367
MKNK1,0.08179523
MOB3C,0.04456179
ATPAF1,0.15497558
EFCAB14,0.34484738
CYP4B1,0.008137664
TAL1,0.05337982
CMPK1,0.29245412
TRABD2B,0.08369599
