,Sample1157-EO2
LINC01409,0.012373818
NOC2L,0.12655327
PERM1,0.001783541
ENSG00000272512,0.003348315
HES4,0.18542922
ISG15,0.0941159
AGRN,0.36985245
RNF223,0.0
C1orf159,0.020138897
TNFRSF18,0.0038778302
TNFRSF4,0.010082926
SDF4,0.28915712
B3GALT6,0.061082818
UBE2J2,0.15699616
ACAP3,0.07768235
PUSL1,0.026871704
INTS11,0.14277345
CPTP,0.09836102
DVL1,0.105210096
MXRA8,0.032902494
AURKAIP1,0.95494956
CCNL2,0.220524
MRPL20,0.722013
VWA1,0.1619367
ATAD3A,0.055115663
SSU72,0.5081563
SSU72-AS1,0.0035113185
FNDC10,0.03662977
ENSG00000272106,0.048859756
MIB2,0.12580329
MMP23B,0.004142672
CDK11B,0.090305
SLC35E2B,0.058442418
CDK11A,0.036543958
SLC35E2A,0.056045774
NADK,0.08817085
GNB1,0.40773585
GABRD,0.0
PRKCZ,0.06849382
FAAP20,0.30017707
SKI,0.10424081
RER1,0.44103885
PEX10,0.08003674
PANK4,0.04396317
HES5,0.0
ENSG00000272449,0.065637864
TNFRSF14-AS1,0.019603604
TNFRSF14,0.17478544
PRXL2B,0.08631601
MMEL1,0.0049314676
PRDM16,0.07318761
ENSG00000272235,0.0
ARHGEF16,0.05443771
MEGF6,0.013353156
TPRG1L,0.19822153
WRAP73,0.041472055
SMIM1,0.18041632
LRRC47,0.083617784
CEP104,0.08400556
DFFB,0.016840452
C1orf174,0.07455102
NPHP4,0.027838018
KCNAB2,0.050674055
RPL22,1.9421984
ICMT,0.16449063
ACOT7,0.23049107
TNFRSF25,0.017053401
PLEKHG5,0.00968099
NOL9,0.06967402
ZBTB48,0.05461812
KLHL21,0.07824597
PHF13,0.030012922
THAP3,0.07660485
DNAJC11,0.18346813
CAMTA1,0.63023007
VAMP3,0.19594193
PER3,0.16024029
PARK7,1.0776953
ERRFI1,0.47308898
RERE,0.3337919
ENO1,1.3138131
GPR157,0.022125103
MIR34AHG,0.005023081
H6PD,0.0749629
SPSB1,0.008394317
SLC25A33,0.19923443
PIK3CD,0.023125984
CLSTN1,0.37188408
CTNNBIP1,0.07433368
LZIC,0.09874487
NMNAT1,0.049942393
RBP7,0.091362394
UBE4B,0.09141989
KIF1B,0.12958066
PGD,0.12663606
CENPS,0.07462582
DFFA,0.13617714
PEX14,0.049187
CASZ1,0.10408632
TARDBP,0.20187628
SRM,0.13365145
EXOSC10,0.07077052
MTOR,0.06594848
UBIAD1,0.042956263
FBXO2,0.12395403
FBXO44,0.13001032
FBXO6,0.030593907
MAD2L2,0.08432503
AGTRAP,0.18074708
C1orf167,0.004981197
MTHFR,0.074951984
CLCN6,0.05299287
KIAA2013,0.18042037
PLOD1,0.0767893
MFN2,0.15088592
MIIP,0.050319
TNFRSF1B,0.03407419
VPS13D,0.14246112
DHRS3,0.3362131
PDPN,0.0
PRDM2,0.103967674
KAZN,0.12682034
TMEM51,0.11623092
FHAD1,0.0
EFHD2,0.11120836
CASP9,0.04824946
DNAJC16,0.08419365
DDI2,0.10321577
PLEKHM2,0.08031751
SLC25A34,0.029060125
FBLIM1,0.011498927
SPEN-AS1,0.06713821
SPEN,0.17599602
ZBTB17,0.042159025
SRARP,0.021175718
HSPB7,0.017056262
EPHA2,0.03495671
CPLANE2,0.00587475
FBXO42,0.043396167
SZRD1,0.18259059
NECAP2,0.12553886
NBPF1,0.04565438
CROCC,0.03061608
ENSG00000238142,0.052263677
MFAP2,0.0068058176
ATP13A2,0.061789013
SDHB,0.53587306
PADI2,0.049230937
PADI4,0.0
RCC2,0.082449906
ARHGEF10L,0.14097407
IGSF21,0.0
ALDH4A1,0.45573285
IFFO2,0.017175898
UBR4,0.20980175
EMC1,0.07655218
MRTO4,0.071013615
AKR7A3,0.46624368
AKR7A2,0.5572895
SLC66A1,0.027108565
CAPZB,0.5095229
MICOS10,1.1683371
NBL1,0.13165297
TMCO4,0.04927236
OTUD3,0.021795137
PLA2G5,0.0
CAMK2N1,0.5881317
MUL1,0.08986056
CDA,0.117009066
PINK1,0.32640165
PINK1-AS,0.0030959514
DDOST,0.23704408
KIF17,0.004930432
HP1BP3,0.46580666
EIF4G3,0.10010129
ECE1,0.19472133
NBPF3,0.00611906
ALPL,0.10578402
USP48,0.12220416
HSPG2,0.23428352
CDC42,0.7642388
WNT4,0.00025063197
ZBTB40,0.046923757
C1QA,0.023332637
C1QC,0.014658541
C1QB,0.014761616
EPHB2,0.011855951
KDM1A,0.13227105
LUZP1,0.0819348
HNRNPR,0.299293
ZNF436,0.014648007
TCEA3,0.39025608
ASAP3,0.044460084
ID3,0.40138987
RPL11,2.6136372
ELOA,0.08320383
PITHD1,0.119669124
LYPLA2,0.20302275
GALE,0.094562225
