,Sample1158-EO1
LINC01409,0.036642738
NOC2L,0.15406537
PERM1,0.013357634
ENSG00000272512,0.056951635
HES4,0.5407075
ISG15,0.15093423
AGRN,0.45435646
RNF223,0.0009929598
C1orf159,0.054066412
TNFRSF18,0.0
TNFRSF4,0.056838136
SDF4,0.33043042
B3GALT6,0.06406406
UBE2J2,0.17611384
ACAP3,0.06389786
PUSL1,0.036878355
INTS11,0.20782062
CPTP,0.11600289
DVL1,0.1209944
MXRA8,0.04138163
AURKAIP1,0.7486578
CCNL2,0.34386414
MRPL20,0.68370295
VWA1,0.2540296
ATAD3A,0.056900717
SSU72,0.5050931
SSU72-AS1,0.0
FNDC10,0.029696079
ENSG00000272106,0.06824081
MIB2,0.13786858
MMP23B,0.0
CDK11B,0.18256098
SLC35E2B,0.024871716
CDK11A,0.0800469
SLC35E2A,0.09307618
NADK,0.09810672
GNB1,0.44246203
GABRD,0.0
PRKCZ,0.05379162
FAAP20,0.33391735
SKI,0.14216574
RER1,0.4607296
PEX10,0.08864028
PANK4,0.05896258
HES5,0.0
ENSG00000272449,0.08164671
TNFRSF14-AS1,0.025542894
TNFRSF14,0.20419793
PRXL2B,0.09134437
MMEL1,0.015663937
PRDM16,0.13028179
ENSG00000272235,0.0
ARHGEF16,0.07915041
MEGF6,0.018171437
TPRG1L,0.13352664
WRAP73,0.08043058
SMIM1,0.05842195
LRRC47,0.10931622
CEP104,0.111964576
DFFB,0.011309397
C1orf174,0.08312618
NPHP4,0.027861571
KCNAB2,0.040965304
RPL22,1.8151248
ICMT,0.13915141
ACOT7,0.06312404
TNFRSF25,0.04298279
PLEKHG5,0.014125041
NOL9,0.08764274
ZBTB48,0.076854035
KLHL21,0.18529397
PHF13,0.03798585
THAP3,0.07326109
DNAJC11,0.2538717
CAMTA1,0.57604444
VAMP3,0.21100366
PER3,0.23111117
PARK7,0.9981666
ERRFI1,0.4709544
RERE,0.36335534
ENO1,1.2667003
GPR157,0.018409224
MIR34AHG,0.0
H6PD,0.11573301
SPSB1,0.011739045
SLC25A33,0.23414567
