,KRP461
LINC01409,0.20024844
NOC2L,0.12242931
PERM1,0.0018683005
ENSG00000272512,0.0018444986
HES4,0.035466924
ISG15,0.016201075
AGRN,0.19113435
RNF223,0.0
C1orf159,0.11620422
TNFRSF18,0.0
TNFRSF4,0.0
SDF4,0.14542308
B3GALT6,0.002684013
UBE2J2,0.14079975
ACAP3,0.16401607
PUSL1,0.007385743
INTS11,0.19416226
CPTP,0.02178075
DVL1,0.062376358
MXRA8,0.012169064
AURKAIP1,0.11601038
CCNL2,0.46181765
MRPL20,0.12106949
VWA1,0.036452647
ATAD3A,0.056546
SSU72,0.12626216
SSU72-AS1,0.0028183626
FNDC10,0.0084073115
ENSG00000272106,0.014494957
MIB2,0.13845006
MMP23B,0.0022006128
CDK11B,0.19328278
SLC35E2B,0.11965418
CDK11A,0.11623718
SLC35E2A,0.13462348
NADK,0.10259628
GNB1,0.546827
GABRD,0.0005439768
PRKCZ,0.3820884
FAAP20,0.11100412
SKI,0.22006103
RER1,0.1775965
PEX10,0.052079502
PANK4,0.036334176
HES5,0.0
ENSG00000272449,0.004709344
TNFRSF14-AS1,0.033787027
TNFRSF14,0.3591338
PRXL2B,0.009932562
MMEL1,0.00013996102
PRDM16,0.45243344
ENSG00000272235,0.00059349067
ARHGEF16,0.09607719
MEGF6,0.05565192
TPRG1L,0.079816796
WRAP73,0.03265948
SMIM1,0.006448464
LRRC47,0.06346145
CEP104,0.14542283
DFFB,0.06428687
C1orf174,0.03718887
NPHP4,0.13261457
KCNAB2,0.21049175
RPL22,0.10622034
ICMT,0.026681058
ACOT7,0.10173717
TNFRSF25,0.028086584
PLEKHG5,0.030441022
NOL9,0.1557173
ZBTB48,0.14232802
KLHL21,0.0697176
PHF13,0.039182797
THAP3,0.041900143
DNAJC11,0.45890164
CAMTA1,0.74701685
VAMP3,0.05881678
PER3,0.5104597
PARK7,0.11254871
ERRFI1,0.38230973
RERE,1.8904924
ENO1,0.3253494
GPR157,0.06425524
MIR34AHG,0.05475541
H6PD,0.11341986
SPSB1,0.04489479
SLC25A33,0.32294697
PIK3CD,0.084426366
CLSTN1,0.33055645
CTNNBIP1,0.1179462
LZIC,0.07180387
NMNAT1,0.14669354
RBP7,0.010006675
UBE4B,0.58511525
KIF1B,0.77797884
PGD,0.080818966
CENPS,0.0
DFFA,0.16193074
PEX14,0.46023136
CASZ1,0.4406531
TARDBP,0.005754243
SRM,0.019839924
EXOSC10,0.13459566
MTOR,0.2802848
UBIAD1,0.027616294
FBXO2,0.024207748
FBXO44,0.07438334
FBXO6,0.011675088
MAD2L2,0.02909728
AGTRAP,0.076533794
C1orf167,0.002810832
MTHFR,0.2904383
CLCN6,0.124847405
KIAA2013,0.06124485
PLOD1,0.10418164
MFN2,0.14437272
MIIP,0.040768713
TNFRSF1B,0.03724545
VPS13D,0.8465535
DHRS3,0.40636036
PDPN,0.0017329017
PRDM2,0.28836754
KAZN,1.0015482
TMEM51,0.64235127
FHAD1,0.036368925
EFHD2,0.031185081
CASP9,0.073812135
DNAJC16,0.21370514
DDI2,0.26870817
PLEKHM2,0.18055508
SLC25A34,0.010922239
FBLIM1,0.020445067
SPEN-AS1,0.04592044
SPEN,0.6569994
ZBTB17,0.09108961
SRARP,0.0073211915
HSPB7,0.007936227
EPHA2,0.048376143
CPLANE2,0.00522619
FBXO42,0.39999765
SZRD1,0.14609873
NECAP2,0.039276384
NBPF1,0.08276198
CROCC,0.19774027
ENSG00000238142,0.0028765087
MFAP2,0.0013573152
ATP13A2,0.043746535
SDHB,0.2862875
PADI2,0.019008217
PADI4,0.0069156648
RCC2,0.072628014
ARHGEF10L,0.779107
IGSF21,0.0028638158
ALDH4A1,0.0
IFFO2,0.052184477
UBR4,0.50467944
EMC1,0.060803548
MRTO4,0.027293483
AKR7A3,0.047180198
AKR7A2,0.06540751
SLC66A1,0.041750845
CAPZB,0.5446226
MICOS10,0.0
NBL1,0.017091451
TMCO4,0.3018109
OTUD3,0.09224709
PLA2G5,0.0006576785
CAMK2N1,0.43728992
MUL1,0.038523924
CDA,0.018051539
PINK1,0.09040029
PINK1-AS,0.014295964
DDOST,0.06984078
KIF17,0.0037852232
HP1BP3,0.5769888
EIF4G3,0.8911762
ECE1,0.30299318
NBPF3,0.07387218
ALPL,0.17912838
USP48,0.44609523
HSPG2,0.17283557
CDC42,0.288007
WNT4,0.0018691552
ZBTB40,0.20527935
C1QA,0.0036980582
C1QC,0.0005837052
C1QB,0.0
EPHB2,0.054124024
KDM1A,0.24650006
LUZP1,0.5018896
HNRNPR,0.29496062
ZNF436,0.0131396
TCEA3,0.24928752
ASAP3,0.23066099
ID3,0.05053388
RPL11,0.32754108
ELOA,0.065733135
PITHD1,0.055501554
LYPLA2,0.052908067
GALE,0.12729773
HMGCL,0.121053316
FUCA1,0.048304547
PNRC2,0.10697572
SRSF10,0.4533442
STPG1,0.0484119
NIPAL3,0.13632716
RCAN3,0.03949843
SRRM1,0.38601092
CLIC4,0.69294256
RUNX3,0.0031037524
SYF2,0.07421053
RSRP1,0.6687956
TMEM50A,0.07494419
MACO1,0.3077854
LDLRAP1,0.05667891
MAN1C1,0.44751287
ENSG00000233478,0.026314076
SELENON,0.00946019
MTFR1L,0.19200857
PAQR7,0.14802569
STMN1,0.042411532
PAFAH2,0.072300814
PDIK1L,0.025574267
FAM110D,0.0063493634
ZNF593OS,0.0
ZNF593,0.035368223
CEP85,0.04827277
SH3BGRL3,0.03239222
UBXN11,0.07018668
CD52,0.0
DHDDS,0.15462483
HMGN2,0.17660116
RPS6KA1,0.12126933
ARID1A,0.5032363
PIGV,0.02404668
ZDHHC18,0.043314703
SFN,0.00037951977
GPN2,0.08213316
GPATCH3,0.036451187
NUDC,0.16005316
KDF1,0.020992212
TRNP1,0.018870398
SLC9A1,0.068263784
WDTC1,0.19155903
TMEM222,0.07010623
SYTL1,0.010064091
MAP3K6,0.012559926
FCN3,0.011433714
CD164L2,0.0013559826
WASF2,0.3661685
AHDC1,0.1522439
FGR,0.004039539
IFI6,0.027996296
FAM76A,0.09105176
STX12,0.30623478
PPP1R8,0.04911866
THEMIS2,0.010701352
RPA2,0.04026737
XKR8,0.0068434747
EYA3,0.5887421
PTAFR,0.035553392
DNAJC8,0.124242745
ATP5IF1,0.20707975
ENSG00000270605,0.047206596
MED18,0.0135627985
PHACTR4,0.7246954
RCC1,0.06623088
TRNAU1AP,0.12699795
SNHG12,0.02501684
TAF12,0.09780895
RAB42,0.0011196655
GMEB1,0.1364824
YTHDF2,0.23127386
EPB41,0.5363062
TMEM200B,0.0067588333
SRSF4,0.84278494
MECR,0.089355566
PTPRU,0.018381005
LAPTM5,0.0074811964
SDC3,0.0057454566
PUM1,0.85992223
NKAIN1,0.010105547
SNRNP40,0.10768131
ZCCHC17,0.17590944
FABP3,0.06949875
SERINC2,0.19167042
TINAGL1,0.09136065
PEF1,0.062639505
COL16A1,0.008030926
PTP4A2,0.08398608
KHDRBS1,0.3616531
TMEM39B,0.05715664
KPNA6,0.32656524
TXLNA,0.09525289
CCDC28B,0.021640113
IQCC,0.0040580677
TMEM234,0.04874305
EIF3I,0.06191486
FAM167B,0.0063309344
LCK,0.007642813
HDAC1,0.1197646
MARCKSL1,0.017154254
FAM229A,0.03636779
BSDC1,0.26442266
ZBTB8A,0.013780062
ZBTB8OS,0.29434118
RBBP4,0.25143486
SYNC,0.05378729
NHSL3,0.19871312
YARS1,0.14310624
S100PBP,0.22327267
TMEM54,0.022829616
RNF19B,0.107550934
AK2,0.33417076
ZNF362,0.11405194
PHC2,0.33092815
SMIM12,0.061311934
GJA4,0.001128647
ENSG00000284773,0.022430856
ZMYM6,0.005394702
ZMYM1,0.13810569
SFPQ,0.74722207
ZMYM4,0.7703642
KIAA0319L,0.6518417
TFAP2E-AS1,0.0014987317
PSMB2,0.09535157
C1orf216,0.0026920352
CLSPN,0.0043391306
AGO4,0.22304398
AGO1,0.12222975
AGO3,0.6661773
ADPRS,0.061302055
COL8A2,0.0035458603
TRAPPC3,0.08026514
MAP7D1,0.045659777
THRAP3,0.6606578
SH3D21,0.02716147
EVA1B,0.021811035
STK40,0.1909537
LSM10,0.014233882
OSCP1,0.044913564
MRPS15,0.04065011
CSF3R,0.0016374735
LITATS1,0.0274829
ZC3H12A,0.036452655
MEAF6,0.08246441
SNIP1,0.06492463
DNALI1,0.036939804
GNL2,0.059247788
AIRIM,0.03344588
CDCA8,0.0034264124
YRDC,0.010935145
C1orf122,0.067208625
MTF1,0.06921297
INPP5B,0.3917773
SF3A3,0.082511604
FHL3,0.0008878582
UTP11,0.02839454
RRAGC,0.07519999
MYCBP,0.009506645
RHBDL2,0.031795274
AKIRIN1,0.22919036
NDUFS5,0.17521796
MACF1,1.7266121
PABPC4,0.1308312
HEYL,0.0018516127
PPIE,0.12336496
TRIT1,0.13532881
MFSD2A,0.01324042
CAP1,0.13611896
PPT1,0.06793388
RLF,0.42862123
ZMPSTE24-DT,0.013017459
ZMPSTE24,0.14670564
COL9A2,0.032233957
SMAP2,0.10134082
ZNF684,0.1508847
RIMS3,0.004410017
NFYC,0.49451944
CITED4,0.023882516
CTPS1,0.07039477
SCMH1,0.92397946
HIVEP3,0.2498671
FOXJ3,0.5823685
PPCS,0.070809156
CCDC30,0.77908844
PPIH,0.056716494
YBX1,0.14728113
P3H1,0.056540612
C1orf50,0.0
SVBP,0.019635737
ERMAP,0.07026724
ZNF691,0.02104723
SLC2A1,0.029237077
CFAP144,0.011385571
EBNA1BP2,0.75691885
TMEM125,0.024752041
C1orf210,0.00936646
TIE1,0.01712335
ELOVL1,0.02850022
MED8,0.0412568
SZT2,0.23260611
HYI,0.0456539
PTPRF,0.24678606
KDM4A,0.0
ST3GAL3,0.0062603056
ARTN,0.002315545
IPO13,0.07581689
DPH2,0.017875614
ATP6V0B,0.29413944
B4GALT2,0.02729362
CCDC24,0.1041348
SLC6A9,0.007838336
DMAP1,0.096724294
ERI3,0.5227699
RNF220,0.059346642
TMEM53,0.10191436
KIF2C,0.008105675
RPS8,0.28545937
PLK3,0.023144951
BTBD19,0.027927749
EIF2B3,0.25909188
