,3504
LINC01409,0.23897156
NOC2L,0.11617659
PERM1,0.0018397338
ENSG00000272512,0.022541504
HES4,0.08322108
ISG15,0.06016999
AGRN,0.20353273
RNF223,0.0041057416
C1orf159,0.16243407
TNFRSF18,0.0
TNFRSF4,0.0046804864
SDF4,0.14239626
B3GALT6,0.015078962
UBE2J2,0.20071988
ACAP3,0.09712559
PUSL1,0.004115301
INTS11,0.14867465
CPTP,0.024087049
DVL1,0.07552078
MXRA8,0.019816346
AURKAIP1,0.07455567
CCNL2,0.4618351
MRPL20,0.15515074
VWA1,0.040146075
ATAD3A,0.050005168
SSU72,0.2033564
SSU72-AS1,0.01352419
FNDC10,0.0062310067
ENSG00000272106,0.0139475055
MIB2,0.12898286
MMP23B,0.010975394
CDK11B,0.17758372
SLC35E2B,0.16842765
CDK11A,0.09709005
SLC35E2A,0.17135057
NADK,0.14782237
GNB1,0.8063571
GABRD,0.00074980303
PRKCZ,0.27674016
FAAP20,0.10567448
SKI,0.6056443
RER1,0.2244296
PEX10,0.06427123
PANK4,0.029896073
HES5,0.0
ENSG00000272449,0.008282725
TNFRSF14-AS1,0.026156766
TNFRSF14,0.108798094
PRXL2B,0.039734494
MMEL1,0.004115043
PRDM16,0.8541837
ENSG00000272235,0.0010479109
ARHGEF16,0.09050532
MEGF6,0.027420523
TPRG1L,0.0463181
WRAP73,0.05000497
SMIM1,0.004526074
LRRC47,0.07501702
CEP104,0.2626701
DFFB,0.06606577
C1orf174,0.05584875
NPHP4,0.18239406
KCNAB2,0.04632838
RPL22,0.12221521
ICMT,0.09371615
ACOT7,0.05959108
TNFRSF25,0.03963151
PLEKHG5,0.044131573
NOL9,0.21483804
ZBTB48,0.10751004
KLHL21,0.14647482
PHF13,0.05101577
THAP3,0.04908316
DNAJC11,0.45532623
CAMTA1,0.8581687
VAMP3,0.097019725
PER3,0.4877857
PARK7,0.1350308
ERRFI1,0.6471587
RERE,2.0442467
ENO1,0.34344807
GPR157,0.103817
MIR34AHG,0.09472677
H6PD,0.25105244
SPSB1,0.20468448
SLC25A33,0.47808972
PIK3CD,0.069001324
CLSTN1,0.4441667
CTNNBIP1,0.20181349
LZIC,0.13525215
NMNAT1,0.20449768
RBP7,0.037797302
UBE4B,0.6294187
KIF1B,0.82422817
PGD,0.06918936
CENPS,0.0
DFFA,0.16064107
PEX14,0.4803945
CASZ1,0.6009063
TARDBP,0.006091801
SRM,0.029988956
EXOSC10,0.17315757
MTOR,0.4680426
UBIAD1,0.09562934
FBXO2,0.04560894
FBXO44,0.07841632
FBXO6,0.014542252
MAD2L2,0.014344131
AGTRAP,0.0438696
C1orf167,0.0033336757
MTHFR,0.1615683
CLCN6,0.13690403
KIAA2013,0.087885536
PLOD1,0.086413845
MFN2,0.21343188
MIIP,0.023588834
TNFRSF1B,0.12358699
VPS13D,1.0015824
DHRS3,0.65334857
PDPN,0.004738946
PRDM2,0.6713647
KAZN,2.1181772
TMEM51,0.7714278
