,31-10042
LINC01409,0.021508913
NOC2L,0.10846464
PERM1,0.0033157398
ENSG00000272512,0.003001706
HES4,0.19244789
ISG15,0.15414874
AGRN,0.5146531
RNF223,0.009509261
C1orf159,0.029161166
TNFRSF18,0.034011558
TNFRSF4,0.04127475
SDF4,0.3437395
B3GALT6,0.075186655
UBE2J2,0.18430285
ACAP3,0.0822833
PUSL1,0.0558441
INTS11,0.18987052
CPTP,0.11708213
DVL1,0.071885034
MXRA8,0.04636248
AURKAIP1,0.8928314
CCNL2,0.29064417
MRPL20,0.7405181
VWA1,0.23337339
ATAD3A,0.04583706
SSU72,0.5668052
SSU72-AS1,0.007709954
FNDC10,0.034792352
ENSG00000272106,0.045538582
MIB2,0.123273045
MMP23B,0.0051487954
CDK11B,0.104743265
SLC35E2B,0.024283543
CDK11A,0.028431203
SLC35E2A,0.038688857
NADK,0.11783364
GNB1,0.46308064
GABRD,0.0
PRKCZ,0.06817584
FAAP20,0.43435073
SKI,0.12466804
RER1,0.6006835
PEX10,0.10011087
PANK4,0.036315493
HES5,0.0033239569
ENSG00000272449,0.047003597
TNFRSF14-AS1,0.027896374
TNFRSF14,0.25379267
PRXL2B,0.094148986
MMEL1,0.013534533
PRDM16,0.04537629
ENSG00000272235,0.0
ARHGEF16,0.07409278
MEGF6,0.015705764
TPRG1L,0.11129442
WRAP73,0.058123138
SMIM1,0.10982372
LRRC47,0.11111641
CEP104,0.10702391
DFFB,0.014147635
C1orf174,0.101161115
NPHP4,0.024028266
KCNAB2,0.038869306
RPL22,2.1776137
ICMT,0.18082364
ACOT7,0.11692607
TNFRSF25,0.04652058
PLEKHG5,0.01813911
NOL9,0.0902467
ZBTB48,0.070787
KLHL21,0.057610948
PHF13,0.04685761
THAP3,0.082822025
DNAJC11,0.1255372
CAMTA1,0.6966001
VAMP3,0.2565192
PER3,0.123711064
PARK7,1.1458827
ERRFI1,0.05761677
RERE,0.33087406
ENO1,1.2862779
GPR157,0.020132398
MIR34AHG,0.0041840086
H6PD,0.14349899
SPSB1,0.023567867
SLC25A33,0.08780287
PIK3CD,0.05317828
CLSTN1,0.41391703
CTNNBIP1,0.0996146
LZIC,0.1279921
NMNAT1,0.055900093
RBP7,0.06303931
UBE4B,0.085523084
KIF1B,0.10148084
PGD,0.12338884
CENPS,0.07566172
DFFA,0.1175876
PEX14,0.055166315
CASZ1,0.07721025
TARDBP,0.1872672
SRM,0.22890815
EXOSC10,0.106313325
MTOR,0.042956796
UBIAD1,0.05242714
FBXO2,0.08904838
FBXO44,0.102424875
FBXO6,0.051920388
MAD2L2,0.1288826
AGTRAP,0.2972408
C1orf167,0.01872109
MTHFR,0.06498647
CLCN6,0.03685162
KIAA2013,0.18192703
PLOD1,0.05470677
MFN2,0.09825272
MIIP,0.07269226
TNFRSF1B,0.09797668
VPS13D,0.1758102
DHRS3,0.18815702
PDPN,0.004563557
PRDM2,0.13340709
KAZN,0.19759172
TMEM51,0.14314163
FHAD1,0.009206213
EFHD2,0.197011
CASP9,0.054218788
DNAJC16,0.107308604
DDI2,0.09074344
PLEKHM2,0.088793844
SLC25A34,0.005796678
FBLIM1,0.043458227
SPEN-AS1,0.08989955
SPEN,0.21214876
ZBTB17,0.047018044
SRARP,0.02760641
HSPB7,0.00709168
EPHA2,0.09519665
CPLANE2,0.0087078335
FBXO42,0.04612375
SZRD1,0.21352246
NECAP2,0.18330598
NBPF1,0.044723753
CROCC,0.0371031
ENSG00000238142,0.09570898
MFAP2,0.01711427
ATP13A2,0.08229023
SDHB,0.27657634
PADI2,0.010027647
PADI4,0.002277799
RCC2,0.15344629
ARHGEF10L,0.12712084
IGSF21,0.0022578002
ALDH4A1,0.26409796
IFFO2,0.033927344
UBR4,0.31520313
EMC1,0.07998894
MRTO4,0.13077582
AKR7A3,0.18037032
AKR7A2,0.5317691
SLC66A1,0.047397222
CAPZB,0.6335061
MICOS10,1.0754174
NBL1,0.19269839
TMCO4,0.06403282
OTUD3,0.038973678
PLA2G5,0.0
CAMK2N1,0.7643201
MUL1,0.09547941
CDA,0.06851558
PINK1,0.19322242
PINK1-AS,0.0013779787
DDOST,0.28330693
KIF17,0.011290707
HP1BP3,0.5345373
EIF4G3,0.17766538
ECE1,0.17568003
NBPF3,0.010140734
ALPL,0.032395937
USP48,0.15901783
HSPG2,0.27086413
CDC42,1.0997466
WNT4,0.006052187
ZBTB40,0.04451923
C1QA,0.06648132
C1QC,0.04995067
C1QB,0.052747417
EPHB2,0.014931385
KDM1A,0.15065905
LUZP1,0.13475278
HNRNPR,0.45214477
ZNF436,0.026469707
TCEA3,0.2546939
ASAP3,0.03127669
ID3,0.28277183
RPL11,2.925395
ELOA,0.08369764
PITHD1,0.18327044
LYPLA2,0.3121804
GALE,0.16394211
HMGCL,0.28265956
FUCA1,0.24261472
PNRC2,0.40472835
SRSF10,0.4376909
STPG1,0.04995071
NIPAL3,0.10684391
RCAN3,0.12849125
SRRM1,0.607263
CLIC4,0.4140219
RUNX3,0.0504885
SYF2,0.6055591
RSRP1,0.6330219
TMEM50A,0.6704937
MACO1,0.13708064
LDLRAP1,0.08332086
MAN1C1,0.11569783
ENSG00000233478,0.0
SELENON,0.2203199
MTFR1L,0.18607232
PAQR7,0.22048102
STMN1,0.5289413
PAFAH2,0.05434205
PDIK1L,0.035221618
FAM110D,0.021288417
ZNF593OS,0.0
ZNF593,0.236688
CEP85,0.016538683
SH3BGRL3,1.0629762
UBXN11,0.13357024
CD52,0.3489729
DHDDS,0.09013736
HMGN2,0.8953991
RPS6KA1,0.12168622
ARID1A,0.21606943
PIGV,0.051350657
ZDHHC18,0.029939717
SFN,0.0314153
GPN2,0.05081572
GPATCH3,0.026405038
NUDC,0.497951
KDF1,0.0750081
TRNP1,0.06372077
SLC9A1,0.047447674
WDTC1,0.1058999
TMEM222,0.16120511
SYTL1,0.08443814
MAP3K6,0.04340602
FCN3,0.0140818525
CD164L2,0.003789385
WASF2,0.4524627
AHDC1,0.09090333
FGR,0.04314492
IFI6,0.21441582
FAM76A,0.117727764
STX12,0.17735063
PPP1R8,0.055567022
THEMIS2,0.04632928
RPA2,0.2209608
XKR8,0.035023306
EYA3,0.1404777
PTAFR,0.042877812
DNAJC8,0.48138866
ATP5IF1,1.4008846
ENSG00000270605,0.026866809
MED18,0.040558062
PHACTR4,0.24209191
RCC1,0.027524173
TRNAU1AP,0.13558349
SNHG12,0.13957167
TAF12,0.15812452
RAB42,0.0035667794
GMEB1,0.056052204
YTHDF2,0.23628251
EPB41,0.13108565
TMEM200B,0.011707609
SRSF4,0.2729092
MECR,0.07086692
PTPRU,0.057868436
LAPTM5,0.24635819
SDC3,0.08007966
PUM1,0.28881353
NKAIN1,0.0
SNRNP40,0.17598535
ZCCHC17,0.14853069
FABP3,0.26838762
SERINC2,0.43772465
TINAGL1,0.3633408
PEF1,0.2103975
COL16A1,0.021367926
PTP4A2,0.5914893
KHDRBS1,0.45579162
TMEM39B,0.041597296
KPNA6,0.18416052
TXLNA,0.10970721
CCDC28B,0.052398644
IQCC,0.010711594
TMEM234,0.0885014
EIF3I,0.44888926
FAM167B,0.06919449
LCK,0.06984115
HDAC1,0.23554727
MARCKSL1,0.25423118
FAM229A,0.06164477
BSDC1,0.14829531
ZBTB8A,0.047311373
ZBTB8OS,0.25096068
RBBP4,0.36547035
SYNC,0.06999879
NHSL3,0.20775513
YARS1,0.06369377
S100PBP,0.084937036
TMEM54,0.21028513
RNF19B,0.05326894
AK2,0.36777493
ZNF362,0.071934365
PHC2,0.29926223
SMIM12,0.23847522
GJA4,0.027200667
ENSG00000284773,0.013388604
ZMYM6,0.082745016
ZMYM1,0.061027028
SFPQ,0.59934956
ZMYM4,0.16697569
KIAA0319L,0.15968408
TFAP2E-AS1,0.0
PSMB2,0.48257816
C1orf216,0.012517408
CLSPN,0.0066827075
AGO4,0.042645395
AGO1,0.07417995
AGO3,0.108913876
ADPRS,0.14036535
COL8A2,0.006541925
TRAPPC3,0.22349405
MAP7D1,0.14230026
THRAP3,0.36995652
SH3D21,0.017215457
EVA1B,0.2604195
STK40,0.050650172
LSM10,0.26652226
OSCP1,0.063567705
MRPS15,0.35322687
CSF3R,0.019473968
LITATS1,0.035443854
ZC3H12A,0.036199402
MEAF6,0.40362036
SNIP1,0.07046651
DNALI1,0.13064156
GNL2,0.07261521
AIRIM,0.05148873
CDCA8,0.0018949377
YRDC,0.075574555
C1orf122,0.4252815
MTF1,0.054632757
INPP5B,0.029792894
SF3A3,0.15920252
FHL3,0.048362136
UTP11,0.14176793
RRAGC,0.13153712
MYCBP,0.102752715
RHBDL2,0.009717727
AKIRIN1,0.23182939
NDUFS5,1.444717
MACF1,0.52563196
PABPC4,0.25847247
HEYL,0.003944099
PPIE,0.2096341
TRIT1,0.051075388
MFSD2A,0.0049028164
CAP1,0.50270885
PPT1,0.29303372
RLF,0.06680345
ZMPSTE24-DT,0.08647345
ZMPSTE24,0.18236594
COL9A2,0.047885645
SMAP2,0.12435252
ZNF684,0.042350125
RIMS3,0.0070696203
NFYC,0.121509135
CITED4,0.39860192
CTPS1,0.03257773
SCMH1,0.090837866
HIVEP3,0.031569805
FOXJ3,0.10379225
PPCS,0.49700353
CCDC30,0.05408529
PPIH,0.17956987
YBX1,1.3008305
P3H1,0.043858875
C1orf50,0.03359116
SVBP,0.24110901
ERMAP,0.033834737
ZNF691,0.03017733
SLC2A1,0.07527824
CFAP144,0.008512823
EBNA1BP2,0.2243216
TMEM125,0.095875345
C1orf210,0.09663991
TIE1,0.030471146
ELOVL1,0.17195463
MED8,0.13154541
SZT2,0.053287435
HYI,0.28920278
PTPRF,0.29804054
KDM4A,0.040493555
ST3GAL3,0.028977409
ARTN,0.01202441
IPO13,0.050760232
DPH2,0.059630416
ATP6V0B,1.0094483
B4GALT2,0.058049098
CCDC24,0.07374152
SLC6A9,0.010848395
DMAP1,0.2038607
ERI3,0.28768224
RNF220,0.09921633
TMEM53,0.07204049
KIF2C,0.0025594912
RPS8,2.8679235
PLK3,0.057686195
BTBD19,0.009589198
EIF2B3,0.06201849
HECTD3,0.057610404
UROD,0.17863011
MUTYH,0.052952886
TOE1,0.040895507
PRDX1,1.7316656
AKR1A1,0.6294365
NASP,0.24146588
CCDC17,0.0073149707
GPBP1L1,0.25334215
TMEM69,0.07715673
IPP,0.060036797
MAST2,0.018836023
PIK3R3,0.06615467
TSPAN1,0.8785589
POMGNT1,0.13424587
LURAP1,0.04366921
LRRC41,0.15488933
UQCRH,1.3641261
NSUN4,0.04833906
FAAH,0.11797594
MKNK1,0.070412494
MOB3C,0.041409086
ATPAF1,0.13116704
EFCAB14,0.31567946
CYP4B1,0.003486863
TAL1,0.009333991
CMPK1,0.39302725
TRABD2B,0.10586713
SPATA6,0.12777795
ELAVL4,0.0
FAF1,0.10264203
CDKN2C,0.051308043
RNF11,0.17634322
EPS15,0.186227
OSBPL9,0.2655615
NRDC,0.2538107
TXNDC12,0.23592238
KTI12,0.061142866
BTF3L4,0.33290288
ZFYVE9,0.05513069
CC2D1B,0.04267708
PRPF38A,0.12820801
TUT4,0.26295605
GPX7,0.041874234
SHISAL2A,0.0026600987
COA7,0.03165528
ZYG11B,0.12116843
ECHDC2,0.44295648
SCP2,0.7815746
PODN,0.001777913
CPT2,0.10373225
CZIB,0.26122552
MAGOH,0.39201868
LRP8,0.009436059
NDC1,0.048104733
YIPF1,0.08793099
IFT25,0.32890183
LRRC42,0.07631707
TMEM59,1.1873188
TCEANC2,0.03494865
CYB5RL,0.019298434
MRPL37,0.19855814
SSBP3,0.122490965
ACOT11,0.062546656
TTC4,0.030330852
DHCR24,0.168761
TMEM61,0.123012945
USP24,0.15596639
PLPP3,0.23424917
OMA1,0.14212136
TACSTD2,0.7019815
MYSM1,0.12740147
JUN,0.7839453
FGGY,0.07791511
NFIA,0.34577215
NFIA-AS2,0.0
TM2D1,0.29309514
PATJ,0.31553555
USP1,0.15732986
DOCK7,0.1086449
ANGPTL3,0.057101544
ATG4C,0.07350706
ALG6,0.05935336
ITGB3BP,0.14878275
EFCAB7,0.060966864
PGM1,0.12704894
CACHD1,0.016735975
JAK1,0.5315159
AK4,0.22475249
DNAJC6,0.018532414
LEPROT,0.6220513
LEPR,0.031122793
PDE4B,0.03828424
SGIP1,0.031372733
MIER1,0.270743
SERBP1,0.75016665
GADD45A,0.31858307
GNG12,0.30248755
WLS,0.3260704
LRRC40,0.06779087
SRSF11,0.5069848
ANKRD13C,0.07310339
ZRANB2,0.37938544
FPGT,0.06412172
FPGT-TNNI3K,0.002910047
CRYZ,0.44807065
TYW3,0.18205033
ACADM,0.41582227
RABGGTB,0.22387743
ST6GALNAC3,0.00625981
PIGK,0.14733297
ZZZ3,0.14793707
USP33,0.2455794
MIGA1,0.18844743
NEXN,0.024591917
FUBP1,0.21463966
DNAJB4,0.124131724
GIPC2,0.16645369
ENSG00000273338,0.03695557
IFI44L,0.08993067
IFI44,0.0765787
ADGRL4,0.053540256
ADGRL2,0.13446979
TTLL7,0.10627669
PRKACB,0.2266398
RPF1,0.14367285
GNG5,1.1700062
SPATA1,0.020386735
CTBS,0.17833246
SSX2IP,0.09740668
C1orf52,0.11397345
BCL10,0.18554899
DDAH1,0.3464364
CCN1,0.11418725
ZNHIT6,0.09408988
ODF2L,0.23435932
SH3GLB1,0.35596558
SELENOF,0.541321
HS2ST1,0.08554427
LMO4,0.2610156
PKN2,0.33126053
GTF2B,0.19868618
KYAT3,0.0766305
RBMXL1,0.05413379
GBP3,0.17955278
