,3499
LINC01409,0.2746485
NOC2L,0.09798586
PERM1,0.0024760698
ENSG00000272512,0.009522639
HES4,0.06698843
ISG15,0.021704666
AGRN,0.15937403
RNF223,0.001977676
C1orf159,0.14585905
TNFRSF18,0.0
TNFRSF4,0.0058539356
SDF4,0.15039356
B3GALT6,0.0057574646
UBE2J2,0.18884718
ACAP3,0.06641976
PUSL1,0.0048921336
INTS11,0.15709087
CPTP,0.011106679
DVL1,0.06127731
MXRA8,0.020406201
AURKAIP1,0.06801412
CCNL2,0.521406
MRPL20,0.15502982
VWA1,0.025528794
ATAD3A,0.052682098
SSU72,0.14542669
SSU72-AS1,0.007133738
FNDC10,0.0007810252
ENSG00000272106,0.008883286
MIB2,0.10642945
MMP23B,0.009650911
CDK11B,0.15615623
SLC35E2B,0.21519335
CDK11A,0.13160256
SLC35E2A,0.24144404
NADK,0.15807104
GNB1,0.7412689
GABRD,0.0
PRKCZ,0.22224799
FAAP20,0.118930615
SKI,0.31039932
RER1,0.178215
PEX10,0.05524341
PANK4,0.02712131
HES5,0.0
ENSG00000272449,0.010659563
TNFRSF14-AS1,0.025838442
TNFRSF14,0.1619182
PRXL2B,0.02410706
MMEL1,0.005944218
PRDM16,0.6709886
ENSG00000272235,0.010568719
ARHGEF16,0.075579874
MEGF6,0.019786343
TPRG1L,0.02495906
WRAP73,0.054862592
SMIM1,0.0043178005
LRRC47,0.06113229
CEP104,0.28566524
DFFB,0.08647807
C1orf174,0.0701767
NPHP4,0.15560757
KCNAB2,0.059778403
RPL22,0.09580377
ICMT,0.057443105
ACOT7,0.04531271
TNFRSF25,0.047748756
PLEKHG5,0.06582262
NOL9,0.22487001
ZBTB48,0.10837019
KLHL21,0.16552731
PHF13,0.042055234
THAP3,0.056383565
DNAJC11,0.7064327
CAMTA1,0.85433435
VAMP3,0.064651184
PER3,0.3405224
PARK7,0.1375043
ERRFI1,0.26635295
RERE,2.0201783
ENO1,0.5257709
GPR157,0.078372784
MIR34AHG,0.1590509
H6PD,0.18233535
SPSB1,0.13415638
SLC25A33,0.21883096
PIK3CD,0.10311172
CLSTN1,0.41574502
CTNNBIP1,0.16715512
LZIC,0.10497972
NMNAT1,0.27279213
RBP7,0.038893156
UBE4B,0.71818846
KIF1B,0.8188449
PGD,0.08045638
CENPS,0.0
DFFA,0.13717519
PEX14,0.4815689
CASZ1,0.3537014
TARDBP,0.011158266
SRM,0.032949336
EXOSC10,0.20026642
MTOR,0.38599947
UBIAD1,0.06118461
FBXO2,0.040180728
FBXO44,0.08564971
FBXO6,0.02286537
MAD2L2,0.012834642
AGTRAP,0.04430616
C1orf167,0.00724585
MTHFR,0.13622165
CLCN6,0.20188834
KIAA2013,0.06028854
PLOD1,0.07260392
MFN2,0.17302114
MIIP,0.018903835
TNFRSF1B,0.093066484
VPS13D,1.209251
DHRS3,0.36378172
PDPN,0.010714833
PRDM2,0.5724794
KAZN,2.305395
TMEM51,0.3039691
FHAD1,0.06790463
EFHD2,0.028485715
CASP9,0.08553217
DNAJC16,0.23702075
DDI2,0.2811028
PLEKHM2,0.2684049
SLC25A34,0.020375095
FBLIM1,0.17791674
SPEN-AS1,0.10280159
SPEN,0.5864357
ZBTB17,0.12043435
SRARP,0.004043448
HSPB7,0.03308834
EPHA2,0.12624118
CPLANE2,0.007704745
FBXO42,0.62599677
SZRD1,0.18505125
NECAP2,0.13302077
NBPF1,0.19928856
CROCC,0.30206814
ENSG00000238142,0.008944714
MFAP2,0.0033566565
ATP13A2,0.078514084
SDHB,0.26962087
PADI2,0.20355983
PADI4,0.0016654077
RCC2,0.11391525
ARHGEF10L,0.6972587
IGSF21,0.026492106
ALDH4A1,0.0
IFFO2,0.052676033
UBR4,0.6233079
EMC1,0.10389479
MRTO4,0.05603155
AKR7A3,0.024379985
AKR7A2,0.053809073
SLC66A1,0.030504331
CAPZB,0.6329804
MICOS10,0.0
NBL1,0.022817012
TMCO4,0.45913482
OTUD3,0.11767401
PLA2G5,0.00042226087
CAMK2N1,0.12180511
MUL1,0.04176357
CDA,0.038986966
PINK1,0.14737767
PINK1-AS,0.04979329
DDOST,0.09446137
KIF17,0.02566615
HP1BP3,0.69657695
EIF4G3,1.4987681
ECE1,0.36531428
NBPF3,0.078130215
ALPL,0.07524599
USP48,0.62221694
HSPG2,0.57407504
CDC42,0.30337712
WNT4,0.0060625556
ZBTB40,0.16069655
C1QA,0.018071508
C1QC,0.009998588
C1QB,0.027876023
EPHB2,0.06496442
KDM1A,0.39580914
LUZP1,0.42317504
HNRNPR,0.43587285
ZNF436,0.016638191
TCEA3,0.2317244
