,27-10039
LINC01409,0.024309274
NOC2L,0.14404418
PERM1,0.013975289
ENSG00000272512,0.008822876
HES4,0.2889756
ISG15,0.13631122
AGRN,0.65958816
RNF223,0.0060612406
C1orf159,0.032775164
TNFRSF18,0.0084699225
TNFRSF4,0.019006269
SDF4,0.38807586
B3GALT6,0.081274286
UBE2J2,0.18871646
ACAP3,0.07111958
PUSL1,0.05833141
INTS11,0.21002191
CPTP,0.12973821
DVL1,0.096947424
MXRA8,0.038644534
AURKAIP1,0.99257696
CCNL2,0.25820947
MRPL20,0.75623405
VWA1,0.28566018
ATAD3A,0.060719594
SSU72,0.52940243
SSU72-AS1,0.0065829754
FNDC10,0.03707499
ENSG00000272106,0.044006042
MIB2,0.13941263
MMP23B,0.009036347
CDK11B,0.09603589
SLC35E2B,0.028769974
CDK11A,0.0438275
SLC35E2A,0.05113222
NADK,0.097112425
GNB1,0.39158407
GABRD,0.0
PRKCZ,0.06767243
FAAP20,0.40790722
SKI,0.090743914
RER1,0.73331976
PEX10,0.12170772
PANK4,0.050963737
HES5,0.0018466039
ENSG00000272449,0.069256105
TNFRSF14-AS1,0.03607026
TNFRSF14,0.22479863
PRXL2B,0.10507673
MMEL1,0.03193378
PRDM16,0.08380897
ENSG00000272235,0.0
ARHGEF16,0.08980802
MEGF6,0.014805115
TPRG1L,0.12992261
WRAP73,0.07089536
SMIM1,0.09669992
LRRC47,0.112572566
CEP104,0.12968044
DFFB,0.01708399
C1orf174,0.08358488
NPHP4,0.023771305
KCNAB2,0.0063410867
RPL22,1.893689
ICMT,0.1690005
ACOT7,0.056379106
TNFRSF25,0.031265803
PLEKHG5,0.014103339
NOL9,0.077560455
ZBTB48,0.061530244
KLHL21,0.089415394
PHF13,0.03381084
THAP3,0.104988106
DNAJC11,0.17442094
CAMTA1,0.6232206
VAMP3,0.21066141
PER3,0.10887608
PARK7,1.0574708
ERRFI1,0.041596122
RERE,0.3707381
ENO1,1.6042904
GPR157,0.024161888
MIR34AHG,0.013931148
H6PD,0.08982302
SPSB1,0.019069588
SLC25A33,0.086086
PIK3CD,0.024330141
CLSTN1,0.37596902
CTNNBIP1,0.09974553
LZIC,0.12682568
NMNAT1,0.052768636
RBP7,0.087903656
UBE4B,0.07539547
KIF1B,0.14495125
PGD,0.107402585
CENPS,0.043529697
DFFA,0.14439163
PEX14,0.06278415
CASZ1,0.11601378
TARDBP,0.2002192
SRM,0.18861747
EXOSC10,0.09098698
MTOR,0.0737555
UBIAD1,0.061313882
FBXO2,0.21133329
FBXO44,0.12736222
FBXO6,0.027883077
MAD2L2,0.109113306
AGTRAP,0.3352668
C1orf167,0.016482262
MTHFR,0.063929595
CLCN6,0.04135362
KIAA2013,0.20883285
PLOD1,0.05459824
MFN2,0.1349117
MIIP,0.06196069
TNFRSF1B,0.025447907
VPS13D,0.15302587
DHRS3,0.146604
PDPN,0.0
PRDM2,0.13149066
KAZN,0.2042361
TMEM51,0.1833172
FHAD1,0.007336613
EFHD2,0.09627506
CASP9,0.038756263
DNAJC16,0.101609476
DDI2,0.060443006
PLEKHM2,0.09739577
SLC25A34,0.0025159027
FBLIM1,0.06497513
SPEN-AS1,0.0720326
SPEN,0.20821385
ZBTB17,0.055295777
SRARP,0.02121497
HSPB7,0.019229686
EPHA2,0.07621719
CPLANE2,0.012290723
FBXO42,0.062099412
SZRD1,0.19794467
NECAP2,0.12344238
NBPF1,0.043018155
CROCC,0.055684987
ENSG00000238142,0.10038455
MFAP2,0.020378338
ATP13A2,0.07609883
SDHB,0.26053697
PADI2,0.021677347
PADI4,0.0
RCC2,0.1333356
ARHGEF10L,0.16961235
IGSF21,0.0
ALDH4A1,0.20891117
IFFO2,0.022647595
UBR4,0.2523785
EMC1,0.0960696
MRTO4,0.11368828
AKR7A3,0.1377019
AKR7A2,0.48022053
SLC66A1,0.046166275
CAPZB,0.5454567
MICOS10,1.1309282
NBL1,0.27555048
TMCO4,0.10470276
OTUD3,0.0369302
PLA2G5,0.0
CAMK2N1,0.8015333
MUL1,0.111122146
CDA,0.1103525
PINK1,0.27874333
PINK1-AS,0.003993716
DDOST,0.4243749
KIF17,0.0073491763
HP1BP3,0.53863615
EIF4G3,0.1734946
ECE1,0.17028324
NBPF3,0.0063894363
ALPL,0.012950119
USP48,0.18014476
HSPG2,0.33665496
CDC42,0.83959436
WNT4,0.009876424
ZBTB40,0.043008395
C1QA,0.0062901983
C1QC,0.0047593713
C1QB,0.005110462
EPHB2,0.040529832
KDM1A,0.17022642
LUZP1,0.12418459
HNRNPR,0.3973126
ZNF436,0.022014115
TCEA3,0.3642222
ASAP3,0.04153795
ID3,0.5969831
RPL11,2.8145447
ELOA,0.07885534
PITHD1,0.16647002
LYPLA2,0.25490898
GALE,0.16714212
HMGCL,0.26214874
FUCA1,0.3651092
PNRC2,0.35962352
SRSF10,0.40592164
STPG1,0.06192666
NIPAL3,0.14073949
RCAN3,0.11176322
SRRM1,0.5726401
CLIC4,0.3142678
RUNX3,0.0078005
SYF2,0.559208
RSRP1,0.6370464
TMEM50A,0.6649416
MACO1,0.15110622
LDLRAP1,0.06964746
MAN1C1,0.13382775
ENSG00000233478,0.0015660566
SELENON,0.21184261
MTFR1L,0.2764155
PAQR7,0.25599945
STMN1,0.55091417
PAFAH2,0.052695204
PDIK1L,0.039676398
FAM110D,0.010084793
ZNF593OS,0.0009873349
ZNF593,0.33128205
CEP85,0.013504726
SH3BGRL3,0.7262994
UBXN11,0.092623204
CD52,0.051128235
DHDDS,0.101075314
HMGN2,0.85229677
RPS6KA1,0.08629505
ARID1A,0.18958524
PIGV,0.06501163
ZDHHC18,0.034688246
SFN,0.03368362
GPN2,0.04831676
GPATCH3,0.027704624
NUDC,0.5030844
KDF1,0.07827096
TRNP1,0.10811271
SLC9A1,0.0543359
WDTC1,0.08627998
TMEM222,0.18920974
SYTL1,0.03450411
MAP3K6,0.020501597
