,31-10000
LINC01409,0.08357479
NOC2L,0.12240055
PERM1,0.0040436746
ENSG00000272512,0.008453927
HES4,0.047656376
ISG15,0.05573745
AGRN,0.36711267
RNF223,0.0036423025
C1orf159,0.10364828
TNFRSF18,0.0011381528
TNFRSF4,0.0023735117
SDF4,0.1884035
B3GALT6,0.041888457
UBE2J2,0.16107097
ACAP3,0.10142211
PUSL1,0.014630355
INTS11,0.15267648
CPTP,0.061993092
DVL1,0.07091313
MXRA8,0.032875024
AURKAIP1,0.4120276
CCNL2,0.31222922
MRPL20,0.36849475
VWA1,0.08466542
ATAD3A,0.04812574
SSU72,0.32659012
SSU72-AS1,0.0037129123
FNDC10,0.02938137
ENSG00000272106,0.0374021
MIB2,0.10644064
MMP23B,0.007409125
CDK11B,0.10656999
SLC35E2B,0.112714216
CDK11A,0.05458423
SLC35E2A,0.11236393
NADK,0.11590861
GNB1,0.65014136
GABRD,0.00015897298
PRKCZ,0.20203295
FAAP20,0.24366905
SKI,0.266421
RER1,0.30853614
PEX10,0.06860661
PANK4,0.023634514
HES5,0.0004206971
ENSG00000272449,0.023410155
TNFRSF14-AS1,0.019260256
TNFRSF14,0.18802072
PRXL2B,0.06265654
MMEL1,0.0037208411
PRDM16,0.30046782
ENSG00000272235,0.0001635096
ARHGEF16,0.10167312
MEGF6,0.02722622
TPRG1L,0.10916181
WRAP73,0.04215478
SMIM1,0.03755548
LRRC47,0.085202985
CEP104,0.16807385
DFFB,0.053774774
C1orf174,0.07424218
NPHP4,0.08080857
KCNAB2,0.06062358
RPL22,0.68806344
ICMT,0.104275525
ACOT7,0.06153548
TNFRSF25,0.025281332
PLEKHG5,0.032322284
NOL9,0.14220203
ZBTB48,0.083327435
KLHL21,0.05440125
PHF13,0.03602645
THAP3,0.060614724
DNAJC11,0.2784691
CAMTA1,0.64091516
VAMP3,0.13625073
PER3,0.20281243
PARK7,0.45060483
ERRFI1,0.073541
RERE,1.004128
ENO1,0.990373
GPR157,0.05438119
MIR34AHG,0.059128035
H6PD,0.15072863
SPSB1,0.052462276
SLC25A33,0.16469558
PIK3CD,0.06994158
CLSTN1,0.37654346
CTNNBIP1,0.13045299
LZIC,0.124533705
NMNAT1,0.14961746
RBP7,0.03282583
UBE4B,0.32336253
KIF1B,0.44062847
PGD,0.110068604
CENPS,0.0151070515
DFFA,0.16442855
PEX14,0.25392854
CASZ1,0.3078345
TARDBP,0.056346808
SRM,0.086333595
EXOSC10,0.09266591
MTOR,0.1856926
UBIAD1,0.048573337
FBXO2,0.057417158
FBXO44,0.09599437
FBXO6,0.017660782
MAD2L2,0.050597236
AGTRAP,0.121043965
C1orf167,0.0095184855
MTHFR,0.12655137
CLCN6,0.07117712
KIAA2013,0.117704146
PLOD1,0.06061923
MFN2,0.14687732
MIIP,0.04318178
TNFRSF1B,0.053678285
VPS13D,0.4742055
DHRS3,0.26496187
PDPN,0.001297685
PRDM2,0.2695227
KAZN,1.0604491
TMEM51,0.35584608
FHAD1,0.035543613
EFHD2,0.062089942
CASP9,0.06224825
DNAJC16,0.19898906
DDI2,0.19996163
PLEKHM2,0.14840738
SLC25A34,0.014685731
FBLIM1,0.06968494
SPEN-AS1,0.03948114
SPEN,0.3524689
ZBTB17,0.069967195
SRARP,0.024068823
HSPB7,0.01049063
EPHA2,0.08762473
CPLANE2,0.0071154055
FBXO42,0.2963497
SZRD1,0.19933209
NECAP2,0.090359725
NBPF1,0.09839826
CROCC,0.1086282
ENSG00000238142,0.025888098
MFAP2,0.003946267
ATP13A2,0.055766404
SDHB,0.23931094
PADI2,0.036819234
PADI4,0.0016981222
RCC2,0.11531956
ARHGEF10L,0.4462216
IGSF21,0.0044876076
ALDH4A1,0.122683525
IFFO2,0.03935077
UBR4,0.28958473
EMC1,0.07946781
MRTO4,0.06917287
AKR7A3,0.103515744
AKR7A2,0.22918536
SLC66A1,0.034617398
CAPZB,0.5599602
MICOS10,0.47348684
NBL1,0.13513917
TMCO4,0.23419666
OTUD3,0.064644516
PLA2G5,0.00027928423
CAMK2N1,0.67406166
MUL1,0.07051044
CDA,0.09928765
PINK1,0.17949955
PINK1-AS,0.018940113
DDOST,0.19578269
KIF17,0.00708654
HP1BP3,0.55142653
EIF4G3,0.64657694
ECE1,0.21433192
NBPF3,0.03714682
ALPL,0.049242694
USP48,0.28658494
HSPG2,0.32053927
CDC42,0.86186403
WNT4,0.003311686
ZBTB40,0.10369877
C1QA,0.061523885
C1QC,0.03514591
C1QB,0.04530795
EPHB2,0.065244004
KDM1A,0.17709342
LUZP1,0.27859083
HNRNPR,0.35462356
ZNF436,0.01924111
TCEA3,0.28073654
ASAP3,0.101439655
ID3,0.2454842
RPL11,1.5000091
ELOA,0.089348756
PITHD1,0.11486925
LYPLA2,0.15548006
GALE,0.08490603
HMGCL,0.17408228
FUCA1,0.13052545
PNRC2,0.22091043
SRSF10,0.3336754
STPG1,0.061212968
NIPAL3,0.15293466
RCAN3,0.10705684
SRRM1,0.37541538
CLIC4,0.6861453
RUNX3,0.014986881
SYF2,0.247826
RSRP1,0.6354664
TMEM50A,0.3532386
MACO1,0.21309918
LDLRAP1,0.087405436
MAN1C1,0.19622014
ENSG00000233478,0.01205724
SELENON,0.07517583
MTFR1L,0.16659461
PAQR7,0.30909818
STMN1,0.29117727
PAFAH2,0.08160925
PDIK1L,0.043206777
FAM110D,0.0063788462
ZNF593OS,0.0004223962
ZNF593,0.13450018
CEP85,0.043387886
SH3BGRL3,0.33622757
UBXN11,0.08669105
CD52,0.026943417
DHDDS,0.115750596
HMGN2,0.5907787
RPS6KA1,0.12011056
ARID1A,0.45915484
PIGV,0.034837686
ZDHHC18,0.03801022
SFN,0.014812545
GPN2,0.07767062
GPATCH3,0.033097126
NUDC,0.25386423
KDF1,0.0443498
TRNP1,0.037722703
SLC9A1,0.07837676
WDTC1,0.16894801
TMEM222,0.12621872
SYTL1,0.024500461
MAP3K6,0.013726636
FCN3,0.0034004839
CD164L2,0.0015123506
WASF2,0.41581175
AHDC1,0.19439295
FGR,0.022803906
IFI6,0.14241153
FAM76A,0.116477184
STX12,0.2694137
PPP1R8,0.080095336
THEMIS2,0.032889724
RPA2,0.1153179
XKR8,0.022397514
EYA3,0.4971564
PTAFR,0.06263553
DNAJC8,0.19231345
ATP5IF1,0.718804
ENSG00000270605,0.042369742
MED18,0.022989862
PHACTR4,0.55561215
RCC1,0.049049623
TRNAU1AP,0.13218822
SNHG12,0.050812673
TAF12,0.1471037
RAB42,0.0025095434
GMEB1,0.11341705
YTHDF2,0.23058745
EPB41,0.31182322
TMEM200B,0.011772496
SRSF4,0.5018446
MECR,0.10285616
PTPRU,0.037943814
LAPTM5,0.04729395
SDC3,0.038448174
PUM1,0.6248454
NKAIN1,0.004147012
SNRNP40,0.14877272
ZCCHC17,0.14723472
FABP3,0.153217
SERINC2,0.45147422
TINAGL1,0.24381152
PEF1,0.11857966
COL16A1,0.05440433
