,Sample1162-EO1
LINC01409,0.0099641
NOC2L,0.15054075
PERM1,0.007329798
ENSG00000272512,0.0075158044
HES4,0.26156357
ISG15,0.12877095
AGRN,0.33576328
RNF223,0.0009436547
C1orf159,0.02308013
TNFRSF18,0.0
TNFRSF4,0.017714141
SDF4,0.3554298
B3GALT6,0.07708054
UBE2J2,0.2113687
ACAP3,0.078731224
PUSL1,0.05111585
INTS11,0.17808461
CPTP,0.16811782
DVL1,0.10843934
MXRA8,0.034318317
AURKAIP1,1.0365734
CCNL2,0.2629739
MRPL20,0.8158452
VWA1,0.21444394
ATAD3A,0.08973073
SSU72,0.60024434
SSU72-AS1,0.0076909633
FNDC10,0.0343521
ENSG00000272106,0.039700042
MIB2,0.124188796
MMP23B,0.0038980937
CDK11B,0.10738472
SLC35E2B,0.022394152
CDK11A,0.062474523
SLC35E2A,0.045364045
NADK,0.12348042
GNB1,0.47231483
GABRD,0.0
PRKCZ,0.09304378
FAAP20,0.44097486
SKI,0.12929013
RER1,0.5880963
PEX10,0.11067306
PANK4,0.07544053
HES5,0.0020851092
ENSG00000272449,0.05280111
TNFRSF14-AS1,0.025577467
TNFRSF14,0.2007339
PRXL2B,0.06295988
MMEL1,0.011979244
PRDM16,0.08060631
ENSG00000272235,0.0
ARHGEF16,0.08120322
MEGF6,0.013296256
TPRG1L,0.2147014
WRAP73,0.054856673
SMIM1,0.1389995
LRRC47,0.1151116
CEP104,0.11111268
DFFB,0.014242665
C1orf174,0.09847924
NPHP4,0.015272984
KCNAB2,0.043520287
RPL22,2.0332818
ICMT,0.21522266
ACOT7,0.2336449
TNFRSF25,0.014551
PLEKHG5,0.008330516
NOL9,0.075071976
ZBTB48,0.06508287
KLHL21,0.08010108
PHF13,0.06440006
THAP3,0.08589613
DNAJC11,0.17340602
CAMTA1,0.7598559
VAMP3,0.22604033
PER3,0.1292534
PARK7,1.1672324
ERRFI1,0.4079689
RERE,0.343983
ENO1,1.3708181
GPR157,0.035801582
MIR34AHG,0.0034593048
H6PD,0.069506645
SPSB1,0.055372365
SLC25A33,0.26761103
PIK3CD,0.011855378
CLSTN1,0.44036162
CTNNBIP1,0.10632086
LZIC,0.15658136
NMNAT1,0.05474511
RBP7,0.12943663
UBE4B,0.07757166
KIF1B,0.16136214
PGD,0.16171578
CENPS,0.08503833
DFFA,0.1665888
PEX14,0.052722193
CASZ1,0.108830415
TARDBP,0.21049769
SRM,0.1899155
EXOSC10,0.07949404
MTOR,0.065700665
UBIAD1,0.057055503
FBXO2,0.10546913
FBXO44,0.11795005
FBXO6,0.036985412
MAD2L2,0.11072392
AGTRAP,0.26888156
C1orf167,0.007929214
MTHFR,0.0804732
CLCN6,0.040753175
KIAA2013,0.2091925
PLOD1,0.11163737
MFN2,0.17232078
MIIP,0.053934492
TNFRSF1B,0.032905355
VPS13D,0.18739097
DHRS3,0.42190656
PDPN,0.0
PRDM2,0.12505654
KAZN,0.11282543
TMEM51,0.17994261
FHAD1,0.0048484644
EFHD2,0.11959067
CASP9,0.06088443
DNAJC16,0.08607284
DDI2,0.07952423
PLEKHM2,0.109075576
SLC25A34,0.029791182
FBLIM1,0.01973327
SPEN-AS1,0.05206621
SPEN,0.24039109
ZBTB17,0.050335597
SRARP,0.045976274
HSPB7,0.043655608
EPHA2,0.02980063
CPLANE2,0.009963866
FBXO42,0.06762679
SZRD1,0.21702872
NECAP2,0.11251461
NBPF1,0.044993345
CROCC,0.030819217
ENSG00000238142,0.112008415
MFAP2,0.0076022823
ATP13A2,0.08767256
SDHB,0.5007148
PADI2,0.012469713
PADI4,0.0
RCC2,0.09693901
ARHGEF10L,0.13851693
IGSF21,0.0034743724
ALDH4A1,0.62607527
IFFO2,0.030082747
UBR4,0.2819761
EMC1,0.08197751
MRTO4,0.08294766
AKR7A3,0.40920186
AKR7A2,0.53803205
SLC66A1,0.049403828
CAPZB,0.58118093
MICOS10,1.327166
NBL1,0.15168434
TMCO4,0.06883827
OTUD3,0.036879744
PLA2G5,0.0
CAMK2N1,0.8355782
MUL1,0.119304724
CDA,0.14871955
PINK1,0.5094716
PINK1-AS,0.005554678
DDOST,0.31067294
KIF17,0.01082133
HP1BP3,0.5461007
EIF4G3,0.1365741
ECE1,0.30048072
NBPF3,0.006764775
ALPL,0.12124449
USP48,0.12838814
HSPG2,0.3506614
CDC42,0.80984867
WNT4,0.00063067
ZBTB40,0.05135455
C1QA,0.03287876
C1QC,0.022975778
C1QB,0.016971063
EPHB2,0.014096218
KDM1A,0.13738315
LUZP1,0.17459968
HNRNPR,0.35208976
ZNF436,0.022980964
TCEA3,0.30791643
ASAP3,0.057542432
ID3,0.47543827
RPL11,2.717158
ELOA,0.12242505
PITHD1,0.16944195
LYPLA2,0.281547
GALE,0.107795075
HMGCL,0.31012028
FUCA1,0.23798455
PNRC2,0.39066398
SRSF10,0.3440287
STPG1,0.031733684
NIPAL3,0.07917482
RCAN3,0.060713984
SRRM1,0.5220348
CLIC4,0.45391735
RUNX3,0.0054202857
SYF2,0.5232965
RSRP1,0.48417872
TMEM50A,0.5437695
MACO1,0.15854253
LDLRAP1,0.059641756
MAN1C1,0.10156938
ENSG00000233478,0.0
SELENON,0.1592114
MTFR1L,0.26712567
PAQR7,0.21769242
STMN1,0.3955544
PAFAH2,0.07457288
PDIK1L,0.035781603
FAM110D,0.064942636
ZNF593OS,0.0009535595
ZNF593,0.3658234
CEP85,0.034965433
SH3BGRL3,0.7192623
UBXN11,0.061519645
CD52,0.01670987
DHDDS,0.09238897
HMGN2,0.7319202
RPS6KA1,0.09370439
ARID1A,0.2022994
PIGV,0.04055829
ZDHHC18,0.029351497
SFN,0.005583721
GPN2,0.041163687
GPATCH3,0.035036013
NUDC,0.48539332
KDF1,0.069286615
TRNP1,0.05736364
SLC9A1,0.049383856
WDTC1,0.10677023
TMEM222,0.18472126
SYTL1,0.010988087
MAP3K6,0.10515611
FCN3,0.12154433
CD164L2,0.0014855317
WASF2,0.46769533
AHDC1,0.13750997
FGR,0.01732017
IFI6,0.18382493
FAM76A,0.088938095
STX12,0.1935509
PPP1R8,0.05893574
THEMIS2,0.020002978
RPA2,0.14640853
XKR8,0.039032746
EYA3,0.11578039
PTAFR,0.008077774
DNAJC8,0.44166037
ATP5IF1,1.7668482
ENSG00000270605,0.010541011
MED18,0.021859951
PHACTR4,0.24363449
RCC1,0.019429272
TRNAU1AP,0.099449106
SNHG12,0.068453185
TAF12,0.14001414
RAB42,0.0022463957
GMEB1,0.046236247
YTHDF2,0.24256432
EPB41,0.11472479
TMEM200B,0.004861083
SRSF4,0.26478827
MECR,0.08415759
PTPRU,0.012494143
LAPTM5,0.047008235
SDC3,0.052017473
PUM1,0.2714381
NKAIN1,0.0
SNRNP40,0.1461906
ZCCHC17,0.140845
FABP3,0.406938
SERINC2,0.421699
TINAGL1,0.40197226
PEF1,0.25879395
COL16A1,0.0058785374
PTP4A2,0.52441883
KHDRBS1,0.40966627
TMEM39B,0.045765966
KPNA6,0.16264807
TXLNA,0.12202699
CCDC28B,0.051768176
IQCC,0.011702026
TMEM234,0.060058042
EIF3I,0.4508642
FAM167B,0.13262144
LCK,0.005271447
HDAC1,0.22608355
MARCKSL1,0.18065366
FAM229A,0.11382588
BSDC1,0.14481072
ZBTB8A,0.045924198
ZBTB8OS,0.20828982
RBBP4,0.30964896
SYNC,0.027378444
NHSL3,0.23634486
YARS1,0.056432057
S100PBP,0.05433232
TMEM54,0.08821748
RNF19B,0.068750955
AK2,0.4994522
ZNF362,0.08321506
PHC2,0.3443295
SMIM12,0.28113157
GJA4,0.097338565
ENSG00000284773,0.009753056
ZMYM6,0.048222277
ZMYM1,0.051353335
SFPQ,0.49430284
ZMYM4,0.14375286
KIAA0319L,0.18303455
TFAP2E-AS1,0.0
PSMB2,0.43804047
C1orf216,0.020008339
CLSPN,0.0
AGO4,0.0245584
AGO1,0.07514723
AGO3,0.14059098
ADPRS,0.12681012
COL8A2,0.0015638876
TRAPPC3,0.22940035
MAP7D1,0.15890302
THRAP3,0.32937565
SH3D21,0.015844783
EVA1B,0.2913185
STK40,0.11098143
LSM10,0.23330444
OSCP1,0.051645715
