,KRP460
LINC01409,0.19509707
NOC2L,0.09971409
PERM1,0.0010747131
ENSG00000272512,0.0016999744
HES4,0.0564788
ISG15,0.07145334
AGRN,0.37037992
RNF223,0.0064952797
C1orf159,0.15533563
TNFRSF18,0.0005767964
TNFRSF4,0.008890397
SDF4,0.16953734
B3GALT6,0.028237807
UBE2J2,0.1449071
ACAP3,0.08970228
PUSL1,0.01897953
INTS11,0.1556572
CPTP,0.029401075
DVL1,0.05483451
MXRA8,0.03537897
AURKAIP1,0.24505161
CCNL2,0.3881716
MRPL20,0.2570564
VWA1,0.14082687
ATAD3A,0.05132646
SSU72,0.26597235
SSU72-AS1,0.007394331
FNDC10,0.008610861
ENSG00000272106,0.015960673
MIB2,0.13809152
MMP23B,0.006462713
CDK11B,0.14857233
SLC35E2B,0.15445201
CDK11A,0.09591285
SLC35E2A,0.14002822
NADK,0.14383179
GNB1,0.7434752
GABRD,0.00014470013
PRKCZ,0.20228826
FAAP20,0.19715554
SKI,0.18682529
RER1,0.24265714
PEX10,0.07250133
PANK4,0.021661112
HES5,0.0
ENSG00000272449,0.026240038
TNFRSF14-AS1,0.06270326
TNFRSF14,0.24933006
PRXL2B,0.071612045
MMEL1,0.019740224
PRDM16,0.44878784
ENSG00000272235,0.0016155958
ARHGEF16,0.10378268
MEGF6,0.035148088
TPRG1L,0.07649624
WRAP73,0.045904294
SMIM1,0.01882409
LRRC47,0.07995293
CEP104,0.22209713
DFFB,0.055628207
C1orf174,0.06058775
NPHP4,0.100741796
KCNAB2,0.07337967
RPL22,0.21698269
ICMT,0.10135875
ACOT7,0.05154695
TNFRSF25,0.033447746
PLEKHG5,0.043674137
NOL9,0.16124669
ZBTB48,0.10362204
KLHL21,0.06927018
PHF13,0.04034407
THAP3,0.042319227
DNAJC11,0.28565857
CAMTA1,0.7658686
VAMP3,0.09351442
PER3,0.27497563
PARK7,0.33869946
ERRFI1,0.4136312
RERE,1.6422707
ENO1,0.77674633
GPR157,0.05792767
MIR34AHG,0.14108996
H6PD,0.19637045
SPSB1,0.13690583
SLC25A33,0.26122198
PIK3CD,0.07854729
CLSTN1,0.33323088
CTNNBIP1,0.14919263
LZIC,0.108736046
NMNAT1,0.14671677
RBP7,0.010110694
UBE4B,0.44472802
KIF1B,0.55771005
PGD,0.090770476
CENPS,0.0
DFFA,0.117518865
PEX14,0.35348234
CASZ1,0.20674972
TARDBP,0.008698463
SRM,0.067768686
EXOSC10,0.118104205
MTOR,0.25466222
UBIAD1,0.046685725
FBXO2,0.082617976
FBXO44,0.091481306
FBXO6,0.02241363
MAD2L2,0.035308145
AGTRAP,0.110943794
C1orf167,0.009328662
MTHFR,0.16175915
CLCN6,0.09270713
KIAA2013,0.11137538
PLOD1,0.07539254
MFN2,0.108252555
MIIP,0.051981606
TNFRSF1B,0.037627492
VPS13D,0.73007655
DHRS3,0.47278038
PDPN,0.006897989
PRDM2,0.43526974
KAZN,1.5042466
TMEM51,0.4425966
FHAD1,0.048334166
EFHD2,0.05442435
CASP9,0.08333579
DNAJC16,0.23945607
DDI2,0.21768832
PLEKHM2,0.17000777
SLC25A34,0.016095262
FBLIM1,0.21201852
SPEN-AS1,0.063319474
SPEN,0.5152306
ZBTB17,0.09613353
SRARP,0.001127857
HSPB7,0.02278508
EPHA2,0.07032435
CPLANE2,0.0062843184
FBXO42,0.46524587
SZRD1,0.15713654
NECAP2,0.095908985
NBPF1,0.16418819
CROCC,0.1932326
ENSG00000238142,0.07663218
MFAP2,0.0131364735
ATP13A2,0.0895321
SDHB,0.2154955
PADI2,0.01610506
PADI4,0.0030859048
RCC2,0.13941982
ARHGEF10L,0.46090758
IGSF21,0.020257957
ALDH4A1,0.0
IFFO2,0.02941012
UBR4,0.4381785
EMC1,0.073936835
MRTO4,0.05195672
AKR7A3,0.017211325
AKR7A2,0.12583658
SLC66A1,0.041616943
CAPZB,0.53785247
MICOS10,0.0
NBL1,0.033520162
TMCO4,0.2886736
OTUD3,0.08365232
PLA2G5,0.0011123217
CAMK2N1,0.5535594
MUL1,0.052476685
CDA,0.045922965
PINK1,0.14133282
PINK1-AS,0.023316821
DDOST,0.17193565
KIF17,0.011007689
HP1BP3,0.520823
EIF4G3,1.3869303
ECE1,0.26989293
NBPF3,0.10297632
ALPL,0.026003728
USP48,0.42642102
HSPG2,0.68284464
CDC42,0.59010863
WNT4,0.026786128
ZBTB40,0.13498303
C1QA,0.023477307
C1QC,0.017790386
C1QB,0.02291352
EPHB2,0.08478312
KDM1A,0.34042886
LUZP1,0.32714906
HNRNPR,0.43841153
ZNF436,0.018085938
TCEA3,0.18477736
ASAP3,0.14548613
ID3,0.09990769
RPL11,0.8135982
ELOA,0.09558868
PITHD1,0.09348246
LYPLA2,0.10148215
GALE,0.10612061
HMGCL,0.12193262
FUCA1,0.24808781
PNRC2,0.15368386
SRSF10,0.53360987
STPG1,0.107874475
NIPAL3,0.3140812
RCAN3,0.15210907
SRRM1,0.48003843
CLIC4,0.40260494
RUNX3,0.016664693
SYF2,0.17223288
RSRP1,0.6846863
TMEM50A,0.32034555
MACO1,0.31256333
LDLRAP1,0.05305251
MAN1C1,0.20617779
ENSG00000233478,0.020040078
SELENON,0.011408853
MTFR1L,0.11486269
PAQR7,0.27919835
STMN1,0.21806958
PAFAH2,0.08757932
PDIK1L,0.06814457
FAM110D,0.014283652
ZNF593OS,0.00047420373
ZNF593,0.066398114
CEP85,0.07609339
SH3BGRL3,0.26756462
UBXN11,0.08455846
CD52,0.00979514
DHDDS,0.17800051
HMGN2,0.32124713
RPS6KA1,0.10277985
ARID1A,0.52620184
PIGV,0.040148176
ZDHHC18,0.055689365
SFN,0.02064305
GPN2,0.09773933
GPATCH3,0.039536428
NUDC,0.23200649
KDF1,0.038884204
TRNP1,0.043578576
SLC9A1,0.14780383
WDTC1,0.21849814
TMEM222,0.081673525
SYTL1,0.022546718
MAP3K6,0.032638144
FCN3,0.0023455098
CD164L2,0.0012732396
WASF2,0.54536635
AHDC1,0.14305462
FGR,0.019104782
IFI6,0.14303362
FAM76A,0.17897953
STX12,0.54714894
PPP1R8,0.07976057
THEMIS2,0.024447983
RPA2,0.10503699
XKR8,0.020640511
EYA3,0.51248187
PTAFR,0.032583866
DNAJC8,0.16552813
ATP5IF1,0.4677499
ENSG00000270605,0.030440481
MED18,0.019744249
PHACTR4,0.73800665
RCC1,0.13085297
TRNAU1AP,0.17925017
SNHG12,0.06112158
TAF12,0.11972027
RAB42,0.0025515526
GMEB1,0.10860902
YTHDF2,0.2588357
EPB41,0.4901884
TMEM200B,0.0050903508
SRSF4,0.6721041
MECR,0.091948695
PTPRU,0.08739553
LAPTM5,0.034078464
SDC3,0.058864124
PUM1,0.90718013
NKAIN1,0.005704596
SNRNP40,0.16961442
ZCCHC17,0.21490797
FABP3,0.014944448
SERINC2,0.29774407
TINAGL1,0.46042234
PEF1,0.13151315
COL16A1,0.06609553
PTP4A2,0.12712489
KHDRBS1,0.44206822
TMEM39B,0.0692252
KPNA6,0.37070844
TXLNA,0.1067871
CCDC28B,0.0366857
IQCC,0.016992653
TMEM234,0.09323339
EIF3I,0.14284973
FAM167B,0.042492367
LCK,0.08805869
HDAC1,0.22775987
MARCKSL1,0.13637055
FAM229A,0.028804982
BSDC1,0.21635845
ZBTB8A,0.040535837
ZBTB8OS,0.35356465
RBBP4,0.30900642
SYNC,0.09602665
NHSL3,0.29113188
YARS1,0.14402781
S100PBP,0.3136833
TMEM54,0.12080198
RNF19B,0.11808126
AK2,0.2890751
ZNF362,0.12976266
PHC2,0.34778762
SMIM12,0.1309551
GJA4,0.021033954
ENSG00000284773,0.048540294
ZMYM6,0.0028818613
ZMYM1,0.17906862
SFPQ,0.6163666
ZMYM4,1.0036458
KIAA0319L,0.6351606
TFAP2E-AS1,0.004424735
PSMB2,0.19560659
C1orf216,0.010845519
CLSPN,0.014030855
AGO4,0.33351952
AGO1,0.13067122
AGO3,0.6758838
ADPRS,0.08808735
COL8A2,0.015308669
TRAPPC3,0.12699138
MAP7D1,0.06595335
THRAP3,0.61759645
SH3D21,0.03649628
EVA1B,0.10137406
STK40,0.15649487
LSM10,0.0591503
OSCP1,0.067934245
MRPS15,0.09226543
CSF3R,0.01014936
LITATS1,0.04402301
ZC3H12A,0.026155436
MEAF6,0.15705033
SNIP1,0.06472518
DNALI1,0.051603887
GNL2,0.06399975
AIRIM,0.035844397
CDCA8,0.005996852
YRDC,0.026369873
C1orf122,0.14767876
MTF1,0.108111925
INPP5B,0.27362344
SF3A3,0.12772515
FHL3,0.014002391
UTP11,0.048816822
RRAGC,0.08283574
MYCBP,0.03401678
RHBDL2,0.055121496
AKIRIN1,0.20730188
NDUFS5,0.34344086
MACF1,1.4022055
PABPC4,0.29584488
HEYL,0.0070428187
PPIE,0.13871238
TRIT1,0.1853831
MFSD2A,0.1287681
CAP1,0.31708512
PPT1,0.14239837
RLF,0.37492022
ZMPSTE24-DT,0.031688787
ZMPSTE24,0.18163297
COL9A2,0.040745407
SMAP2,0.19790204
ZNF684,0.10568128
RIMS3,0.01010262
NFYC,0.3518594
CITED4,0.036958296
CTPS1,0.105026305
SCMH1,0.88685185
HIVEP3,0.27295908
FOXJ3,0.54032767
PPCS,0.14921339
CCDC30,0.4203731
PPIH,0.10306547
YBX1,0.3503297
P3H1,0.055227697
C1orf50,9.310699e-05
SVBP,0.040157948
ERMAP,0.08595956
ZNF691,0.026609428
SLC2A1,0.15101567
CFAP144,0.0049615894
EBNA1BP2,0.28989205
TMEM125,0.06576102
C1orf210,0.032547742
TIE1,0.04909112
ELOVL1,0.09963709
MED8,0.0645587
SZT2,0.1963106
HYI,0.103270344
PTPRF,0.37143788
KDM4A,0.0
ST3GAL3,0.011475748
ARTN,0.010429961
IPO13,0.041870963
DPH2,0.022056181
ATP6V0B,0.37123197
B4GALT2,0.036384862
CCDC24,0.14624712
SLC6A9,0.022034075
DMAP1,0.08822889
ERI3,0.31757247
RNF220,0.068717346
TMEM53,0.069880694
KIF2C,0.008365307
RPS8,0.7270012
PLK3,0.018691817
BTBD19,0.019033615
EIF2B3,0.23414057
HECTD3,0.05511691
UROD,0.06399299
MUTYH,0.058158003
TOE1,0.029292453
PRDX1,0.89189994
AKR1A1,0.18628933
NASP,0.25728336
CCDC17,0.0070833312
GPBP1L1,0.6204551
TMEM69,0.052350163
IPP,0.16222386
MAST2,0.25920516
PIK3R3,0.03003279
TSPAN1,0.44844082
POMGNT1,0.14179759
LURAP1,0.10308416
LRRC41,0.19242364
UQCRH,0.36805347
NSUN4,0.1191981
FAAH,0.1602158
MKNK1,0.19223757
MOB3C,0.0
ATPAF1,0.16149895
EFCAB14,0.3336738
CYP4B1,0.009124138
TAL1,0.012421344
CMPK1,0.2308531
TRABD2B,0.5931574
SPATA6,0.53350616
ELAVL4,0.003291812
FAF1,1.1521045
CDKN2C,0.010922537
RNF11,0.22291343
EPS15,0.7480864
OSBPL9,0.59007245
NRDC,0.489792
TXNDC12,0.18561724
KTI12,0.0
BTF3L4,0.25307795
ZFYVE9,0.3617315
CC2D1B,0.08782987
PRPF38A,0.07729763
TUT4,0.65913683
GPX7,0.017458353
SHISAL2A,0.020299267
COA7,0.023435818
ZYG11B,0.3346585
ECHDC2,0.55479157
SCP2,0.48663384
PODN,0.0076329308
CPT2,0.065601595
CZIB,0.074196145
MAGOH,0.11227739
LRP8,0.026841044
NDC1,0.13971227
YIPF1,0.08333404
IFT25,0.1829389
LRRC42,0.06824757
TMEM59,0.59559846
TCEANC2,0.08427147
CYB5RL,0.0
MRPL37,0.07069358
SSBP3,0.39243346
ACOT11,0.28487453
TTC4,0.003168837
DHCR24,0.15368466
TMEM61,0.019507522
USP24,0.6282911
PLPP3,0.30030063
OMA1,0.00039801566
TACSTD2,1.0630383
MYSM1,0.29390848
JUN,0.13950963
FGGY,0.6713512
NFIA,1.238323
NFIA-AS2,0.0007052926
TM2D1,0.37956956
PATJ,1.5713897
USP1,0.08005321
DOCK7,0.50200945
ANGPTL3,0.0032196632
ATG4C,0.18503127
ALG6,0.10379929
ITGB3BP,0.20291692
EFCAB7,0.13323754
PGM1,0.14012294
CACHD1,0.25610483
JAK1,0.7682582
AK4,0.23326536
DNAJC6,0.09850602
LEPROT,0.00033994426
LEPR,0.2727262
PDE4B,0.06063651
SGIP1,0.23900488
MIER1,0.4427339
SERBP1,0.34264144
GADD45A,0.15831806
GNG12,0.4570844
WLS,0.34905013
LRRC40,0.13591433
SRSF11,0.8369859
ANKRD13C,0.386933
ZRANB2,0.6537651
FPGT,0.00017657028
