,3535
LINC01409,0.18429543
NOC2L,0.11525004
PERM1,0.0010915217
ENSG00000272512,0.0058499095
HES4,0.0751715
ISG15,0.028289646
AGRN,0.27439237
RNF223,0.0035669182
C1orf159,0.16621259
TNFRSF18,0.008435639
TNFRSF4,0.0045509306
SDF4,0.114768386
B3GALT6,0.009235563
UBE2J2,0.15050448
ACAP3,0.17781103
PUSL1,0.005159376
INTS11,0.17745496
CPTP,0.024644032
DVL1,0.06499443
MXRA8,0.024855193
AURKAIP1,0.072339624
CCNL2,0.5524811
MRPL20,0.13820812
VWA1,0.032685414
ATAD3A,0.062641285
SSU72,0.14142579
SSU72-AS1,0.005036267
FNDC10,0.0057923947
ENSG00000272106,0.006970022
MIB2,0.14766814
MMP23B,0.013199909
CDK11B,0.17384747
SLC35E2B,0.14325576
CDK11A,0.1733254
SLC35E2A,0.21420157
NADK,0.12055395
GNB1,0.8001336
GABRD,0.0008287598
PRKCZ,0.28463772
FAAP20,0.10857473
SKI,0.30427673
RER1,0.17060113
PEX10,0.04381369
PANK4,0.019783273
HES5,0.00034472923
ENSG00000272449,0.015855243
TNFRSF14-AS1,0.04876028
TNFRSF14,0.32763752
PRXL2B,0.025281666
MMEL1,0.002894513
PRDM16,0.63200104
ENSG00000272235,0.002287509
ARHGEF16,0.12397314
MEGF6,0.050974444
TPRG1L,0.038770888
WRAP73,0.0330033
SMIM1,0.003399458
LRRC47,0.06355847
CEP104,0.22292258
DFFB,0.063378416
C1orf174,0.035101026
NPHP4,0.0986853
KCNAB2,0.12683937
RPL22,0.105665095
ICMT,0.04062164
ACOT7,0.057418045
TNFRSF25,0.03961695
PLEKHG5,0.0417814
NOL9,0.16201958
ZBTB48,0.09909663
KLHL21,0.06618507
PHF13,0.030709734
THAP3,0.039407793
DNAJC11,0.47190616
CAMTA1,0.75953716
VAMP3,0.046626523
PER3,0.43596447
PARK7,0.09987005
ERRFI1,0.7311045
RERE,1.911038
ENO1,0.2947419
GPR157,0.07798558
MIR34AHG,0.099193454
H6PD,0.15024556
SPSB1,0.21485476
SLC25A33,0.3298226
PIK3CD,0.11803499
CLSTN1,0.29863
CTNNBIP1,0.20122893
LZIC,0.09061918
NMNAT1,0.20345111
RBP7,0.028453516
UBE4B,0.5694762
KIF1B,0.7355001
PGD,0.069751985
CENPS,0.0
DFFA,0.12920192
PEX14,0.41161594
CASZ1,0.4242739
TARDBP,0.009559648
SRM,0.028579969
EXOSC10,0.16255358
MTOR,0.32547727
UBIAD1,0.03906579
FBXO2,0.017265363
FBXO44,0.07166971
FBXO6,0.013116904
MAD2L2,0.022821162
AGTRAP,0.05260128
C1orf167,0.0034928396
MTHFR,0.14780481
CLCN6,0.11001379
KIAA2013,0.050815318
PLOD1,0.08850994
MFN2,0.15060093
MIIP,0.035325836
TNFRSF1B,0.082792565
VPS13D,0.92436045
DHRS3,0.5330161
PDPN,0.0039379084
PRDM2,0.4475273
KAZN,1.6037029
TMEM51,0.44672647
FHAD1,0.049652386
EFHD2,0.021772612
CASP9,0.09118038
DNAJC16,0.21801612
DDI2,0.27209738
PLEKHM2,0.18527965
SLC25A34,0.027170269
FBLIM1,0.0819496
SPEN-AS1,0.049660716
SPEN,0.63738006
ZBTB17,0.09052107
SRARP,0.0035605882
HSPB7,0.017658968
EPHA2,0.050166987
CPLANE2,0.0029470117
FBXO42,0.52432966
SZRD1,0.11539371
NECAP2,0.07048705
NBPF1,0.11946242
CROCC,0.25669265
ENSG00000238142,0.00444981
MFAP2,0.0037160504
ATP13A2,0.05848073
SDHB,0.22202376
PADI2,0.06637195
PADI4,0.005056851
RCC2,0.1040937
ARHGEF10L,0.62235844
IGSF21,0.027719619
ALDH4A1,0.0
IFFO2,0.046595637
UBR4,0.49102023
EMC1,0.055008408
MRTO4,0.036553007
AKR7A3,0.022443205
AKR7A2,0.036493104
SLC66A1,0.030792642
CAPZB,0.6189912
MICOS10,0.0
NBL1,0.026114346
TMCO4,0.40257373
OTUD3,0.083868146
PLA2G5,0.0013771415
CAMK2N1,0.2181094
MUL1,0.028271418
CDA,0.03080603
PINK1,0.090345055
PINK1-AS,0.021051805
DDOST,0.0523988
KIF17,0.011779361
HP1BP3,0.5889666
EIF4G3,1.1698563
ECE1,0.25833213
NBPF3,0.06114457
ALPL,0.048553117
USP48,0.47831926
HSPG2,0.34080002
CDC42,0.3198943
WNT4,0.004197515
ZBTB40,0.14948992
C1QA,0.016363347
C1QC,0.005526539
C1QB,0.011283534
EPHB2,0.08793535
KDM1A,0.27405486
LUZP1,0.4602816
HNRNPR,0.37276888
ZNF436,0.012275291
TCEA3,0.24050169
ASAP3,0.15667473
ID3,0.07008494
RPL11,0.17640772
ELOA,0.0944423
PITHD1,0.054379195
LYPLA2,0.06784354
GALE,0.07959086
HMGCL,0.1316926
FUCA1,0.090513244
PNRC2,0.08930779
SRSF10,0.36962357
STPG1,0.06443776
NIPAL3,0.1959353
RCAN3,0.08625411
SRRM1,0.41309217
CLIC4,0.5229606
RUNX3,0.026449941
SYF2,0.06460472
RSRP1,0.72624314
TMEM50A,0.08729023
MACO1,0.31751582
LDLRAP1,0.07391122
MAN1C1,0.28883752
ENSG00000233478,0.04936584
SELENON,0.020938862
MTFR1L,0.14368977
PAQR7,0.1351636
STMN1,0.024134867
PAFAH2,0.080779776
PDIK1L,0.030147428
FAM110D,0.003972908
ZNF593OS,7.6084514e-05
ZNF593,0.020998657
CEP85,0.090759985
SH3BGRL3,0.03570522
UBXN11,0.07244267
CD52,0.007171013
DHDDS,0.14901073
HMGN2,0.12800547
RPS6KA1,0.14491957
ARID1A,0.5865077
PIGV,0.02342374
ZDHHC18,0.049393967
SFN,0.0070501957
GPN2,0.07397761
GPATCH3,0.031442124
NUDC,0.13250645
KDF1,0.018239101
TRNP1,0.03971049
SLC9A1,0.105024226
WDTC1,0.22081502
TMEM222,0.06966146
SYTL1,0.029184343
MAP3K6,0.042116705
FCN3,0.012481829
CD164L2,0.0012895659
WASF2,0.59373
AHDC1,0.22468649
FGR,0.02809448
IFI6,0.020390688
FAM76A,0.11140294
STX12,0.34335002
PPP1R8,0.067509204
THEMIS2,0.038570974
RPA2,0.07695283
XKR8,0.016431672
EYA3,0.60418046
PTAFR,0.041574165
DNAJC8,0.10631469
ATP5IF1,0.12087613
ENSG00000270605,0.031721655
MED18,0.012650814
PHACTR4,0.70858264
RCC1,0.07310941
TRNAU1AP,0.1705473
SNHG12,0.03022961
TAF12,0.1145499
RAB42,0.001170692
GMEB1,0.116253816
YTHDF2,0.24704453
EPB41,0.59183687
TMEM200B,0.00993706
SRSF4,0.7226518
MECR,0.10104582
PTPRU,0.038489923
LAPTM5,0.044409707
SDC3,0.021598637
PUM1,0.9533425
NKAIN1,0.0059876796
SNRNP40,0.112999976
ZCCHC17,0.17815216
FABP3,0.02477268
SERINC2,0.2055569
TINAGL1,0.14368035
PEF1,0.06056281
COL16A1,0.05954333
PTP4A2,0.14986664
KHDRBS1,0.37882897
TMEM39B,0.06883302
KPNA6,0.34619945
TXLNA,0.094115965
CCDC28B,0.0151613485
IQCC,0.012199157
TMEM234,0.05359272
EIF3I,0.046106417
FAM167B,0.018488565
LCK,0.02667302
HDAC1,0.17529142
MARCKSL1,0.013395292
FAM229A,0.018909547
BSDC1,0.24083503
ZBTB8A,0.02670496
ZBTB8OS,0.36795148
RBBP4,0.2908991
SYNC,0.040968914
NHSL3,0.25805014
YARS1,0.12907243
S100PBP,0.30958685
TMEM54,0.016102415
RNF19B,0.111462064
AK2,0.26462722
ZNF362,0.14576507
PHC2,0.32663545
SMIM12,0.07982618
GJA4,0.0053139925
ENSG00000284773,0.023171872
ZMYM6,0.0039285463
ZMYM1,0.20296277
SFPQ,0.6813435
ZMYM4,0.8073914
KIAA0319L,0.63620424
TFAP2E-AS1,0.0036298502
PSMB2,0.09125791
C1orf216,0.004987053
CLSPN,0.0042601856
AGO4,0.31073746
AGO1,0.115795866
