,Sample1153-EO1
LINC01409,0.023108516
NOC2L,0.111776926
PERM1,0.008306702
ENSG00000272512,0.020043131
HES4,0.60202205
ISG15,0.20690872
AGRN,0.38231465
RNF223,0.006067166
C1orf159,0.022779033
TNFRSF18,0.009441038
TNFRSF4,0.038775925
SDF4,0.2806382
B3GALT6,0.08853454
UBE2J2,0.19026184
ACAP3,0.053118296
PUSL1,0.023592426
INTS11,0.16212486
CPTP,0.11075713
DVL1,0.09218954
MXRA8,0.021093369
AURKAIP1,0.9780405
CCNL2,0.20002033
MRPL20,0.7938807
VWA1,0.1927598
ATAD3A,0.062675744
SSU72,0.5906106
SSU72-AS1,0.002593562
FNDC10,0.03684684
ENSG00000272106,0.064284965
MIB2,0.11691323
MMP23B,0.009734625
CDK11B,0.10500894
SLC35E2B,0.025975922
CDK11A,0.04044918
SLC35E2A,0.03149486
NADK,0.09067124
GNB1,0.47973397
GABRD,0.0
PRKCZ,0.049459085
FAAP20,0.36644706
SKI,0.09697165
RER1,0.56225944
PEX10,0.105252296
PANK4,0.046317037
HES5,0.0
ENSG00000272449,0.042805325
TNFRSF14-AS1,0.014745104
TNFRSF14,0.13544177
PRXL2B,0.044539433
MMEL1,0.0017639975
PRDM16,0.063553564
ENSG00000272235,0.0
ARHGEF16,0.04724291
MEGF6,0.017773287
TPRG1L,0.1278588
WRAP73,0.06907479
SMIM1,0.12837759
LRRC47,0.08627704
CEP104,0.08094675
DFFB,0.004307071
C1orf174,0.082943864
NPHP4,0.016556803
KCNAB2,0.039478905
RPL22,2.0849392
ICMT,0.13172305
ACOT7,0.109514594
TNFRSF25,0.0143052
PLEKHG5,0.008768939
NOL9,0.0738653
ZBTB48,0.053477906
KLHL21,0.076673985
PHF13,0.046306193
THAP3,0.054262504
DNAJC11,0.121172935
CAMTA1,0.7604786
VAMP3,0.20839313
PER3,0.1157269
PARK7,1.1906414
ERRFI1,0.3495747
RERE,0.24539569
ENO1,1.2893519
GPR157,0.015209684
MIR34AHG,0.0033228337
H6PD,0.055805024
SPSB1,0.034626342
SLC25A33,0.17680557
PIK3CD,0.022057226
CLSTN1,0.36785984
CTNNBIP1,0.08135475
LZIC,0.114678666
NMNAT1,0.042709716
RBP7,0.18080565
UBE4B,0.083683744
KIF1B,0.09975335
PGD,0.13665679
CENPS,0.05299657
DFFA,0.077531464
PEX14,0.036284696
CASZ1,0.07202117
TARDBP,0.22727326
SRM,0.16790606
EXOSC10,0.07248942
MTOR,0.060608193
UBIAD1,0.053069804
FBXO2,0.1226196
FBXO44,0.07362952
FBXO6,0.028228551
MAD2L2,0.12169192
AGTRAP,0.18388526
C1orf167,0.011365438
MTHFR,0.070699476
CLCN6,0.04343897
KIAA2013,0.14309482
PLOD1,0.07759847
MFN2,0.15958409
MIIP,0.05955973
TNFRSF1B,0.0726803
VPS13D,0.120429076
DHRS3,0.330062
PDPN,0.0
PRDM2,0.12596391
KAZN,0.12406569
TMEM51,0.21200272
FHAD1,0.0033343511
EFHD2,0.11195976
CASP9,0.09622511
DNAJC16,0.09082839
DDI2,0.049318362
PLEKHM2,0.12088731
SLC25A34,0.024713375
FBLIM1,0.015479893
SPEN-AS1,0.02327789
SPEN,0.17107618
ZBTB17,0.047531843
SRARP,0.05012063
HSPB7,0.0370318
EPHA2,0.17337182
CPLANE2,0.0072947806
FBXO42,0.03733005
SZRD1,0.2508143
NECAP2,0.17053597
NBPF1,0.028855665
CROCC,0.02031567
ENSG00000238142,0.08456967
MFAP2,0.0031384295
ATP13A2,0.061106663
SDHB,0.41571018
PADI2,0.021495573
PADI4,0.0
RCC2,0.11548391
ARHGEF10L,0.08984358
IGSF21,0.0
ALDH4A1,0.40977496
IFFO2,0.020706853
UBR4,0.27590325
EMC1,0.064193785
MRTO4,0.06908547
AKR7A3,0.26394978
AKR7A2,0.47274983
SLC66A1,0.03231133
CAPZB,0.5476119
MICOS10,1.3599057
NBL1,0.11592478
TMCO4,0.062741734
OTUD3,0.04150896
PLA2G5,0.0
CAMK2N1,0.7717324
MUL1,0.11793244
CDA,0.23668769
PINK1,0.28831074
PINK1-AS,0.0
DDOST,0.30565742
KIF17,0.0075663724
HP1BP3,0.4556898
EIF4G3,0.16515552
ECE1,0.20985359
NBPF3,0.00662616
ALPL,0.04155035
USP48,0.09188774
HSPG2,0.400454
CDC42,0.9876609
WNT4,0.0
ZBTB40,0.034690727
C1QA,0.05324705
C1QC,0.03520575
C1QB,0.043232907
EPHB2,0.014882707
KDM1A,0.10954437
LUZP1,0.13705075
HNRNPR,0.28851864
ZNF436,0.02034622
TCEA3,0.236202
ASAP3,0.037665084
ID3,0.47894433
RPL11,2.9162354
ELOA,0.07535809
PITHD1,0.19303054
LYPLA2,0.22380044
GALE,0.106618926
HMGCL,0.19134079
FUCA1,0.17933157
PNRC2,0.41985428
SRSF10,0.3764573
STPG1,0.039172065
NIPAL3,0.06867078
RCAN3,0.0742764
SRRM1,0.47784325
CLIC4,0.33041418
RUNX3,0.024817731
SYF2,0.4408911
RSRP1,0.5231602
TMEM50A,0.5050917
MACO1,0.09543823
LDLRAP1,0.054439586
MAN1C1,0.06080602
ENSG00000233478,0.0
SELENON,0.20230588
MTFR1L,0.18489808
PAQR7,0.098365985
STMN1,0.35537678
PAFAH2,0.03336861
PDIK1L,0.028447656
FAM110D,0.032382924
ZNF593OS,0.0
ZNF593,0.47033468
CEP85,0.026295498
SH3BGRL3,0.95093375
UBXN11,0.0653662
CD52,0.21352297
DHDDS,0.08922585
HMGN2,0.78111666
RPS6KA1,0.07953547
ARID1A,0.19732396
PIGV,0.045959916
ZDHHC18,0.036475148
SFN,0.024810677
GPN2,0.05536588
GPATCH3,0.038948175
NUDC,0.63785505
KDF1,0.0628457
TRNP1,0.057017885
SLC9A1,0.06154966
WDTC1,0.074098326
TMEM222,0.13990654
SYTL1,0.030191833
MAP3K6,0.09236028
FCN3,0.15774155
CD164L2,0.0038523958
WASF2,0.34129545
AHDC1,0.060579106
FGR,0.041699916
IFI6,0.19739491
FAM76A,0.09555257
STX12,0.2029131
PPP1R8,0.06557224
THEMIS2,0.05123198
RPA2,0.1337363
XKR8,0.016691301
EYA3,0.1317179
PTAFR,0.03668322
DNAJC8,0.44909135
ATP5IF1,1.544791
ENSG00000270605,0.011785432
MED18,0.012212734
PHACTR4,0.14762866
RCC1,0.019031925
TRNAU1AP,0.08871307
SNHG12,0.11086389
TAF12,0.12265662
RAB42,0.0
GMEB1,0.048872907
YTHDF2,0.2109533
EPB41,0.07560196
TMEM200B,0.010542548
SRSF4,0.21089989
MECR,0.08816696
PTPRU,0.020108681
LAPTM5,0.14607427
SDC3,0.07042129
PUM1,0.24432279
NKAIN1,0.0
SNRNP40,0.19182639
ZCCHC17,0.14879654
FABP3,0.3458974
SERINC2,0.44046438
TINAGL1,0.49640304
PEF1,0.27001134
COL16A1,0.0066014957
PTP4A2,0.5578457
KHDRBS1,0.43318054
TMEM39B,0.046479993
KPNA6,0.13978638
TXLNA,0.12332822
CCDC28B,0.065883346
IQCC,0.0053588566
TMEM234,0.041865505
EIF3I,0.41699508
FAM167B,0.17655995
LCK,0.04000923
HDAC1,0.21900643
MARCKSL1,0.23370598
FAM229A,0.08235874
BSDC1,0.14278334
ZBTB8A,0.037824582
ZBTB8OS,0.22783159
RBBP4,0.3060694
SYNC,0.035438124
NHSL3,0.16311717
YARS1,0.04429068
S100PBP,0.04560387
TMEM54,0.10311362
RNF19B,0.06404649
AK2,0.47736597
ZNF362,0.07028056
PHC2,0.3885113
SMIM12,0.2862433
GJA4,0.11391328
ENSG00000284773,0.008328345
ZMYM6,0.060314503
ZMYM1,0.039375104
SFPQ,0.78729224
ZMYM4,0.13421206
KIAA0319L,0.13861777
TFAP2E-AS1,0.003583789
PSMB2,0.46621388
C1orf216,0.013389744
CLSPN,0.0041125715
AGO4,0.04002815
AGO1,0.06185277
AGO3,0.12738639
ADPRS,0.1463991
COL8A2,0.0
TRAPPC3,0.22026606
MAP7D1,0.1390028
THRAP3,0.25932834
SH3D21,0.017120695
EVA1B,0.25910264
STK40,0.11458094
LSM10,0.2077588
OSCP1,0.048086073
MRPS15,0.37803695
CSF3R,0.009628707
LITATS1,0.013452783
ZC3H12A,0.08640022
MEAF6,0.32786658
SNIP1,0.0660642
DNALI1,0.091930024
GNL2,0.08005084
AIRIM,0.034861505
CDCA8,0.0
YRDC,0.13022155
C1orf122,0.47610602
MTF1,0.046985738
INPP5B,0.018155742
SF3A3,0.15762971
FHL3,0.042416334
UTP11,0.12671088
RRAGC,0.06800666
MYCBP,0.094194606
RHBDL2,0.0
AKIRIN1,0.34878823
NDUFS5,1.6689243
MACF1,0.40708512
PABPC4,0.26528728
HEYL,0.027741378
PPIE,0.18205197
TRIT1,0.04415889
MFSD2A,0.017482366
CAP1,0.38653216
PPT1,0.31963205
RLF,0.09806441
ZMPSTE24-DT,0.03849648
ZMPSTE24,0.17922431
COL9A2,0.053036973
SMAP2,0.1469069
ZNF684,0.045657113
RIMS3,0.007337382
NFYC,0.13847546
CITED4,0.2008964
CTPS1,0.027968194
SCMH1,0.049659494
HIVEP3,0.046515882
FOXJ3,0.12524912
PPCS,0.32313108
CCDC30,0.02701144
PPIH,0.15093829
YBX1,1.1843916
P3H1,0.024917746
C1orf50,0.02243255
SVBP,0.19715388
ERMAP,0.022306044
ZNF691,0.02544385
SLC2A1,0.071602166
CFAP144,0.0
EBNA1BP2,0.19849522
TMEM125,0.041931957
C1orf210,0.083591655
TIE1,0.1082724
ELOVL1,0.13451418
MED8,0.121519044
SZT2,0.038063228
HYI,0.2549391
PTPRF,0.24219342
KDM4A,0.03197541
ST3GAL3,0.030860608
ARTN,0.008362249
IPO13,0.070882276
DPH2,0.03067025
ATP6V0B,1.313348
B4GALT2,0.051316928
CCDC24,0.03969454
SLC6A9,0.0026641733
DMAP1,0.16082919
ERI3,0.23660487
RNF220,0.097170316
TMEM53,0.08043094
KIF2C,0.0
RPS8,2.6502163
PLK3,0.07620598
BTBD19,0.011629714
EIF2B3,0.08546113
HECTD3,0.033587474
UROD,0.17078209
MUTYH,0.038781203
TOE1,0.04689082
PRDX1,1.6597077
AKR1A1,0.43511984
NASP,0.22952981
CCDC17,0.0063816733
GPBP1L1,0.19197844
TMEM69,0.07065384
IPP,0.034787938
MAST2,0.010127902
PIK3R3,0.07481914
TSPAN1,0.31839183
POMGNT1,0.1347458
LURAP1,0.025978336
LRRC41,0.13537396
UQCRH,1.6308186
NSUN4,0.052626353
FAAH,0.060936987
MKNK1,0.08680298
MOB3C,0.04798558
ATPAF1,0.1877418
EFCAB14,0.5114487
CYP4B1,0.0064363885
TAL1,0.07897572
CMPK1,0.29967132
TRABD2B,0.09595127
SPATA6,0.05230345
ELAVL4,0.0
FAF1,0.106705524
CDKN2C,0.045927573
RNF11,0.23274665
EPS15,0.17430834
OSBPL9,0.19641975
NRDC,0.234261
TXNDC12,0.20534968
KTI12,0.023892958
BTF3L4,0.3871681
ZFYVE9,0.050723393
CC2D1B,0.0451666
PRPF38A,0.19000112
TUT4,0.17518976
GPX7,0.02595634
SHISAL2A,0.009131667
COA7,0.027938882
ZYG11B,0.1276974
ECHDC2,0.50083494
SCP2,0.7675292
PODN,0.0
CPT2,0.073198244
CZIB,0.26604334
MAGOH,0.526911
LRP8,0.008098432
NDC1,0.02749789
YIPF1,0.06274519
IFT25,0.34460223
LRRC42,0.073973946
TMEM59,1.267454
TCEANC2,0.022428803
CYB5RL,0.017728576
MRPL37,0.16118735
SSBP3,0.16928805
ACOT11,0.047205817
TTC4,0.0064384807
DHCR24,0.09913073
TMEM61,0.11458049
USP24,0.10623444
PLPP3,0.50526637
OMA1,0.10867267
TACSTD2,0.7269531
MYSM1,0.1591676
JUN,1.2960337
FGGY,0.058125526
NFIA,0.27474993
NFIA-AS2,0.0
TM2D1,0.31088126
PATJ,0.19098862
USP1,0.10475094
DOCK7,0.09807803
ANGPTL3,0.06473152
ATG4C,0.050052926
ALG6,0.05136868
ITGB3BP,0.13440596
EFCAB7,0.024170807
PGM1,0.10324966
CACHD1,0.06273554
JAK1,0.40526414
AK4,0.14177746
DNAJC6,0.012241919
LEPROT,0.46957365
LEPR,0.033125762
PDE4B,0.035134293
SGIP1,0.021259535
MIER1,0.24717802
SERBP1,0.63055015
GADD45A,0.62625617
GNG12,0.24663964
WLS,0.25680944
LRRC40,0.04092067
SRSF11,0.45518348
ANKRD13C,0.048378166
ZRANB2,0.34023398
FPGT,0.07365504
FPGT-TNNI3K,0.0020338048
CRYZ,0.43513933
TYW3,0.1501165
ACADM,0.4592472
RABGGTB,0.27473247
ST6GALNAC3,0.030043488
PIGK,0.11490888
ZZZ3,0.096303344
USP33,0.17698067
MIGA1,0.15273713
NEXN,0.045286313
FUBP1,0.20723899
DNAJB4,0.38053805
GIPC2,0.116211064
ENSG00000273338,0.03381472
IFI44L,0.07319176
IFI44,0.0909569
ADGRL4,0.17092918
ADGRL2,0.16401367
TTLL7,0.029658819
PRKACB,0.13506483
RPF1,0.09916555
GNG5,1.2841882
SPATA1,0.020767491
CTBS,0.13149767
SSX2IP,0.06271058
C1orf52,0.117820226
BCL10,0.22328545
DDAH1,0.27862576
CCN1,0.4509236
ZNHIT6,0.043433838
ODF2L,0.16445872
SH3GLB1,0.357395
SELENOF,0.50938344
HS2ST1,0.09061233
LMO4,0.15305993
PKN2,0.26882452
GTF2B,0.19550821
KYAT3,0.10991188
RBMXL1,0.08611196
GBP3,0.082366176
GBP1,0.064941026
GBP2,0.061252814
GBP4,0.1524551
GBP5,0.016305577
LRRC8B,0.074249096
LRRC8C-DT,0.01593261
LRRC8C,0.046227016
LRRC8D,0.037629724
ZNF326,0.11305494
ZNF644,0.22770089
TGFBR3,0.11101062
BTBD8,0.02229582
GLMN,0.02049348
RPAP2,0.07998017
EVI5,0.086902544
RPL5,2.1401634
DIPK1A,0.0091729695
MTF2,0.07992009
TMED5,0.23837152
CCDC18,0.0067528547
DR1,0.17105316
FNBP1L,0.21360812
BCAR3,0.05831114
DNTTIP2,0.14487395
GCLM,0.101667486
ARHGAP29,0.49003285
ABCD3,0.19975363
F3,0.05903555
CNN3,0.8007669
ALG14,0.089
TLCD4,0.024021138
PTBP2,0.09991451
DPYD,0.07626875
SNX7,0.074394196
PALMD,0.07457802
AGL,0.19235726
SLC35A3,0.13362508
MFSD14A,0.025863357
TRMT13,0.059683528
DBT,0.1146082
RTCA-AS1,0.010704127
RTCA,0.11327712
CDC14A,0.044603854
VCAM1,0.11063162
EXTL2,0.05191402
SLC30A7,0.11570647
DPH5,0.052789763
DPH5-DT,0.02861796
S1PR1,0.1411173
RNPC3,0.16818698
PRMT6,0.042599685
VAV3,0.268832
SLC25A24,0.105567664
EEIG2,0.023933548
HENMT1,0.019443173
PRPF38B,0.20454961
STXBP3,0.21055298
GPSM2,0.022436759
CLCC1,0.06484332
WDR47,0.045804847
TAF13,0.12911035
TMEM167B,0.12337267
SARS1,0.28834975
CELSR2,0.060687564
PSRC1,0.0033466131
SORT1,0.17775649
PSMA5,0.39736924
CYB561D1,0.014155224
AMIGO1,0.017290203
GNAI3,0.25466326
AMPD2,0.06433838
GSTM4,0.16099483
GSTM1,0.0064274394
GSTM5,0.006161622
GSTM3,0.95338243
CSF1,0.039462168
AHCYL1,0.40985587
STRIP1,0.04800249
KCNC4,0.13545594
RBM15,0.036271293
SLC16A4,0.19270815
LAMTOR5,1.1608553
CD53,0.13512206
LRIF1,0.09885215
DRAM2,0.13515757
CEPT1,0.083042644
ENSG00000273221,0.0046853726
DENND2D,0.07730926
WDR77,0.086935684
ATP5PB,0.61954796
C1orf162,0.07484146
TMIGD3,0.0
ADORA3,0.0018959048
RAP1A,0.3000674
DDX20,0.09818613
CTTNBP2NL,0.14042115
WNT2B,0.0129703665
ST7L,0.08589018
CAPZA1,0.30785382
MOV10,0.04775414
RHOC,0.63708884
PPM1J,0.007225608
SLC16A1,0.018746072
SLC16A1-AS1,0.019598786
LRIG2,0.05912078
MAGI3,0.06681027
PHTF1,0.05286904
RSBN1,0.13276643
PTPN22,0.03831094
AP4B1,0.033594735
DCLRE1B,0.02043728
HIPK1-AS1,0.007946348
HIPK1,0.17226167
OLFML3,0.0034865735
TRIM33,0.15778416
BCAS2,0.26134253
DENND2C,0.009788449
