,3487
LINC01409,0.056409344
NOC2L,0.12211628
PERM1,0.00047755113
ENSG00000272512,0.0036174715
HES4,0.037236378
ISG15,0.00956982
AGRN,0.13518092
RNF223,0.0006372689
C1orf159,0.13454327
TNFRSF18,0.006707946
TNFRSF4,0.0030441857
SDF4,0.062117565
B3GALT6,0.0059930836
UBE2J2,0.17354472
ACAP3,0.089267105
PUSL1,0.0017870486
INTS11,0.07869475
CPTP,0.0040194998
DVL1,0.036273368
MXRA8,0.017211422
AURKAIP1,0.035026807
CCNL2,0.27234027
MRPL20,0.089870535
VWA1,0.01234382
ATAD3A,0.063878305
SSU72,0.08811493
SSU72-AS1,0.0014181318
FNDC10,0.0
ENSG00000272106,0.001927414
MIB2,0.041437093
MMP23B,0.005175552
CDK11B,0.14917757
SLC35E2B,0.052681018
CDK11A,0.070828974
SLC35E2A,0.052664664
NADK,0.117127664
GNB1,1.1217893
GABRD,0.0
PRKCZ,0.2870818
FAAP20,0.06581982
SKI,0.33932585
RER1,0.0831602
PEX10,0.037467245
PANK4,0.009683406
HES5,0.0
ENSG00000272449,0.005109959
TNFRSF14-AS1,0.007521645
TNFRSF14,0.12880424
PRXL2B,0.0069505116
MMEL1,0.0008720703
PRDM16,0.19796664
ENSG00000272235,0.0
ARHGEF16,0.05177676
MEGF6,0.025730213
TPRG1L,0.01923116
WRAP73,0.034455534
SMIM1,0.0005998664
LRRC47,0.04182844
CEP104,0.12604567
DFFB,0.027108023
C1orf174,0.018265806
NPHP4,0.10350988
KCNAB2,0.14575765
RPL22,0.062831566
ICMT,0.020512838
ACOT7,0.0685568
TNFRSF25,0.015713343
PLEKHG5,0.03583462
NOL9,0.121934846
ZBTB48,0.05538852
KLHL21,0.035230074
PHF13,0.026052833
THAP3,0.016452108
DNAJC11,0.21960898
CAMTA1,0.72374886
VAMP3,0.031260867
PER3,0.15397
PARK7,0.0789938
ERRFI1,0.6321406
RERE,1.3509002
ENO1,0.50491065
GPR157,0.06495616
MIR34AHG,0.06276369
H6PD,0.1206551
SPSB1,0.56317264
SLC25A33,0.124357305
PIK3CD,0.14165793
CLSTN1,0.1877694
CTNNBIP1,0.12868533
LZIC,0.039786033
NMNAT1,0.090992644
RBP7,0.0024620756
UBE4B,0.3209616
KIF1B,0.81746536
PGD,0.047657013
CENPS,0.0
DFFA,0.09544122
PEX14,0.34901077
CASZ1,0.21786092
TARDBP,0.0019081504
SRM,0.09732573
EXOSC10,0.099363714
MTOR,0.2354258
UBIAD1,0.029542238
FBXO2,0.0083048185
FBXO44,0.011082129
FBXO6,0.008579636
MAD2L2,0.0076452484
AGTRAP,0.025339587
C1orf167,0.0049244296
MTHFR,0.21045412
CLCN6,0.109245814
KIAA2013,0.022817325
PLOD1,0.03684438
MFN2,0.09992307
MIIP,0.016394364
TNFRSF1B,0.19314805
VPS13D,0.83441633
DHRS3,0.2443203
PDPN,0.0018393975
PRDM2,0.4387098
KAZN,1.2597352
TMEM51,0.61802053
FHAD1,0.042722214
EFHD2,0.059207186
CASP9,0.041340094
DNAJC16,0.13061662
DDI2,0.19050068
PLEKHM2,0.21633151
SLC25A34,0.01586265
FBLIM1,0.17345597
SPEN-AS1,0.020556198
SPEN,0.53620577
ZBTB17,0.074186966
SRARP,0.0015634391
HSPB7,0.0038193108
EPHA2,0.14826173
CPLANE2,0.00074367615
FBXO42,0.3250404
SZRD1,0.09595193
NECAP2,0.047120716
NBPF1,0.06710133
CROCC,0.099881135
ENSG00000238142,0.0017116956
MFAP2,0.0012592106
ATP13A2,0.0622715
SDHB,0.16423588
PADI2,0.012677437
PADI4,0.009444651
RCC2,0.1294638
ARHGEF10L,0.45762995
IGSF21,0.017496692
ALDH4A1,0.0
IFFO2,0.15236026
UBR4,0.44235328
EMC1,0.04417719
MRTO4,0.07209968
AKR7A3,0.017367829
AKR7A2,0.028933989
SLC66A1,0.017973382
CAPZB,0.8281415
MICOS10,0.0
NBL1,0.019926393
TMCO4,0.21376327
OTUD3,0.07730736
PLA2G5,0.0
CAMK2N1,0.12933847
MUL1,0.011848383
CDA,0.009234718
PINK1,0.028519878
PINK1-AS,0.008250039
DDOST,0.050164625
KIF17,0.0070195408
HP1BP3,0.36282223
EIF4G3,1.0740188
ECE1,0.3818052
NBPF3,0.026341159
ALPL,0.05195938
USP48,0.27516943
HSPG2,0.23996127
CDC42,0.25199872
WNT4,0.0020050767
ZBTB40,0.13968822
C1QA,0.020429112
C1QC,0.010009805
C1QB,0.015331499
EPHB2,0.15726458
KDM1A,0.16810179
LUZP1,0.42408055
HNRNPR,0.30362174
ZNF436,0.008563647
TCEA3,0.06418907
ASAP3,0.12077744
ID3,0.023794029
RPL11,0.16953418
ELOA,0.0755151
PITHD1,0.04031859
LYPLA2,0.03648282
GALE,0.0950104
HMGCL,0.06343932
FUCA1,0.009174882
PNRC2,0.052777365
SRSF10,0.32090902
STPG1,0.03707877
NIPAL3,0.06828098
RCAN3,0.07902004
SRRM1,0.24365695
CLIC4,0.52397877
RUNX3,0.07591395
SYF2,0.027808335
RSRP1,0.36563504
TMEM50A,0.0451833
MACO1,0.19637325
LDLRAP1,0.047012165
MAN1C1,0.27406767
ENSG00000233478,0.039274868
SELENON,0.012605308
MTFR1L,0.048068043
PAQR7,0.03265818
STMN1,0.019209923
PAFAH2,0.047463812
PDIK1L,0.020920286
FAM110D,0.005044524
ZNF593OS,0.0
ZNF593,0.00791927
CEP85,0.046020355
SH3BGRL3,0.03234369
UBXN11,0.02944903
CD52,0.012765036
DHDDS,0.11717155
HMGN2,0.04566384
RPS6KA1,0.095659636
ARID1A,0.49837783
PIGV,0.01015864
ZDHHC18,0.058518685
SFN,0.024953773
GPN2,0.056321036
GPATCH3,0.017271353
NUDC,0.10912106
KDF1,0.008093991
TRNP1,0.07548316
SLC9A1,0.101565845
WDTC1,0.11891219
TMEM222,0.061902843
SYTL1,0.014307833
MAP3K6,0.022961484
FCN3,0.0037595779
CD164L2,0.0
WASF2,0.46523798
AHDC1,0.18495542
FGR,0.07895868
IFI6,0.0078027314
FAM76A,0.049409743
STX12,0.30471447
PPP1R8,0.043645784
THEMIS2,0.0341546
RPA2,0.070937596
XKR8,0.0040911636
EYA3,0.47103167
PTAFR,0.084796265
DNAJC8,0.07494449
ATP5IF1,0.05742008
ENSG00000270605,0.007217986
MED18,0.0028511863
PHACTR4,0.74931014
RCC1,0.102712266
TRNAU1AP,0.17184308
SNHG12,0.03651941
TAF12,0.05278292
RAB42,0.0016072826
GMEB1,0.09329884
YTHDF2,0.24717501
EPB41,0.58534855
TMEM200B,0.0038213378
SRSF4,0.76998085
MECR,0.08352885
PTPRU,0.016605625
LAPTM5,0.08047241
SDC3,0.057385676
PUM1,0.87953067
NKAIN1,0.002223695
