,31-10001
LINC01409,0.14321762
NOC2L,0.09967521
PERM1,0.00089151907
ENSG00000272512,0.0053943307
HES4,0.05637926
ISG15,0.039224625
AGRN,0.27558702
RNF223,0.0015645463
C1orf159,0.12861465
TNFRSF18,0.010754355
TNFRSF4,0.013230674
SDF4,0.13816775
B3GALT6,0.022302724
UBE2J2,0.195767
ACAP3,0.102662295
PUSL1,0.012139933
INTS11,0.15584068
CPTP,0.044123635
DVL1,0.07144377
MXRA8,0.02389706
AURKAIP1,0.2208109
CCNL2,0.3481641
MRPL20,0.1990947
VWA1,0.05191493
ATAD3A,0.061946556
SSU72,0.20470364
SSU72-AS1,0.0066833114
FNDC10,0.016558494
ENSG00000272106,0.011677819
MIB2,0.10040652
MMP23B,0.009163058
CDK11B,0.13641746
SLC35E2B,0.17635289
CDK11A,0.10056888
SLC35E2A,0.18675761
NADK,0.11099482
GNB1,0.7866689
GABRD,0.00080614025
PRKCZ,0.28263643
FAAP20,0.15076075
SKI,0.362212
RER1,0.20033997
PEX10,0.054271024
PANK4,0.022117047
HES5,0.00020125923
ENSG00000272449,0.018988077
TNFRSF14-AS1,0.02961836
TNFRSF14,0.14231618
PRXL2B,0.047234993
MMEL1,0.006224944
PRDM16,0.6762528
ENSG00000272235,0.0007141763
ARHGEF16,0.08770699
MEGF6,0.027222496
TPRG1L,0.051139444
WRAP73,0.051272493
SMIM1,0.017078275
LRRC47,0.075808816
CEP104,0.20184171
DFFB,0.06658976
C1orf174,0.042866074
NPHP4,0.109805286
KCNAB2,0.08238312
RPL22,0.36986542
ICMT,0.06276527
ACOT7,0.054026145
TNFRSF25,0.048758965
PLEKHG5,0.05757644
NOL9,0.20851079
ZBTB48,0.08809268
KLHL21,0.10383627
PHF13,0.0424299
THAP3,0.053887058
DNAJC11,0.5030036
CAMTA1,0.71322054
VAMP3,0.078709856
PER3,0.3244435
PARK7,0.25626346
ERRFI1,0.08640353
RERE,1.7097492
ENO1,0.6436536
GPR157,0.07395402
MIR34AHG,0.09711617
H6PD,0.16229543
SPSB1,0.0960663
SLC25A33,0.18356062
PIK3CD,0.08431338
CLSTN1,0.37943253
CTNNBIP1,0.15320155
LZIC,0.11268161
NMNAT1,0.22520976
RBP7,0.057674225
UBE4B,0.5290278
KIF1B,0.626555
PGD,0.08111
CENPS,0.0064372364
DFFA,0.16178653
PEX14,0.37184116
CASZ1,0.4727433
TARDBP,0.034720756
SRM,0.06639678
EXOSC10,0.12552348
MTOR,0.35862225
UBIAD1,0.06679795
FBXO2,0.049113005
FBXO44,0.0836476
FBXO6,0.016493829
MAD2L2,0.022500534
AGTRAP,0.07220042
C1orf167,0.00446912
MTHFR,0.12023219
CLCN6,0.11360056
KIAA2013,0.08777104
PLOD1,0.06940053
MFN2,0.17668414
MIIP,0.033346016
TNFRSF1B,0.10488826
VPS13D,0.86003715
DHRS3,0.36455992
PDPN,0.0017938291
PRDM2,0.4472568
KAZN,1.9003596
TMEM51,0.41336045
FHAD1,0.053634007
EFHD2,0.057133302
CASP9,0.07480161
DNAJC16,0.22838154
DDI2,0.2411286
