,PRE98sc
RCC1,0.009379172
TRNAU1AP,0.060140684
SNHG12,0.033884373
TAF12,0.07573612
RAB42,0.002190949
GMEB1,0.0339527
YTHDF2,0.18024988
EPB41,0.09327521
TMEM200B,0.009352615
SRSF4,0.16926958
MECR,0.04991705
PTPRU,0.03448506
LAPTM5,0.033004414
SDC3,0.028954668
PUM1,0.24653742
NKAIN1,0.0
SNRNP40,0.13051617
ZCCHC17,0.084833086
FABP3,0.3283196
SERINC2,0.38567513
TINAGL1,0.3181915
PEF1,0.14267646
COL16A1,0.008403091
PTP4A2,0.5552153
KHDRBS1,0.41494316
TMEM39B,0.029240416
KPNA6,0.12805878
TXLNA,0.08697722
CCDC28B,0.078984834
IQCC,0.011031706
TMEM234,0.048118345
EIF3I,0.2072129
FAM167B,0.049669504
LCK,0.006125076
HDAC1,0.19202994
MARCKSL1,0.17716219
FAM229A,0.12617935
BSDC1,0.07524704
ZBTB8A,0.027865749
ZBTB8OS,0.13594796
RBBP4,0.4025079
SYNC,0.061552968
NHSL3,0.13697387
YARS1,0.023068452
S100PBP,0.06889466
TMEM54,0.1008603
RNF19B,0.044803657
AK2,0.36224702
ZNF362,0.08543186
PHC2,0.28184327
SMIM12,0.1371249
GJA4,0.03597
ENSG00000284773,0.008523874
ZMYM6,0.07369018
ZMYM1,0.057601478
SFPQ,0.56237435
ZMYM4,0.11033299
KIAA0319L,0.15935113
TFAP2E-AS1,0.0
PSMB2,0.32540944
C1orf216,0.0038256284
CLSPN,0.0
AGO4,0.04478804
AGO1,0.07679849
AGO3,0.11107959
ADPRS,0.07378062
COL8A2,0.0
TRAPPC3,0.1425806
MAP7D1,0.08325464
THRAP3,0.31522092
SH3D21,0.01869128
EVA1B,0.17224015
STK40,0.051417124
LSM10,0.109442055
OSCP1,0.023433192
MRPS15,0.23748578
CSF3R,0.0042392137
LITATS1,0.024259824
ZC3H12A,0.020972768
MEAF6,0.34899023
SNIP1,0.048936557
DNALI1,0.055602238
GNL2,0.02242771
AIRIM,0.042846143
CDCA8,0.0
YRDC,0.04383479
C1orf122,0.32323635
MTF1,0.020727826
