,PRE027
LINC01409,0.009219039
NOC2L,0.13133602
PERM1,0.0075379293
ENSG00000272512,0.017036442
HES4,0.37889385
ISG15,0.14784151
AGRN,0.24856456
RNF223,0.0
C1orf159,0.020737858
TNFRSF18,0.0013249414
TNFRSF4,0.015426292
SDF4,0.2512226
B3GALT6,0.07823746
UBE2J2,0.17445433
ACAP3,0.06535926
PUSL1,0.04810273
INTS11,0.16114643
CPTP,0.12716004
DVL1,0.10048702
MXRA8,0.03294966
AURKAIP1,1.0014492
CCNL2,0.24667764
MRPL20,0.7942408
VWA1,0.17399545
ATAD3A,0.05287387
SSU72,0.5803858
SSU72-AS1,0.0046188124
FNDC10,0.030606778
ENSG00000272106,0.059293844
MIB2,0.17704774
MMP23B,0.0007824042
CDK11B,0.081964545
SLC35E2B,0.0311503
CDK11A,0.01746957
SLC35E2A,0.029702032
NADK,0.07908714
GNB1,0.3849863
GABRD,0.0
PRKCZ,0.061722655
FAAP20,0.43725386
SKI,0.09407468
RER1,0.5288151
PEX10,0.1143911
PANK4,0.036969353
HES5,0.0
ENSG00000272449,0.055241227
TNFRSF14-AS1,0.03177521
TNFRSF14,0.12738733
PRXL2B,0.043924127
MMEL1,0.006395414
PRDM16,0.09487787
ENSG00000272235,0.0
ARHGEF16,0.074215055
MEGF6,0.014674286
TPRG1L,0.1506112
WRAP73,0.055913314
SMIM1,0.14651562
LRRC47,0.11484577
CEP104,0.088627584
DFFB,0.010849736
C1orf174,0.07872495
NPHP4,0.028286349
KCNAB2,0.025975278
RPL22,1.3304869
ICMT,0.14445248
ACOT7,0.15293813
TNFRSF25,0.014911765
PLEKHG5,0.012994324
NOL9,0.060253903
ZBTB48,0.06462605
KLHL21,0.07205031
PHF13,0.036286555
THAP3,0.09540322
DNAJC11,0.15135252
CAMTA1,0.81683433
VAMP3,0.24290666
PER3,0.12028506
PARK7,0.97836435
ERRFI1,0.4008486
RERE,0.29473802
ENO1,1.0780205
GPR157,0.023226975
MIR34AHG,0.001321524
H6PD,0.08966836
SPSB1,0.04279651
SLC25A33,0.1912805
PIK3CD,0.01847889
CLSTN1,0.34031987
CTNNBIP1,0.07871908
LZIC,0.11313686
NMNAT1,0.039911944
RBP7,0.104818046
UBE4B,0.09179849
KIF1B,0.124693215
PGD,0.12668489
CENPS,0.04430378
DFFA,0.13413042
PEX14,0.0500689
CASZ1,0.11064264
TARDBP,0.2088111
SRM,0.15528092
EXOSC10,0.0604131
MTOR,0.05302771
UBIAD1,0.049988583
FBXO2,0.09283031
FBXO44,0.12213604
FBXO6,0.027894126
MAD2L2,0.09282496
AGTRAP,0.17507553
C1orf167,0.0047969655
MTHFR,0.060910225
CLCN6,0.05093915
KIAA2013,0.15832198
PLOD1,0.04798013
MFN2,0.14497387
MIIP,0.05534913
TNFRSF1B,0.021017369
VPS13D,0.13708189
DHRS3,0.4532242
PDPN,0.0014259237
PRDM2,0.1398357
KAZN,0.13075063
TMEM51,0.15604252
FHAD1,0.0032201775
EFHD2,0.099894494
CASP9,0.07078608
DNAJC16,0.09942242
DDI2,0.06275232
PLEKHM2,0.09653944
SLC25A34,0.0181481
FBLIM1,0.014030074
SPEN-AS1,0.058456335
SPEN,0.17390287
ZBTB17,0.049963646
SRARP,0.09616386
HSPB7,0.016881865
EPHA2,0.04861924
CPLANE2,0.015982958
FBXO42,0.04980787
SZRD1,0.20706786
NECAP2,0.12069739
NBPF1,0.033761322
CROCC,0.030503737
ENSG00000238142,0.056372516
MFAP2,0.0070851506
ATP13A2,0.052806273
SDHB,0.33589092
PADI2,0.0201879
PADI4,0.0
RCC2,0.08037511
ARHGEF10L,0.10488508
IGSF21,0.0021510855
ALDH4A1,0.37527347
IFFO2,0.011883769
UBR4,0.050471917
EMC1,0.091478385
MRTO4,0.08265469
AKR7A3,0.17428675
AKR7A2,0.47128934
