,31-10006
LINC01409,0.1824099
NOC2L,0.07797491
PERM1,0.002912657
ENSG00000272512,0.0045337384
HES4,0.06304439
ISG15,0.05611395
AGRN,0.14817742
RNF223,0.0019592317
C1orf159,0.07220827
TNFRSF18,0.0
TNFRSF4,0.0060713007
SDF4,0.13465966
B3GALT6,0.021231685
UBE2J2,0.10089697
ACAP3,0.030210054
PUSL1,0.0058198785
INTS11,0.11996548
CPTP,0.04221101
DVL1,0.04023752
MXRA8,0.011363733
AURKAIP1,0.20556198
CCNL2,0.22984535
MRPL20,0.2618498
VWA1,0.046031434
ATAD3A,0.03366132
SSU72,0.16376068
SSU72-AS1,0.011164941
FNDC10,0.0067737205
ENSG00000272106,0.007399421
MIB2,0.056910064
MMP23B,0.006083195
CDK11B,0.09401439
SLC35E2B,0.13800159
CDK11A,0.0763319
SLC35E2A,0.15320249
NADK,0.079531826
GNB1,0.52349836
GABRD,0.0006114688
PRKCZ,0.12484661
FAAP20,0.121295266
SKI,0.24057253
RER1,0.17256373
PEX10,0.058350477
PANK4,0.0117969
HES5,0.00058479846
ENSG00000272449,0.016898755
TNFRSF14-AS1,0.028303456
TNFRSF14,0.06591806
PRXL2B,0.03372798
MMEL1,0.008713577
PRDM16,0.7565218
ENSG00000272235,0.012010966
ARHGEF16,0.050709683
MEGF6,0.011877354
TPRG1L,0.035225503
WRAP73,0.026731368
SMIM1,0.008548987
LRRC47,0.05869226
CEP104,0.14965333
DFFB,0.0423744
C1orf174,0.03278712
NPHP4,0.08540058
KCNAB2,0.017508615
RPL22,0.14946344
ICMT,0.08297081
ACOT7,0.020581447
TNFRSF25,0.021766761
PLEKHG5,0.056724247
NOL9,0.15207273
ZBTB48,0.0805685
KLHL21,0.16378625
PHF13,0.032195028
THAP3,0.05443899
DNAJC11,0.5640622
CAMTA1,0.6430861
VAMP3,0.07847569
PER3,0.3031409
PARK7,0.43086228
ERRFI1,0.067949936
RERE,1.7690467
ENO1,0.68875706
GPR157,0.06000016
MIR34AHG,0.0749998
H6PD,0.11342474
SPSB1,0.0450751
SLC25A33,0.17177239
PIK3CD,0.05218289
CLSTN1,0.35785824
CTNNBIP1,0.09663133
LZIC,0.12208568
NMNAT1,0.24040395
RBP7,0.08774876
UBE4B,0.40653569
KIF1B,0.5048918
PGD,0.05668909
CENPS,0.0
DFFA,0.10713331
PEX14,0.30659792
CASZ1,0.34083575
TARDBP,0.015125421
SRM,0.036053263
EXOSC10,0.09529882
MTOR,0.35050932
UBIAD1,0.057022516
FBXO2,0.08075727
FBXO44,0.039222356
FBXO6,0.011358448
MAD2L2,0.0060765306
AGTRAP,0.05516666
C1orf167,0.00823435
MTHFR,0.06792359
CLCN6,0.09657731
KIAA2013,0.062095344
PLOD1,0.036090583
MFN2,0.09994902
MIIP,0.01071029
TNFRSF1B,0.044594713
VPS13D,0.6552287
DHRS3,0.23742875
PDPN,0.0010707699
PRDM2,0.3495685
KAZN,2.0580707
TMEM51,0.31455648
FHAD1,0.041373488
EFHD2,0.02167216
CASP9,0.04907056
DNAJC16,0.1590265
DDI2,0.16310996
PLEKHM2,0.13055791
SLC25A34,0.00459769
FBLIM1,0.051994853
SPEN-AS1,0.07680849
SPEN,0.4111882
ZBTB17,0.05819518
SRARP,0.004398459
HSPB7,0.050113678
EPHA2,0.041642047
CPLANE2,0.005944768
FBXO42,0.37434584
SZRD1,0.15223368
NECAP2,0.07748127
NBPF1,0.09239267
CROCC,0.28905913
ENSG00000238142,0.012642063
MFAP2,0.0047442997
ATP13A2,0.043531787
SDHB,0.21050037
PADI2,0.07742385
PADI4,0.0010515176
RCC2,0.090478376
ARHGEF10L,0.58392745
IGSF21,0.0072981976
ALDH4A1,0.0
IFFO2,0.021300508
UBR4,0.31248665
EMC1,0.090457745
MRTO4,0.06311147
AKR7A3,0.02399983
AKR7A2,0.10361043
SLC66A1,0.013778844
CAPZB,0.38286015
MICOS10,0.0
NBL1,0.0243785
TMCO4,0.34926146
OTUD3,0.06546174
PLA2G5,0.0009934207
CAMK2N1,0.14769433
MUL1,0.042251643
CDA,0.027376264
PINK1,0.15620364
PINK1-AS,0.033944197
DDOST,0.10815714
KIF17,0.009808699
HP1BP3,0.52542514
EIF4G3,0.95713764
ECE1,0.19596381
NBPF3,0.035359755
ALPL,0.020713603
USP48,0.3867475
HSPG2,0.4256725
CDC42,0.3204666
WNT4,0.013337456
ZBTB40,0.13620242
C1QA,0.015169369
C1QC,0.0031726437
C1QB,0.011770489
EPHB2,0.12845701
KDM1A,0.22936417
LUZP1,0.29239526
HNRNPR,0.41697332
ZNF436,0.014754853
TCEA3,0.2372676
ASAP3,0.09156048
ID3,0.19215769
RPL11,0.641441
ELOA,0.078644976
PITHD1,0.07455308
LYPLA2,0.045679715
GALE,0.07973357
HMGCL,0.1315454
FUCA1,0.1856805
PNRC2,0.15628672
SRSF10,0.405978
STPG1,0.0810866
NIPAL3,0.3229211
RCAN3,0.08456108
SRRM1,0.35516375
CLIC4,0.44407046
RUNX3,0.005035693
SYF2,0.1403008
RSRP1,0.74903375
TMEM50A,0.16925825
MACO1,0.19449466
LDLRAP1,0.059394654
MAN1C1,0.22929634
ENSG00000233478,0.08656803
SELENON,0.0145417815
MTFR1L,0.07460109
PAQR7,0.03605461
STMN1,0.117619395
PAFAH2,0.0621112
PDIK1L,0.053342666
FAM110D,0.01380291
ZNF593OS,0.0007023286
ZNF593,0.040682692
CEP85,0.041003603
SH3BGRL3,0.08527321
UBXN11,0.050820775
CD52,0.0040624375
DHDDS,0.1620133
HMGN2,0.18094695
RPS6KA1,0.0682241
ARID1A,0.488713
PIGV,0.05080616
ZDHHC18,0.03223737
SFN,0.0010757357
GPN2,0.056596756
GPATCH3,0.01916452
NUDC,0.16613267
KDF1,0.02882401
TRNP1,0.023459876
SLC9A1,0.095588006
WDTC1,0.1460827
TMEM222,0.070985354
SYTL1,0.00575977
MAP3K6,0.011760936
FCN3,0.0026280526
CD164L2,0.00012553832
WASF2,0.40576673
AHDC1,0.20376144
FGR,0.0077409986
IFI6,0.041872293
FAM76A,0.09767266
STX12,0.24823761
PPP1R8,0.07038412
THEMIS2,0.0063126255
RPA2,0.09382113
XKR8,0.011298864
EYA3,0.5100594
PTAFR,0.014615378
DNAJC8,0.1312795
