,3593
PHACTR4,0.8746244
RCC1,0.116663896
TRNAU1AP,0.2254626
SNHG12,0.032399002
TAF12,0.19696106
RAB42,0.0011599826
GMEB1,0.18377551
YTHDF2,0.25144902
EPB41,0.5018589
TMEM200B,0.0057436572
SRSF4,0.6517835
MECR,0.1354279
PTPRU,0.06419373
LAPTM5,0.020771056
SDC3,0.034471836
PUM1,1.1282402
NKAIN1,0.006229808
SNRNP40,0.19660886
ZCCHC17,0.23323786
FABP3,0.012075527
SERINC2,0.27941296
TINAGL1,0.5765167
PEF1,0.08352877
COL16A1,0.08640507
PTP4A2,0.16177706
KHDRBS1,0.4013813
TMEM39B,0.08220123
KPNA6,0.44828105
TXLNA,0.09921801
CCDC28B,0.019665804
IQCC,0.009832981
TMEM234,0.039223194
EIF3I,0.0824183
FAM167B,0.04861923
LCK,0.024894457
HDAC1,0.25951838
MARCKSL1,0.0470373
FAM229A,0.015932998
BSDC1,0.2597083
ZBTB8A,0.045612752
ZBTB8OS,0.47617579
RBBP4,0.31952617
SYNC,0.061661433
NHSL3,0.2935443
YARS1,0.15070225
S100PBP,0.35141367
TMEM54,0.053148877
RNF19B,0.106035486
AK2,0.22606812
ZNF362,0.21783179
PHC2,0.5575636
SMIM12,0.17400186
GJA4,0.04495076
ENSG00000284773,0.031207422
ZMYM6,0.00035754836
ZMYM1,0.2689868
SFPQ,0.5312754
ZMYM4,0.89949584
KIAA0319L,0.81149304
TFAP2E-AS1,0.0044096066
PSMB2,0.14361192
C1orf216,0.010301445
CLSPN,0.010311825
AGO4,0.46814492
AGO1,0.14682296
AGO3,0.9556913
ADPRS,0.048028227
COL8A2,0.018370181
TRAPPC3,0.079182774
MAP7D1,0.071822524
THRAP3,0.54869616
SH3D21,0.029908331
EVA1B,0.07467315
STK40,0.16014317
LSM10,0.03579389
OSCP1,0.068596445
MRPS15,0.05162354
CSF3R,0.008619978
LITATS1,0.053559124
ZC3H12A,0.013527363
MEAF6,0.12191877
SNIP1,0.06309374
DNALI1,0.024956416
GNL2,0.05817261
AIRIM,0.031629223
CDCA8,0.006399144
YRDC,0.022751924
C1orf122,0.07406596
MTF1,0.12979566
INPP5B,0.30192697
SF3A3,0.12109439
FHL3,0.01756305
UTP11,0.0262277
RRAGC,0.07932905
MYCBP,0.019333087
RHBDL2,0.075348645
AKIRIN1,0.2747192
NDUFS5,0.16144283
MACF1,1.5904717
PABPC4,0.14447363
HEYL,0.02179594
PPIE,0.06302667
TRIT1,0.1889697
MFSD2A,0.005482577
CAP1,0.24757667
PPT1,0.113458134
RLF,0.49812287
ZMPSTE24-DT,0.011621446
ZMPSTE24,0.16707371
COL9A2,0.031169446
SMAP2,0.11199431
ZNF684,0.09070929
RIMS3,0.010368328
NFYC,0.5172618
CITED4,0.01772691
CTPS1,0.09911823
SCMH1,0.9616628
HIVEP3,0.3413612
FOXJ3,0.6273429
PPCS,0.07156795
CCDC30,0.54107577
PPIH,0.08235139
YBX1,0.23262417
P3H1,0.046660773
C1orf50,0.0
SVBP,0.029660938
ERMAP,0.09711669
ZNF691,0.022181278
SLC2A1,0.15254423
CFAP144,0.008826055
EBNA1BP2,0.11422293
TMEM125,0.04376178
C1orf210,0.014384179
TIE1,0.11213959
ELOVL1,0.04688852
MED8,0.038022894
SZT2,0.21823098
HYI,0.031635515
PTPRF,0.30754632
KDM4A,0.0
ST3GAL3,0.0053586243
ARTN,0.0049071023
IPO13,0.024500636
DPH2,0.012921516
ATP6V0B,0.21227494
B4GALT2,0.04118157
CCDC24,0.11837539
SLC6A9,0.039969977
DMAP1,0.05596096
ERI3,0.35510764
RNF220,0.076952964
TMEM53,0.08461751
KIF2C,0.008769668
RPS8,0.18080592
PLK3,0.030736111
BTBD19,0.026619717
EIF2B3,0.30652362
HECTD3,0.033862397
UROD,0.034150846
MUTYH,0.04676925
TOE1,0.016671643
PRDX1,0.42388442
AKR1A1,0.10883577
NASP,0.26045024
CCDC17,0.0031259228
GPBP1L1,0.7050062
TMEM69,0.05602959
IPP,0.18142916
MAST2,0.25653124
PIK3R3,0.04057719
TSPAN1,0.29173666
POMGNT1,0.13671832
LURAP1,0.21036474
LRRC41,0.18327552
UQCRH,0.2703258
NSUN4,0.15487117
FAAH,0.06554308
MKNK1,0.20039532
MOB3C,0.0
ATPAF1,0.20737211
EFCAB14,0.28354198
CYP4B1,0.011952377
TAL1,0.016204549
CMPK1,0.21811554
TRABD2B,0.2200216
SPATA6,0.54287773
ELAVL4,0.0023151631
FAF1,1.2903018
CDKN2C,0.0034716816
RNF11,0.25477904
EPS15,0.76264024
OSBPL9,0.7294806
NRDC,0.6733757
TXNDC12,0.14215688
KTI12,0.0
BTF3L4,0.23553841
ZFYVE9,0.5490842
CC2D1B,0.09022099
PRPF38A,0.07410022
TUT4,0.7597148
GPX7,0.01613745
SHISAL2A,0.012807602
COA7,0.025122397
ZYG11B,0.3945632
ECHDC2,0.5559965
SCP2,0.38622513
PODN,0.014710642
CPT2,0.05149508
CZIB,0.03101518
MAGOH,0.08039331
LRP8,0.029973598
NDC1,0.17676
YIPF1,0.07951892
IFT25,0.16479762
LRRC42,0.045217894
TMEM59,0.38180214
TCEANC2,0.088278666
CYB5RL,0.0
MRPL37,0.048830286
SSBP3,0.6591816
ACOT11,0.5516523
TTC4,0.0026070415
DHCR24,0.14160123
TMEM61,0.0273778
USP24,0.8067542
PLPP3,0.43765435
OMA1,0.00021014019
TACSTD2,0.68140805
MYSM1,0.3455239
JUN,0.13446914
FGGY,0.6302203
NFIA,1.2925329
NFIA-AS2,0.00039753108
TM2D1,0.39685538
PATJ,1.7721748
USP1,0.066130586
DOCK7,0.53994745
ANGPTL3,0.003990063
ATG4C,0.22656535
ALG6,0.09991826
ITGB3BP,0.21926633
EFCAB7,0.15060061
PGM1,0.17293747
CACHD1,0.21603036
JAK1,0.7456798
AK4,0.11859241
DNAJC6,0.29967263
LEPROT,0.00013736286
LEPR,0.47336233
PDE4B,0.083073795
SGIP1,0.72811925
MIER1,0.46664882
SERBP1,0.25642514
GADD45A,0.06601797
GNG12,0.43274468
WLS,0.41871345
LRRC40,0.14656909
SRSF11,0.8234982
ANKRD13C,0.49101788
ZRANB2,0.5825978
FPGT,0.0
FPGT-TNNI3K,0.0007415854
CRYZ,0.27178857
TYW3,0.105331145
ACADM,0.27453136
RABGGTB,0.064486995
ST6GALNAC3,0.41092
PIGK,0.22604497
ZZZ3,0.8257317
USP33,0.57305366
MIGA1,0.36943066
NEXN,0.19595757
FUBP1,0.450745
DNAJB4,0.0022021038
GIPC2,0.1321069
ENSG00000273338,0.0012478813
IFI44L,0.05436061
IFI44,0.09158354
ADGRL4,0.28092614
ADGRL2,0.6034174
TTLL7,0.07319436
PRKACB,0.35074395
RPF1,0.10153897
GNG5,0.16455977
SPATA1,0.18156466
CTBS,0.1928041
SSX2IP,0.15166092
C1orf52,0.10080146
BCL10,0.051403444
DDAH1,0.69661313
CCN1,0.13842654
ZNHIT6,0.3678588
ODF2L,0.38157737
SH3GLB1,0.3323326
SELENOF,0.37776184
HS2ST1,0.336143
LMO4,0.32104778
PKN2,0.7739016
GTF2B,0.16111557
KYAT3,0.26196456
RBMXL1,0.0
GBP3,0.08108096
GBP1,0.031049678
GBP2,0.09937494
GBP4,0.06941191
GBP5,0.006093505
LRRC8B,0.16354015
LRRC8C-DT,0.037762046
LRRC8C,6.404035e-05
LRRC8D,0.020692589
ZNF326,0.26067325
ZNF644,0.7663729
TGFBR3,0.76404685
BTBD8,0.13365085
GLMN,0.22180451
RPAP2,0.48907185
EVI5,0.8629883
RPL5,0.2258992
DIPK1A,0.15292144
MTF2,0.43286532
TMED5,0.25563875
CCDC18,0.17106906
DR1,0.11879871
FNBP1L,0.78263295
BCAR3,0.58167547
DNTTIP2,0.050859477
GCLM,0.09259517
ARHGAP29,1.4323874
ABCD3,0.4914888
F3,0.037876222
CNN3,0.4506579
ALG14,0.21647955
TLCD4,9.683858e-05
PTBP2,0.89093107
DPYD,0.9408078
SNX7,0.14207444
PALMD,0.17081918
AGL,0.22876112
SLC35A3,0.0002366428
MFSD14A,0.017297892
TRMT13,0.21067242
DBT,0.24275427
RTCA-AS1,0.004840549
RTCA,0.15354815
CDC14A,0.23090947
VCAM1,0.051210966
EXTL2,0.1293036
SLC30A7,0.28160307
DPH5,0.121472254
DPH5-DT,0.15093543
S1PR1,0.042013578
RNPC3,0.39781955
PRMT6,0.016555581
VAV3,1.0029936
SLC25A24,0.23541667
EEIG2,0.07992989
HENMT1,0.008811593
PRPF38B,0.3787864
STXBP3,0.29103383
GPSM2,0.11553569
CLCC1,0.0
WDR47,0.13242865
TAF13,0.07259823
TMEM167B,0.05584527
SARS1,0.16048107
CELSR2,0.07978585
PSRC1,0.0061984467
SORT1,0.6220276
PSMA5,0.13121921
CYB561D1,0.04922917
AMIGO1,0.0048514837
GNAI3,0.31106257
AMPD2,0.08536392
GSTM4,0.037022904
GSTM1,0.0
GSTM5,0.0082853
GSTM3,0.27289432
CSF1,0.049262334
AHCYL1,0.3305254
STRIP1,0.096045695
KCNC4,0.07211539
RBM15,0.07919438
SLC16A4,0.22690138
LAMTOR5,0.1274033
CD53,0.055436604
LRIF1,0.09849895
DRAM2,0.17548971
CEPT1,0.27131355
ENSG00000273221,0.018782023
DENND2D,0.08509204
WDR77,0.035271514
ATP5PB,0.17661871
C1orf162,0.016932268
TMIGD3,0.008466618
ADORA3,0.0
RAP1A,0.77390814
DDX20,0.03683816
CTTNBP2NL,0.36724636
WNT2B,0.2095733
ST7L,0.3618332
CAPZA1,0.43927327
MOV10,0.13430196
RHOC,0.1833733
PPM1J,0.0002227682
SLC16A1,0.016797626
SLC16A1-AS1,0.12910695
LRIG2,0.31162044
MAGI3,1.0042883
PHTF1,0.23718672
RSBN1,0.22914135
PTPN22,0.042162426
AP4B1,0.03522071
DCLRE1B,0.0081827715
HIPK1-AS1,0.010181953
HIPK1,0.178076
OLFML3,0.018431557
TRIM33,0.56812537
BCAS2,0.086285464
DENND2C,0.07783417
NRAS,0.048628338
CSDE1,0.40562457
SIKE1,0.09338076
TSPAN2,0.032454062
NGF,0.046872657
VANGL1,0.068872534
CASQ2,0.00413097
SLC22A15,0.26951882
ATP1A1,1.4753195
CD58,0.2612348
CD2,0.003778181
PTGFRN,0.10046004
TTF2,0.086831026
TRIM45,0.013752324
VTCN1,0.07636732
MAN1A2,0.5887522
TENT5C,0.03424276
GDAP2,0.23053613
WDR3,0.06483948
WARS2,0.22589163
PHGDH,0.06285759
HMGCS2,0.07515866
NOTCH2,0.2789711
SEC22B,0.21432598
LINC00623,0.5190191
FCGR1BP,0.0010758431
SRGAP2C,0.21555874
LINC02591,0.063912965
LINC02802,0.0014824055
NBPF15,0.14559506
SRGAP2B,0.21662658
ENSG00000276216,0.0017966068
GPR89A,0.11139321
PDZK1,0.27013943
CD160,0.011154419
RNF115,0.725647
POLR3C,0.09929776
NUDT17,0.009769011
PIAS3,0.0417452
ITGA10,0.09538847
PEX11B,0.07256612
RBM8A,0.09352324
LIX1L,0.07341839
POLR3GL,0.019255541
TXNIP,0.87243104
NOTCH2NLA,9.2591945e-05
NBPF12,0.1693837
PRKAB2,0.10840976
ENSG00000237188,0.27361146
FMO5,0.15303595
CHD1L,0.2178366
BCL9,0.21451694
ACP6,0.22965729
GJA5,0.04976544
NBPF11,0.17076996
NBPF14,0.11028096
PDE4DIP,0.9451927
NBPF9,0.09522626
ENSG00000274265,0.958256
NBPF19,0.1908465
FCGR1A,0.0034870803
H2BC18,0.029979397
H2AC19,8.038595e-05
H2AC20,0.0012996477
BOLA1,0.017930025
SF3B4,0.02656744
MTMR11,0.018075509
OTUD7B,0.42664927
VPS45,0.4370262
PLEKHO1,0.037514288
ANP32E,0.1195333
APH1A,0.09386328
C1orf54,0.03921154
MRPS21,0.17198884
PRPF3,0.22205867
RPRD2,0.8868618
TARS2,0.09886815
ECM1,0.011547717
ADAMTSL4-AS2,0.020145213
MCL1,0.1251334
ENSA,0.63286984
GOLPH3L,0.29567343
CTSS,0.06039414
CTSK,0.043350946
ARNT,0.3614905
SETDB1,0.274104
CERS2,0.12883912
ANXA9,0.0646872
MINDY1,0.06598491
C1orf56,0.06855976
CDC42SE1,0.18601212
MLLT11,0.020767162
GABPB2,0.36107686
TNFAIP8L2,0.0
SCNM1,0.06556531
LYSMD1,0.021006556
VPS72,0.08403688
PIP5K1A,0.69508773
PSMD4,0.16206607
ZNF687,0.02392667
PI4KB,0.20312633
RFX5,0.0148252025
SELENBP1,0.06794022
PSMB4,0.04739614
POGZ,1.0150257
CGN,0.1522444
TUFT1,0.16285586
SNX27,0.3402385
MRPL9,0.022439748
OAZ3,0.0021712298
TDRKH,0.023225086
TDRKH-AS1,0.0034524237
THEM4,0.21127905
S100A10,0.41562042
S100A11,0.66727865
TCHH,0.008480559
S100A9,0.008399578
S100A12,0.00060902216
S100A8,0.002471305
S100A7,0.0
S100A6,1.2744553
S100A5,0.0041576577
S100A4,0.58562464
S100A16,0.053067315
S100A14,0.031479422
S100A13,0.20839305
CHTOP,0.16337207
SNAPIN,0.02279305
ILF2,0.10712346
NPR1,0.101943836
INTS3,0.2774413
SLC27A3,0.022193795
GATAD2B,0.835204
DENND4B,0.14797363
CRTC2,0.046114076
SLC39A1,0.081941225
CREB3L4,0.024928845
JTB,0.12405514
JTB-DT,0.0029752706
RAB13,0.11042304
RPS27,0.11158738
TPM3,0.18687622
C1orf43,0.23176955
UBAP2L,0.24755321
HAX1,0.083006196
ATP8B2,0.06382742
IL6R,0.0484639
SHE,0.116413124
UBE2Q1,0.07076931
ADAR,0.32325408
KCNN3,0.22978543
PMVK,0.07091352
PBXIP1,0.091813765
PYGO2,0.028673608
SHC1,0.009538397
CKS1B,0.019286795
FLAD1,0.05244975
ZBTB7B,0.06599562
ADAM15,0.06669028
EFNA4,0.0
EFNA3,0.0025449262
EFNA1,0.054506168
SLC50A1,0.04675098
DPM3,0.06446495
KRTCAP2,0.00951723
MUC1,0.018075923
THBS3,0.060407326
MTX1,0.019682176
GBA1,0.06645036
ENTREP3,0.038745966
SCAMP3,0.1195953
CLK2,0.0895728
FDPS,0.2959315
RUSC1,0.042322274
ASH1L,1.4073658
MSTO1,0.020883651
YY1AP1,0.27688473
DAP3,0.31501547
GON4L,0.5094579
SYT11,0.04592844
RIT1,0.094981425
KHDC4,0.38480476
ARHGEF2,0.20771897
SSR2,0.1301793
UBQLN4,0.08907025
LAMTOR2,0.040550224
RAB25,0.066294394
LMNA,0.27184042
SEMA4A,0.18915276
SLC25A44,0.072558865
PMF1,0.0
SMG5,0.1976736
TMEM79,0.029069873
GLMP,0.044903874
CCT3,0.172851
MEF2D,0.1577401
NAXE,0.051096763
GPATCH4,0.04334531
NES,0.03686837
CRABP2,0.005736833
ISG20L2,0.059321612
METTL25B,0.10158127
MRPL24,0.044565808
HDGF,0.14941826
PRCC,0.20545793
SH2D2A,0.004961399
PEAR1,0.04516106
ARHGEF11,0.44354123
ETV3,0.066515684
CD5L,0.0013550243
KIRREL1,0.33045062
CD1D,0.004303711
CD1C,0.00024090784
MNDA,0.0026091128
PYHIN1,0.0059346166
IFI16,0.19339244
ACKR1,0.0012171145
FCER1A,0.0005976076
ENSG00000228560,0.000857558
APCS,0.02141635
DUSP23,0.027663156
FCRL6,0.00024343123
TAGLN2,0.13589633
PIGM,0.0
IGSF8,0.06420126
ATP1A2,0.0017052733
PEA15,0.054387063
DCAF8,0.07916501
PEX19,0.0027306501
COPA,0.4121321
NCSTN,0.07757141
SLAMF6,0.003307291
CD84,0.0037100345
SLAMF1,0.0014474457
CD48,0.0019728383
SLAMF7,0.0007297151
LY9,0.0014816566
CD244,0.00077764585
ITLN1,0.00033426034
F11R,0.12997967
TSTD1,0.0012592742
USF1,0.03345742
ARHGAP30,0.021303074
NECTIN4,0.01781363
KLHDC9,0.01722151
PFDN2,0.1327718
NIT1,0.09254419
DEDD,0.057130307
UFC1,0.07832793
USP21,0.014203599
PPOX,0.027662078
B4GALT3,0.04830457
ADAMTS4,0.0036138224
NDUFS2,0.16754939
FCER1G,0.010100562
APOA2,8.4654595e-05
TOMM40L,0.019132158
SDHC,0.36494508
FCGR2A,0.022133691
HSPA6,0.0041256896
FCGR3A,0.0070373192
FCGR3B,0.00024655185
FCGR2B,0.0034984087
FCRLB,0.0055867354
DUSP12,0.049367316
ATF6-DT,0.0
ATF6,0.57151973
OLFML2B,0.014856086
SH2D1B,0.0035262294
UHMK1,0.28368127
UAP1,0.11001755
DDR2,0.2314633
HSD17B7,0.084726304
RGS4,0.0038107266
RGS5,0.0
ENSG00000232995,0.0
PBX1,1.5002795
MGST3,0.45476475
ALDH9A1,0.08672883
TMCO1,0.23836273
UCK2,0.115622886
POGK,0.14451219
TADA1,0.08067119
POU2F1,0.73326653
CD247,0.023914924
CREG1,0.13616708
RCSD1,0.08597667
MPZL1,0.38627714
MPC2,0.117175415
DCAF6,0.6472576
GPR161,0.03066172
TIPRL,0.142376
SFT2D2,0.21126541
XCL2,0.00017480862
DPT,0.08767916
ATP1B1,2.026584
NME7,0.5388861
BLZF1,0.18729915
SLC19A2,0.21772183
F5,0.013243302
SELP,0.03571052
SELL,0.0108843325
METTL18,0.010655664
SCYL3,0.17130531
KIFAP3,0.31275132
GORAB,0.07256325
FMO3,0.0051185326
FMO2,0.06701425
FMO4,0.119531505
PRRC2C,0.7975896
VAMP4,0.11289351
METTL13,0.03456681
DNM3,1.0162904
DNM3OS,0.07370077
PIGC,0.19974831
SUCO,0.3008134
PRDX6-AS1,0.34331295
PRDX6,0.2504592
KLHL20,0.39757535
CENPL,0.019431533
DARS2,0.073790595
ZBTB37,0.1491267
RC3H1,0.5598975
RABGAP1L,1.7158413
CACYBP,0.06728926
MRPS14,0.06168502
KIAA0040,0.10728397
COP1,0.9371878
SEC16B,0.05820017
RASAL2,1.0284827
RALGPS2,0.48373467
ANGPTL1,0.080002956
FAM20B,0.22721946
TOR3A,0.04226314
ABL2,0.5509219
SOAT1,0.15918094
TOR1AIP2,0.38545313
TOR1AIP1,0.17693299
ENSG00000260360,0.0008823629
CEP350,0.68055546
QSOX1,0.19536598
ACBD6,0.63943076
XPR1,0.67076796
STX6,0.18727295
MR1,0.12933463
IER5,0.0264447
GLUL,0.19666894
RNASEL,0.052456968
RGS16,0.009976715
NPL,0.06967328
DHX9,0.3682481
LAMC1,0.60036016
SMG7,0.5532799
NCF2,0.014799291
ARPC5,0.14926983
RGL1,0.29155135
TSEN15,0.20177636
C1orf21,0.4252586
EDEM3,0.23129532
NIBAN1,0.06965501
RNF2,0.18011044
TRMT1L,0.14350562
SWT1,0.21875043
IVNS1ABP,0.31839898
ENSG00000273004,0.0004981828
HMCN1,0.21541624
TPR,0.34559783
ODR4,0.27040684
PTGS2,0.025513588
RGS18,0.0022909946
RGS1,0.0047050086
RGS13,0.0016117328
RGS2,0.03258295
UCHL5,0.1443323
RO60,0.24908972
GLRX2,0.03680102
CDC73,0.5161475
KCNT2,0.157427
CFH,0.12279415
CFHR1,0.0
ZBTB41,0.09201206
DENND1B,0.8725273
NEK7,0.7489042
PTPRC,0.040682696
MIR181A1HG,0.19000904
NR5A2,0.112506226
ZNF281,0.07076105
DDX59,0.1158095
CAMSAP2,0.5815484
KIF21B,0.005402807
TMEM9,0.069833085
PKP1,0.0024113357
PHLDA3,0.046503082
CSRP1,0.11752302
NAV1,0.53366834
IPO9-AS1,0.19771294
IPO9,0.3355067
SHISA4,0.014381311
ENSG00000223774,0.0028419958
LMOD1,0.11824406
TIMM17A,0.11675051
RNPEP,0.16605176
ELF3,0.46849927
ARL8A,0.09885059
PTPN7,0.014163998
LGR6,0.024874078
UBE2T,0.010409566
PPP1R12B,0.7940013
KDM5B,0.48891085
PCAT6,0.0020313305
RABIF,0.029390762
KLHL12,0.12256244
