,Sample1157-EO1
LINC01409,0.021950094
NOC2L,0.13097085
PERM1,0.0029748497
ENSG00000272512,0.014975438
HES4,0.43023324
ISG15,0.17998214
AGRN,0.25958222
RNF223,0.00062911754
C1orf159,0.013338544
TNFRSF18,0.006147116
TNFRSF4,0.010361444
SDF4,0.2754474
B3GALT6,0.07064381
UBE2J2,0.14257051
ACAP3,0.059875432
PUSL1,0.05641998
INTS11,0.16988096
CPTP,0.14127854
DVL1,0.09515326
MXRA8,0.028165206
AURKAIP1,1.1050888
CCNL2,0.16540463
MRPL20,0.83252466
VWA1,0.12760505
ATAD3A,0.06414418
SSU72,0.56526524
SSU72-AS1,0.005738118
FNDC10,0.04194511
ENSG00000272106,0.057855625
MIB2,0.14248724
MMP23B,0.0
CDK11B,0.09170456
SLC35E2B,0.043929596
CDK11A,0.035157993
SLC35E2A,0.020370537
NADK,0.075132504
GNB1,0.41820478
GABRD,0.0
PRKCZ,0.06581486
FAAP20,0.47166166
SKI,0.099034585
RER1,0.5308464
PEX10,0.09440901
PANK4,0.043064445
HES5,0.0
ENSG00000272449,0.050303757
TNFRSF14-AS1,0.03188256
TNFRSF14,0.15771653
PRXL2B,0.049410544
MMEL1,0.004887957
PRDM16,0.083687484
ENSG00000272235,0.0
ARHGEF16,0.050426915
MEGF6,0.013457942
TPRG1L,0.14828378
WRAP73,0.06619623
SMIM1,0.17271803
LRRC47,0.08396494
CEP104,0.0631649
DFFB,0.008247226
C1orf174,0.08794019
NPHP4,0.013115187
KCNAB2,0.042852603
RPL22,2.179385
ICMT,0.11987134
ACOT7,0.14106321
TNFRSF25,0.014236638
PLEKHG5,0.008038637
NOL9,0.059387624
ZBTB48,0.05535885
KLHL21,0.0706734
PHF13,0.033225607
THAP3,0.07439203
DNAJC11,0.13544181
CAMTA1,0.86484766
VAMP3,0.19684413
PER3,0.07802312
PARK7,1.0309216
ERRFI1,0.33545068
RERE,0.24609742
ENO1,1.1275989
GPR157,0.02268699
MIR34AHG,0.0
H6PD,0.0569813
SPSB1,0.017717889
SLC25A33,0.20154965
PIK3CD,0.022244107
CLSTN1,0.32517204
CTNNBIP1,0.08694034
LZIC,0.12525244
NMNAT1,0.046064105
RBP7,0.16321245
UBE4B,0.085544735
KIF1B,0.11083301
PGD,0.15761419
CENPS,0.05366584
DFFA,0.12792206
PEX14,0.042354237
CASZ1,0.083939046
TARDBP,0.1620874
SRM,0.2009417
EXOSC10,0.056374196
MTOR,0.064510584
UBIAD1,0.04634781
FBXO2,0.07511434
FBXO44,0.07601523
FBXO6,0.032878507
MAD2L2,0.14342453
AGTRAP,0.1799391
C1orf167,0.005540092
MTHFR,0.07688371
CLCN6,0.044957306
KIAA2013,0.17497467
PLOD1,0.06364399
MFN2,0.14008732
MIIP,0.046315227
TNFRSF1B,0.037818316
VPS13D,0.13243297
DHRS3,0.4423203
PDPN,0.0
PRDM2,0.090633094
KAZN,0.10484529
TMEM51,0.20441288
FHAD1,0.0
EFHD2,0.13547033
CASP9,0.055832632
DNAJC16,0.07049114
DDI2,0.061968338
PLEKHM2,0.0663078
SLC25A34,0.0060850345
FBLIM1,0.00734654
SPEN-AS1,0.046775486
SPEN,0.14152373
ZBTB17,0.04886875
SRARP,0.18521652
HSPB7,0.059701182
EPHA2,0.07529886
CPLANE2,0.0020476845
FBXO42,0.043064598
SZRD1,0.21034166
NECAP2,0.1332861
NBPF1,0.02137656
CROCC,0.023894511
ENSG00000238142,0.17349914
MFAP2,0.014895373
ATP13A2,0.056466438
SDHB,0.47440884
PADI2,0.037889272
PADI4,0.0
RCC2,0.057252068
ARHGEF10L,0.10079607
IGSF21,0.009556071
