,3490
LINC01409,0.14805402
NOC2L,0.081488796
PERM1,0.0016701095
ENSG00000272512,0.0018662671
HES4,0.06580089
ISG15,0.08933356
AGRN,0.470563
RNF223,0.0032946044
C1orf159,0.117004216
TNFRSF18,0.000917843
TNFRSF4,0.010017996
SDF4,0.23599117
B3GALT6,0.044607963
UBE2J2,0.13935265
ACAP3,0.09148663
PUSL1,0.013864134
INTS11,0.18115059
CPTP,0.10050293
DVL1,0.15314083
MXRA8,0.025651911
AURKAIP1,0.2942242
CCNL2,0.25081694
MRPL20,0.20804237
VWA1,0.11962627
ATAD3A,0.07338751
SSU72,0.2147084
SSU72-AS1,0.0031207816
FNDC10,0.020764347
ENSG00000272106,0.018904679
MIB2,0.09022129
MMP23B,0.0080919815
CDK11B,0.11985499
SLC35E2B,0.15620801
CDK11A,0.045255717
SLC35E2A,0.13700145
NADK,0.12786062
GNB1,0.691523
GABRD,0.00087430386
PRKCZ,0.16917199
FAAP20,0.16178545
SKI,0.32125556
RER1,0.21666388
PEX10,0.06414938
PANK4,0.06626691
HES5,0.0
ENSG00000272449,0.011481731
TNFRSF14-AS1,0.015487428
TNFRSF14,0.08370938
PRXL2B,0.049972225
MMEL1,0.0037658215
PRDM16,0.7346633
ENSG00000272235,0.0015890053
ARHGEF16,0.113555476
MEGF6,0.02654975
TPRG1L,0.069067344
WRAP73,0.04390706
SMIM1,0.008998924
LRRC47,0.08699577
CEP104,0.20708261
DFFB,0.07897526
C1orf174,0.06827775
NPHP4,0.11057641
KCNAB2,0.0301151
RPL22,0.18343857
ICMT,0.11921294
ACOT7,0.03421544
TNFRSF25,0.034445453
PLEKHG5,0.05524071
NOL9,0.17610097
ZBTB48,0.0663473
KLHL21,0.27205
PHF13,0.08247226
THAP3,0.065119095
DNAJC11,0.70782423
CAMTA1,0.68953466
VAMP3,0.08876263
PER3,0.39760962
PARK7,0.36310682
ERRFI1,0.0884526
RERE,2.0852797
ENO1,0.9126258
GPR157,0.054532226
MIR34AHG,0.027783813
H6PD,0.17122045
SPSB1,0.052641537
SLC25A33,0.23835714
PIK3CD,0.08398011
CLSTN1,0.66524845
CTNNBIP1,0.13798027
LZIC,0.112850845
NMNAT1,0.26161045
RBP7,0.09371024
UBE4B,0.49358466
KIF1B,0.584137
PGD,0.10166937
CENPS,0.0
DFFA,0.12838313
PEX14,0.2937591
CASZ1,0.34314427
TARDBP,0.011668338
SRM,0.057044104
EXOSC10,0.08401261
MTOR,0.42582342
UBIAD1,0.06883762
FBXO2,0.13235001
FBXO44,0.11917371
FBXO6,0.020538578
MAD2L2,0.023410512
AGTRAP,0.071170814
C1orf167,0.0033700177
MTHFR,0.09884119
CLCN6,0.08845214
KIAA2013,0.12681438
PLOD1,0.099043205
MFN2,0.1823385
MIIP,0.037036914
