,3477
LINC01409,0.0855201
NOC2L,0.06761527
PERM1,0.0
ENSG00000272512,0.0069427905
HES4,0.0211289
ISG15,0.019087765
AGRN,0.21538462
RNF223,0.0037641884
C1orf159,0.11546061
TNFRSF18,0.006125575
TNFRSF4,0.0043245535
SDF4,0.07583834
B3GALT6,0.010619328
UBE2J2,0.12276342
ACAP3,0.09022819
PUSL1,0.005110452
INTS11,0.08391635
CPTP,0.013380934
DVL1,0.028571432
MXRA8,0.018105907
AURKAIP1,0.07288435
CCNL2,0.3377491
MRPL20,0.09302264
VWA1,0.044190742
ATAD3A,0.035401765
SSU72,0.09672618
SSU72-AS1,0.0071733864
FNDC10,0.012671976
ENSG00000272106,0.008596738
MIB2,0.06300592
MMP23B,0.01108166
CDK11B,0.10034863
SLC35E2B,0.08535594
CDK11A,0.08334626
SLC35E2A,0.1015341
NADK,0.06659568
GNB1,0.7482627
GABRD,0.0009387303
PRKCZ,0.23917136
FAAP20,0.07972951
SKI,0.33197504
RER1,0.11925157
PEX10,0.052842505
PANK4,0.00760075
HES5,0.0
ENSG00000272449,0.0021016793
TNFRSF14-AS1,0.0154355075
TNFRSF14,0.14390545
PRXL2B,0.013988161
MMEL1,0.00068554806
PRDM16,0.4370102
ENSG00000272235,0.00092781463
ARHGEF16,0.061122432
MEGF6,0.04301505
TPRG1L,0.0189226
WRAP73,0.02813856
SMIM1,0.0036524904
LRRC47,0.045904692
CEP104,0.169415
DFFB,0.02707069
C1orf174,0.026655274
NPHP4,0.09793366
KCNAB2,0.07174616
RPL22,0.08491478
ICMT,0.03639805
ACOT7,0.030267915
TNFRSF25,0.037862975
PLEKHG5,0.045523252
NOL9,0.14142373
ZBTB48,0.050185423
KLHL21,0.045478363
PHF13,0.037842274
THAP3,0.017870167
DNAJC11,0.3872791
CAMTA1,0.7216922
VAMP3,0.02920802
PER3,0.23598318
PARK7,0.10898203
ERRFI1,0.2570887
RERE,1.8240924
ENO1,0.39006606
GPR157,0.065976396
MIR34AHG,0.10507361
H6PD,0.17065541
SPSB1,0.14298414
SLC25A33,0.20249133
PIK3CD,0.13612679
CLSTN1,0.2724609
CTNNBIP1,0.16244909
LZIC,0.07910179
NMNAT1,0.115299664
RBP7,0.046493545
UBE4B,0.5802537
KIF1B,0.7024752
PGD,0.044473592
CENPS,0.0
DFFA,0.09626972
PEX14,0.3464322
CASZ1,0.36529666
TARDBP,0.0
SRM,0.036821604
EXOSC10,0.117660955
MTOR,0.279392
UBIAD1,0.046140138
FBXO2,0.02344583
FBXO44,0.044115264
FBXO6,0.012818899
MAD2L2,0.020404972
AGTRAP,0.042395715
C1orf167,0.0016273755
MTHFR,0.19868064
CLCN6,0.103251606
KIAA2013,0.06960207
PLOD1,0.046596017
MFN2,0.12715285
MIIP,0.023033751
TNFRSF1B,0.11100205
VPS13D,0.9212517
DHRS3,0.30981806
PDPN,0.007540537
PRDM2,0.4047516
KAZN,2.1774437
TMEM51,0.40474775
FHAD1,0.051255777
EFHD2,0.029337307
CASP9,0.06158045
DNAJC16,0.19854008
DDI2,0.26890343
PLEKHM2,0.19288915
SLC25A34,0.013117082
FBLIM1,0.15465583
SPEN-AS1,0.044577878
SPEN,0.4149279
ZBTB17,0.0718524
SRARP,0.0018055144
HSPB7,0.008023966
EPHA2,0.07195095
CPLANE2,0.0024520115
FBXO42,0.44455516
SZRD1,0.118693285
NECAP2,0.06573215
NBPF1,0.09468983
CROCC,0.16330996
ENSG00000238142,0.0
MFAP2,0.004700688
ATP13A2,0.039289985
SDHB,0.21611053
PADI2,0.07088521
PADI4,0.0033678429
RCC2,0.075826235
ARHGEF10L,0.6555428
IGSF21,0.008196586
ALDH4A1,0.0
IFFO2,0.04272471
UBR4,0.35899422
EMC1,0.047557034
MRTO4,0.040144164
AKR7A3,0.010808165
AKR7A2,0.03247881
SLC66A1,0.014904515
CAPZB,0.6567636
MICOS10,0.0
NBL1,0.029317113
TMCO4,0.31965935
OTUD3,0.06003494
PLA2G5,0.0022112166
CAMK2N1,0.12676218
MUL1,0.020376468
CDA,0.028542962
PINK1,0.09932983
PINK1-AS,0.016981827
DDOST,0.052219093
KIF17,0.011899359
