,KRP446
MED18,0.009662228
PHACTR4,0.75795555
RCC1,0.053799484
TRNAU1AP,0.18290888
SNHG12,0.029502675
TAF12,0.10720724
RAB42,0.000938546
GMEB1,0.1123553
YTHDF2,0.2610832
EPB41,0.5408287
TMEM200B,0.016055163
SRSF4,0.89864564
MECR,0.099800415
PTPRU,0.020534871
LAPTM5,0.017729646
SDC3,0.01980622
PUM1,0.86481225
NKAIN1,0.0039407234
SNRNP40,0.10676463
ZCCHC17,0.17654474
FABP3,0.031669483
SERINC2,0.2180118
TINAGL1,0.09610604
PEF1,0.05652749
COL16A1,0.00829388
PTP4A2,0.11239176
KHDRBS1,0.38425747
TMEM39B,0.059840642
KPNA6,0.32931733
TXLNA,0.07329258
CCDC28B,0.013691178
IQCC,0.0088392915
TMEM234,0.05143359
EIF3I,0.045615483
FAM167B,0.0053904774
LCK,0.012624209
HDAC1,0.1386422
MARCKSL1,0.017606191
FAM229A,0.022336349
BSDC1,0.27720565
ZBTB8A,0.02450625
ZBTB8OS,0.36389711
RBBP4,0.28268388
SYNC,0.028841339
NHSL3,0.24235627
YARS1,0.12084959
S100PBP,0.2960511
TMEM54,0.014225337
RNF19B,0.1449565
AK2,0.31135434
ZNF362,0.1301251
PHC2,0.36602572
SMIM12,0.07357663
GJA4,0.0021990656
ENSG00000284773,0.014375353
ZMYM6,0.0013456773
ZMYM1,0.16947761
SFPQ,0.57104236
ZMYM4,0.8342846
KIAA0319L,0.7330872
TFAP2E-AS1,0.00049452466
PSMB2,0.07846394
C1orf216,0.0032581906
CLSPN,0.00578122
AGO4,0.30533507
AGO1,0.11562738
AGO3,0.72759765
ADPRS,0.068894304
COL8A2,0.0017512961
TRAPPC3,0.07674173
MAP7D1,0.047624882
THRAP3,0.6185109
SH3D21,0.035674356
EVA1B,0.031568628
STK40,0.1799413
LSM10,0.020943742
OSCP1,0.05081491
MRPS15,0.028095622
CSF3R,0.009008835
LITATS1,0.04259313
ZC3H12A,0.02587209
MEAF6,0.08380456
SNIP1,0.04719664
DNALI1,0.025540825
GNL2,0.059750006
AIRIM,0.022587027
CDCA8,0.004211339
YRDC,0.014167153
C1orf122,0.059113447
MTF1,0.0929192
INPP5B,0.40957716
SF3A3,0.096189
FHL3,0.00949726
UTP11,0.02455017
RRAGC,0.10538092
MYCBP,0.007621133
RHBDL2,0.01620133
AKIRIN1,0.23291051
NDUFS5,0.0878992
MACF1,1.68845
PABPC4,0.116796516
HEYL,0.0057338937
PPIE,0.06163504
TRIT1,0.18606728
MFSD2A,0.026725221
CAP1,0.17305484
PPT1,0.05384643
RLF,0.40792775
ZMPSTE24-DT,0.013927303
ZMPSTE24,0.13979213
COL9A2,0.019295864
SMAP2,0.15587112
ZNF684,0.16191381
RIMS3,0.0034262724
NFYC,0.47416127
CITED4,0.019585548
CTPS1,0.12746702
SCMH1,1.076855
HIVEP3,0.30385965
FOXJ3,0.7623503
PPCS,0.062738724
CCDC30,0.7218254
PPIH,0.06341907
YBX1,0.16347337
P3H1,0.04981341
C1orf50,0.0
SVBP,0.016314503
ERMAP,0.077692606
ZNF691,0.03263703
SLC2A1,0.036550913
CFAP144,0.018390503
EBNA1BP2,0.83233744
TMEM125,0.036263637
C1orf210,0.010463487
TIE1,0.01331091
ELOVL1,0.03936124
MED8,0.03052311
SZT2,0.22896135
HYI,0.0476691
PTPRF,0.25392348
KDM4A,0.0
ST3GAL3,0.0065152883
ARTN,0.00484111
IPO13,0.040756933
DPH2,0.01012777
ATP6V0B,0.21032724
B4GALT2,0.03956952
CCDC24,0.092053436
SLC6A9,0.01068188
DMAP1,0.074372165
ERI3,0.39544556
RNF220,0.058289565
TMEM53,0.08033894
KIF2C,0.004598906
RPS8,0.122091345
PLK3,0.01745194
BTBD19,0.020635277
EIF2B3,0.21761715
HECTD3,0.04022983
UROD,0.031153806
MUTYH,0.042053085
TOE1,0.021081457
PRDX1,0.118855245
AKR1A1,0.17208552
NASP,0.18856832
CCDC17,0.013176449
GPBP1L1,0.7069612
TMEM69,0.03602935
IPP,0.16102678
MAST2,0.3267489
PIK3R3,0.011963359
TSPAN1,0.09690765
POMGNT1,0.11447918
LURAP1,0.09383284
LRRC41,0.17504138
UQCRH,0.22738671
NSUN4,0.14403692
FAAH,0.19722497
MKNK1,0.20822005
MOB3C,0.0
ATPAF1,0.16665667
EFCAB14,0.19827239
CYP4B1,0.010154091
TAL1,0.011019951
CMPK1,0.2014231
TRABD2B,1.31121
SPATA6,0.46203348
ELAVL4,0.00087397627
FAF1,1.3985898
CDKN2C,0.0024181243
RNF11,0.22978608
EPS15,0.82067585
OSBPL9,0.7486197
NRDC,0.582618
TXNDC12,0.12901348
KTI12,0.0
BTF3L4,0.18410145
ZFYVE9,0.45727873
CC2D1B,0.08950967
PRPF38A,0.071370244
TUT4,0.78808033
GPX7,0.008075942
SHISAL2A,0.008091726
COA7,0.015902916
ZYG11B,0.35867736
ECHDC2,0.8479984
SCP2,0.5481357
PODN,0.0041716797
CPT2,0.05912728
CZIB,0.03379723
MAGOH,0.060548317
LRP8,0.0101134945
NDC1,0.08783152
YIPF1,0.061488096
IFT25,0.13444045
LRRC42,0.05737728
TMEM59,0.22318262
TCEANC2,0.07508962
CYB5RL,0.0
MRPL37,0.048023522
SSBP3,0.56920606
ACOT11,0.47467938
TTC4,0.0018686366
DHCR24,0.06754399
TMEM61,0.015980994
USP24,0.8444143
PLPP3,0.39752537
OMA1,0.0
TACSTD2,0.0895738
MYSM1,0.31776533
JUN,0.30736607
FGGY,1.2135421
NFIA,0.9192479
NFIA-AS2,0.0002299543
TM2D1,0.27770555
PATJ,2.0778372
USP1,0.060183335
DOCK7,0.5012436
ANGPTL3,0.011465033
ATG4C,0.1637332
ALG6,0.08977207
ITGB3BP,0.14115544
EFCAB7,0.11717781
PGM1,0.22219592
CACHD1,0.5291007
JAK1,0.6737954
AK4,0.64678615
DNAJC6,0.1213355
LEPROT,0.0
LEPR,0.16091652
PDE4B,0.04384503
SGIP1,0.41310206
MIER1,0.32423466
SERBP1,0.20935078
GADD45A,0.4025205
GNG12,0.6386301
WLS,0.477202
LRRC40,0.15429002
SRSF11,0.75065064
ANKRD13C,0.38647556
ZRANB2,0.5841848
FPGT,0.0
FPGT-TNNI3K,0.001040636
CRYZ,0.28201902
TYW3,0.08305337
ACADM,0.28759995
RABGGTB,0.040811595
ST6GALNAC3,0.26136854
PIGK,0.13012299
ZZZ3,0.68505484
USP33,0.602065
MIGA1,0.41025797
NEXN,0.14453089
FUBP1,0.33248112
DNAJB4,0.0041720644
GIPC2,0.40951526
ENSG00000273338,0.0039169765
IFI44L,0.037750117
IFI44,0.03728614
ADGRL4,0.044554323
ADGRL2,0.72339135
TTLL7,0.07945601
PRKACB,0.368971
RPF1,0.04981403
GNG5,0.067858465
SPATA1,0.066765
CTBS,0.08170516
SSX2IP,0.17032804
C1orf52,0.09131246
BCL10,0.06231816
DDAH1,0.8195122
CCN1,0.06736428
ZNHIT6,0.21887602
ODF2L,0.32966828
SH3GLB1,0.2360338
SELENOF,0.21109879
HS2ST1,0.33846307
LMO4,0.12437357
PKN2,0.9452804
GTF2B,0.118994795
KYAT3,0.19895451
RBMXL1,0.0
GBP3,0.022718666
GBP1,0.022543972
GBP2,0.026520789
GBP4,0.02138607
GBP5,0.00086637214
LRRC8B,0.18576503
LRRC8C-DT,0.035719976
LRRC8C,0.0
LRRC8D,0.03488606
ZNF326,0.22758663
ZNF644,0.7329151
TGFBR3,0.61114275
BTBD8,0.12012452
GLMN,0.16124934
RPAP2,0.506795
EVI5,0.67560786
RPL5,0.14208688
DIPK1A,0.24791715
MTF2,0.43370536
TMED5,0.18302391
CCDC18,0.09655951
DR1,0.07827559
FNBP1L,1.213614
BCAR3,0.3541742
DNTTIP2,0.04565674
GCLM,0.12431387
ARHGAP29,0.67846084
ABCD3,0.50615865
F3,0.035338726
CNN3,0.41185865
ALG14,0.14996026
TLCD4,0.0
PTBP2,0.6740291
DPYD,0.7354545
SNX7,0.18643437
PALMD,0.05366214
AGL,0.27444756
SLC35A3,0.00017166628
MFSD14A,0.002234202
TRMT13,0.18972182
DBT,0.2116175
RTCA-AS1,0.0059080124
RTCA,0.16851567
CDC14A,0.2961213
VCAM1,0.06075329
EXTL2,0.13615313
SLC30A7,0.22753048
DPH5,0.08953941
DPH5-DT,0.07417282
S1PR1,0.003908221
RNPC3,0.60135406
PRMT6,0.0038798486
VAV3,0.86258084
SLC25A24,0.20362414
EEIG2,0.049137827
HENMT1,0.003903818
PRPF38B,0.30129507
STXBP3,0.23902506
GPSM2,0.04341943
CLCC1,0.0
WDR47,0.11529713
TAF13,0.046975024
TMEM167B,0.032632843
SARS1,0.11100094
CELSR2,0.035990972
PSRC1,0.0024109278
