,31-10040
LINC01409,0.0106475735
NOC2L,0.14162284
PERM1,0.008321068
ENSG00000272512,0.0072320304
HES4,0.27658394
ISG15,0.21286152
AGRN,0.43565908
RNF223,0.0020951172
C1orf159,0.034406174
TNFRSF18,0.02078364
TNFRSF4,0.065412655
SDF4,0.3613181
B3GALT6,0.08085475
UBE2J2,0.16853797
ACAP3,0.09315489
PUSL1,0.04762217
INTS11,0.16281077
CPTP,0.104131915
DVL1,0.09101951
MXRA8,0.045314822
AURKAIP1,0.8410001
CCNL2,0.27521828
MRPL20,0.67119014
VWA1,0.28402337
ATAD3A,0.054926492
SSU72,0.5089951
SSU72-AS1,0.0041283364
FNDC10,0.033417035
ENSG00000272106,0.041561186
MIB2,0.13744065
MMP23B,0.005374263
CDK11B,0.115607515
SLC35E2B,0.032376036
CDK11A,0.038489945
SLC35E2A,0.124571934
NADK,0.09583041
GNB1,0.47358158
GABRD,0.0
PRKCZ,0.057762884
FAAP20,0.3990124
SKI,0.14522423
RER1,0.51491994
PEX10,0.08855051
PANK4,0.038029417
HES5,0.0028706696
ENSG00000272449,0.07378544
TNFRSF14-AS1,0.03444547
TNFRSF14,0.23536742
PRXL2B,0.08099485
MMEL1,0.018565338
PRDM16,0.07319151
ENSG00000272235,0.0
ARHGEF16,0.08024283
MEGF6,0.029250117
TPRG1L,0.1349608
WRAP73,0.07895745
SMIM1,0.083660685
LRRC47,0.108890966
CEP104,0.093848474
DFFB,0.018362377
C1orf174,0.114687614
NPHP4,0.026627032
KCNAB2,0.024435328
RPL22,1.6869801
ICMT,0.1544733
ACOT7,0.06413926
TNFRSF25,0.06564553
PLEKHG5,0.021870697
NOL9,0.084899716
ZBTB48,0.06528984
KLHL21,0.09443285
PHF13,0.037848048
THAP3,0.09178743
DNAJC11,0.18637595
CAMTA1,0.6480091
VAMP3,0.2277953
PER3,0.17559479
PARK7,0.8843645
ERRFI1,0.051152006
RERE,0.3169651
ENO1,1.3434895
GPR157,0.021808544
MIR34AHG,0.01195821
H6PD,0.11384064
SPSB1,0.019151295
SLC25A33,0.10302287
PIK3CD,0.040203553
CLSTN1,0.37711763
CTNNBIP1,0.09730157
LZIC,0.12047576
NMNAT1,0.042063136
RBP7,0.2729725
UBE4B,0.089680664
KIF1B,0.13770391
PGD,0.112107664
CENPS,0.053370085
DFFA,0.11223865
PEX14,0.045233995
CASZ1,0.10862675
TARDBP,0.21545766
SRM,0.19223207
EXOSC10,0.09485313
MTOR,0.07163814
UBIAD1,0.057071015
FBXO2,0.11864725
FBXO44,0.10550833
FBXO6,0.02932617
MAD2L2,0.07593511
AGTRAP,0.23924778
C1orf167,0.0076017333
MTHFR,0.06076212
CLCN6,0.036529016
KIAA2013,0.17056379
PLOD1,0.054437302
MFN2,0.12359305
MIIP,0.07362223
TNFRSF1B,0.09347595
VPS13D,0.15765227
DHRS3,0.23371834
PDPN,0.0022696136
PRDM2,0.13871197
KAZN,0.13065977
TMEM51,0.12529291
FHAD1,0.00484396
EFHD2,0.15876989
CASP9,0.047770876
DNAJC16,0.105775066
DDI2,0.07213633
PLEKHM2,0.09978021
SLC25A34,0.01169818
FBLIM1,0.071342334
SPEN-AS1,0.085465536
SPEN,0.21639909
ZBTB17,0.059791874
SRARP,0.031804185
HSPB7,0.022334399
EPHA2,0.08324565
CPLANE2,0.0073891617
FBXO42,0.059841853
SZRD1,0.1997899
NECAP2,0.1608618
NBPF1,0.046754092
CROCC,0.06111799
ENSG00000238142,0.13070795
MFAP2,0.024502898
ATP13A2,0.089562885
SDHB,0.25389555
PADI2,0.026980668
PADI4,0.0
RCC2,0.13300782
ARHGEF10L,0.14027758
IGSF21,0.0024717124
ALDH4A1,0.1331788
IFFO2,0.015841583
UBR4,0.07360301
EMC1,0.08303798
MRTO4,0.101153284
AKR7A3,0.12310278
AKR7A2,0.37649125
SLC66A1,0.045285907
CAPZB,0.54625523
MICOS10,1.1151677
NBL1,0.14620438
TMCO4,0.073922895
OTUD3,0.037626594
PLA2G5,0.0
CAMK2N1,0.64584494
MUL1,0.096417576
CDA,0.090676196
PINK1,0.3010386
PINK1-AS,0.0045143752
DDOST,0.30386668
KIF17,0.014089208
HP1BP3,0.5959216
EIF4G3,0.17330703
ECE1,0.22461899
NBPF3,0.01769806
ALPL,0.03085986
USP48,0.17359108
HSPG2,0.54632944
CDC42,1.0946842
WNT4,0.0044364897
ZBTB40,0.03983842
C1QA,0.07129151
C1QC,0.044351637
C1QB,0.050920933
EPHB2,0.054206587
KDM1A,0.1437981
LUZP1,0.15080267
HNRNPR,0.4080549
ZNF436,0.029224152
TCEA3,0.27546424
ASAP3,0.0375644
ID3,0.53981346
RPL11,2.8550565
ELOA,0.08292668
PITHD1,0.15858519
LYPLA2,0.22414896
GALE,0.115438014
HMGCL,0.19302167
FUCA1,0.26206827
PNRC2,0.3768324
SRSF10,0.43093055
STPG1,0.049634133
NIPAL3,0.11528577
RCAN3,0.10556242
SRRM1,0.6296045
CLIC4,0.42907876
RUNX3,0.030659137
SYF2,0.5438164
RSRP1,0.62200093
TMEM50A,0.6603787
MACO1,0.13628611
