,Sample1162-EO2
PHACTR4,0.17845936
RCC1,0.015526263
TRNAU1AP,0.08990719
SNHG12,0.061822683
TAF12,0.12764339
RAB42,0.004366236
GMEB1,0.051534384
YTHDF2,0.2534679
EPB41,0.10639194
TMEM200B,0.0069907242
SRSF4,0.22435449
MECR,0.0622785
PTPRU,0.016993312
LAPTM5,0.04349151
SDC3,0.032203343
PUM1,0.24708202
NKAIN1,0.0
SNRNP40,0.12890366
ZCCHC17,0.13330133
FABP3,0.43282202
SERINC2,0.35451105
TINAGL1,0.35689202
PEF1,0.19637077
COL16A1,0.0070922477
PTP4A2,0.5998612
KHDRBS1,0.49305007
TMEM39B,0.032665495
KPNA6,0.17873088
TXLNA,0.1206818
CCDC28B,0.047811408
IQCC,0.0087891
TMEM234,0.05096719
EIF3I,0.362648
FAM167B,0.08424459
LCK,0.011113996
HDAC1,0.2195252
MARCKSL1,0.15962161
FAM229A,0.06860888
BSDC1,0.14256507
ZBTB8A,0.032755185
ZBTB8OS,0.19552463
RBBP4,0.32785
SYNC,0.030489702
NHSL3,0.19981676
YARS1,0.045930997
S100PBP,0.056610882
TMEM54,0.082753666
RNF19B,0.06643614
AK2,0.45830354
ZNF362,0.062081017
PHC2,0.3387879
SMIM12,0.23601182
GJA4,0.043625742
ENSG00000284773,0.0066558523
ZMYM6,0.06536537
ZMYM1,0.053397212
SFPQ,0.6565704
ZMYM4,0.13923007
KIAA0319L,0.13602942
TFAP2E-AS1,0.0
PSMB2,0.44842342
C1orf216,0.015546886
CLSPN,0.0
AGO4,0.041272443
AGO1,0.07373248
AGO3,0.094054654
ADPRS,0.115970895
COL8A2,0.0029366994
TRAPPC3,0.20165163
MAP7D1,0.10374897
THRAP3,0.316835
SH3D21,0.023147367
EVA1B,0.23151512
STK40,0.085314065
LSM10,0.18081577
OSCP1,0.05119519
MRPS15,0.38627267
CSF3R,0.0018095031
LITATS1,0.020567212
ZC3H12A,0.050497476
MEAF6,0.3564627
SNIP1,0.057806116
DNALI1,0.07353257
GNL2,0.05428097
AIRIM,0.05395856
CDCA8,0.0008887282
YRDC,0.06785665
C1orf122,0.4144535
MTF1,0.048153494
INPP5B,0.018345898
SF3A3,0.14503145
FHL3,0.03342858
UTP11,0.10495551
RRAGC,0.126594
MYCBP,0.08181866
RHBDL2,0.0
AKIRIN1,0.3562853
NDUFS5,1.5023261
MACF1,0.3929702
PABPC4,0.2990955
HEYL,0.007331109
PPIE,0.1773071
TRIT1,0.031276256
MFSD2A,0.012461468
CAP1,0.40276957
PPT1,0.247679
RLF,0.0926699
ZMPSTE24-DT,0.051792827
ZMPSTE24,0.22099347
COL9A2,0.05225243
SMAP2,0.07806504
ZNF684,0.04661853
RIMS3,0.002957299
NFYC,0.119693615
CITED4,0.272235
CTPS1,0.024312275
SCMH1,0.057085738
HIVEP3,0.01300986
FOXJ3,0.08760719
PPCS,0.41680482
CCDC30,0.02677274
PPIH,0.13269234
YBX1,1.1785387
P3H1,0.026761884
C1orf50,0.042250995
SVBP,0.1726467
ERMAP,0.019522257
ZNF691,0.025283054
SLC2A1,0.07635451
CFAP144,0.005501354
EBNA1BP2,0.1830391
TMEM125,0.055622563
C1orf210,0.08050169
TIE1,0.042984076
ELOVL1,0.11865903
MED8,0.10499747
SZT2,0.04129303
HYI,0.2832207
PTPRF,0.25945416
KDM4A,0.023714323
ST3GAL3,0.030974457
ARTN,0.0073118964
