,29-10006
LINC01409,0.01384326
NOC2L,0.10489083
PERM1,0.0064489227
ENSG00000272512,0.0020893284
HES4,0.15521632
ISG15,0.10724012
AGRN,0.3684672
RNF223,0.0029787824
C1orf159,0.03279559
TNFRSF18,0.01224457
TNFRSF4,0.02411107
SDF4,0.3288803
B3GALT6,0.06559021
UBE2J2,0.16579647
ACAP3,0.08934271
PUSL1,0.04545627
INTS11,0.15640375
CPTP,0.09757981
DVL1,0.09416519
MXRA8,0.037545916
AURKAIP1,0.868206
CCNL2,0.23131266
MRPL20,0.60608387
VWA1,0.17308599
ATAD3A,0.050558437
SSU72,0.45387998
SSU72-AS1,0.0028138787
FNDC10,0.039938763
ENSG00000272106,0.03227274
MIB2,0.137632
MMP23B,0.005365285
CDK11B,0.08269387
SLC35E2B,0.0290971
CDK11A,0.01851565
SLC35E2A,0.09379547
NADK,0.081586204
GNB1,0.38493007
GABRD,0.0
PRKCZ,0.083172485
FAAP20,0.32742795
SKI,0.105114944
RER1,0.5058803
PEX10,0.0873423
PANK4,0.03845859
HES5,0.0016755683
ENSG00000272449,0.048405424
TNFRSF14-AS1,0.030260459
TNFRSF14,0.19562519
PRXL2B,0.05440787
MMEL1,0.009567594
PRDM16,0.07082809
ENSG00000272235,9.653697e-05
ARHGEF16,0.07754496
MEGF6,0.012925889
TPRG1L,0.135897
WRAP73,0.06313007
SMIM1,0.15454867
LRRC47,0.09430591
CEP104,0.08717672
DFFB,0.02138175
C1orf174,0.087741755
NPHP4,0.023926174
KCNAB2,0.058183588
RPL22,1.5176684
ICMT,0.14603832
ACOT7,0.14195076
TNFRSF25,0.033929672
PLEKHG5,0.008000757
NOL9,0.060902655
ZBTB48,0.060633536
KLHL21,0.075327896
PHF13,0.026543666
THAP3,0.07104291
DNAJC11,0.17944783
CAMTA1,0.71503854
VAMP3,0.16995668
PER3,0.09248262
PARK7,0.8801381
ERRFI1,0.039622422
RERE,0.30294508
ENO1,1.1803837
GPR157,0.029518038
MIR34AHG,0.012763601
H6PD,0.092191994
SPSB1,0.018063689
SLC25A33,0.08625295
PIK3CD,0.039866857
CLSTN1,0.3388708
CTNNBIP1,0.088664494
LZIC,0.09785214
NMNAT1,0.04848765
RBP7,0.07823359
UBE4B,0.102384895
KIF1B,0.14536913
PGD,0.1668894
CENPS,0.06004304
DFFA,0.10462605
PEX14,0.05548455
CASZ1,0.105648294
TARDBP,0.16589291
SRM,0.16719268
EXOSC10,0.06440104
MTOR,0.05570599
UBIAD1,0.03845909
FBXO2,0.10752649
FBXO44,0.10468553
FBXO6,0.036979888
MAD2L2,0.11197803
AGTRAP,0.2494943
C1orf167,0.010963262
MTHFR,0.065712735
CLCN6,0.045045212
KIAA2013,0.16482645
PLOD1,0.06577524
MFN2,0.12225819
MIIP,0.060427923
TNFRSF1B,0.042755563
VPS13D,0.14472106
DHRS3,0.20283087
PDPN,0.0033601064
PRDM2,0.10682018
KAZN,0.16855581
