,PRE038
PHACTR4,0.19196735
RCC1,0.0075525865
TRNAU1AP,0.054521054
SNHG12,0.034336742
TAF12,0.09934753
RAB42,0.0023383866
GMEB1,0.017360961
YTHDF2,0.15768608
EPB41,0.07508358
TMEM200B,0.016984802
SRSF4,0.14203008
MECR,0.06444295
PTPRU,0.00596425
LAPTM5,0.06671949
SDC3,0.03253024
PUM1,0.2824091
NKAIN1,0.0
SNRNP40,0.1016788
ZCCHC17,0.090223305
FABP3,0.38644037
SERINC2,0.110824905
TINAGL1,0.3051146
PEF1,0.1406374
COL16A1,0.0040961932
PTP4A2,0.41195232
KHDRBS1,0.38815075
TMEM39B,0.013912622
KPNA6,0.13832147
TXLNA,0.06923484
CCDC28B,0.021708468
IQCC,0.0027599295
TMEM234,0.044307653
EIF3I,0.27337027
FAM167B,0.11912861
LCK,0.011384916
HDAC1,0.13422254
MARCKSL1,0.06472546
FAM229A,0.020216962
BSDC1,0.10257237
ZBTB8A,0.036095075
ZBTB8OS,0.16241261
RBBP4,0.25516772
SYNC,0.025480997
NHSL3,0.08442802
YARS1,0.043152664
S100PBP,0.054722253
TMEM54,0.053418126
RNF19B,0.054966584
AK2,0.37288216
ZNF362,0.10170189
PHC2,0.2562893
SMIM12,0.14702581
GJA4,0.08331641
ENSG00000284773,0.0035605573
ZMYM6,0.053121522
ZMYM1,0.049795963
SFPQ,0.48795146
ZMYM4,0.124814875
KIAA0319L,0.14788455
TFAP2E-AS1,0.001305362
PSMB2,0.305342
C1orf216,0.009952668
CLSPN,0.00074606825
AGO4,0.030150287
AGO1,0.05980001
AGO3,0.11462301
ADPRS,0.07983421
COL8A2,0.0034915311
TRAPPC3,0.15517566
MAP7D1,0.08106136
THRAP3,0.28386444
SH3D21,0.0065502464
EVA1B,0.2190265
STK40,0.06162364
LSM10,0.15085252
OSCP1,0.0351965
MRPS15,0.36347994
CSF3R,0.0032204331
LITATS1,0.029430388
ZC3H12A,0.005401085
MEAF6,0.26414552
SNIP1,0.041127846
DNALI1,0.068820134
GNL2,0.032343935
AIRIM,0.036464985
CDCA8,0.0016718005
YRDC,0.06073687
C1orf122,0.39627138
MTF1,0.02670462
INPP5B,0.019492954
SF3A3,0.07881762
FHL3,0.03965782
UTP11,0.061306704
RRAGC,0.082409374
MYCBP,0.037839063
RHBDL2,0.0010213173
AKIRIN1,0.18186848
NDUFS5,1.135163
MACF1,0.29216695
PABPC4,0.16756368
HEYL,0.017959392
PPIE,0.12343423
TRIT1,0.029394737
MFSD2A,0.003440756
CAP1,0.2803518
PPT1,0.18575735
RLF,0.06484847
ZMPSTE24-DT,0.032295518
ZMPSTE24,0.17450535
COL9A2,0.003464372
SMAP2,0.07444106
ZNF684,0.04352101
RIMS3,0.013208236
NFYC,0.10817349
CITED4,0.18459989
CTPS1,0.025507055
SCMH1,0.05395217
HIVEP3,0.03165
FOXJ3,0.10754154
PPCS,0.34558937
CCDC30,0.03246577
