,29-10010
LINC01409,0.08022477
NOC2L,0.08471324
PERM1,0.004007583
ENSG00000272512,0.006878702
HES4,0.18177399
ISG15,0.09848214
AGRN,0.34474745
RNF223,0.002055145
C1orf159,0.045673642
TNFRSF18,0.006345683
TNFRSF4,0.023748394
SDF4,0.2587069
B3GALT6,0.025489872
UBE2J2,0.11282426
ACAP3,0.0695183
PUSL1,0.021879617
INTS11,0.1391953
CPTP,0.08090981
DVL1,0.07685915
MXRA8,0.012680323
AURKAIP1,0.52256066
CCNL2,0.26565358
MRPL20,0.45931736
VWA1,0.098531164
ATAD3A,0.04951065
SSU72,0.28370848
SSU72-AS1,0.004060499
FNDC10,0.017002203
ENSG00000272106,0.024160592
MIB2,0.1300269
MMP23B,0.0069472566
CDK11B,0.08447999
SLC35E2B,0.07696982
CDK11A,0.03346171
SLC35E2A,0.096263565
NADK,0.080251835
GNB1,0.4336455
GABRD,0.0015427662
PRKCZ,0.07424325
FAAP20,0.27168876
SKI,0.13378337
RER1,0.34279877
PEX10,0.054737598
PANK4,0.034985565
HES5,0.0010401795
ENSG00000272449,0.051578708
TNFRSF14-AS1,0.031172285
TNFRSF14,0.14041029
PRXL2B,0.042887338
MMEL1,0.015019832
PRDM16,0.15704578
ENSG00000272235,0.00046037708
ARHGEF16,0.066841826
MEGF6,0.02234524
TPRG1L,0.0851125
WRAP73,0.044625808
SMIM1,0.066174574
LRRC47,0.08340996
CEP104,0.115082316
DFFB,0.026637258
C1orf174,0.07144707
NPHP4,0.028648874
KCNAB2,0.029121978
RPL22,0.95374215
ICMT,0.13434428
ACOT7,0.063710816
TNFRSF25,0.02808553
PLEKHG5,0.033150915
NOL9,0.10058944
ZBTB48,0.043459706
KLHL21,0.0913128
PHF13,0.036317024
THAP3,0.06723338
DNAJC11,0.2626952
CAMTA1,0.50459343
VAMP3,0.18495572
PER3,0.21849485
PARK7,0.50316346
ERRFI1,0.07210545
RERE,0.5812392
ENO1,1.1188821
GPR157,0.04743084
MIR34AHG,0.04664791
H6PD,0.06392387
SPSB1,0.021519085
SLC25A33,0.12104417
PIK3CD,0.06352933
CLSTN1,0.36417863
CTNNBIP1,0.09774084
LZIC,0.124573015
NMNAT1,0.12239631
RBP7,0.1276213
UBE4B,0.18304993
KIF1B,0.2737499
PGD,0.104183905
CENPS,0.022678223
DFFA,0.11034711
PEX14,0.082056634
CASZ1,0.17204686
TARDBP,0.18879847
SRM,0.09268351
EXOSC10,0.10340256
MTOR,0.12964253
UBIAD1,0.04995105
FBXO2,0.11713797
FBXO44,0.10126014
FBXO6,0.022503382
MAD2L2,0.061038118
AGTRAP,0.13488661
C1orf167,0.0140342545
MTHFR,0.054496817
CLCN6,0.04325287
KIAA2013,0.097788
PLOD1,0.0804573
MFN2,0.14599897
MIIP,0.045415536
TNFRSF1B,0.06114255
VPS13D,0.3333459
DHRS3,0.16496336
PDPN,0.008353113
PRDM2,0.18071233
KAZN,0.44132447
TMEM51,0.14935738
FHAD1,0.055146597
EFHD2,0.114958
CASP9,0.04210638
DNAJC16,0.17580783
DDI2,0.12685993
PLEKHM2,0.09949566
SLC25A34,0.006416021
FBLIM1,0.04992185
SPEN-AS1,0.077796765
SPEN,0.30117738
ZBTB17,0.03700455
SRARP,0.011771479
HSPB7,0.010516237
EPHA2,0.043461803
CPLANE2,0.0077711097
FBXO42,0.1985416
SZRD1,0.15535288
NECAP2,0.09251681
NBPF1,0.10627419
CROCC,0.13099116
ENSG00000238142,0.061464626
MFAP2,0.0049488507
ATP13A2,0.06856249
SDHB,0.20174451
PADI2,0.038120326
PADI4,0.027843792
RCC2,0.09418092
ARHGEF10L,0.20423698
IGSF21,0.023739383
ALDH4A1,0.11142234
IFFO2,0.016499702
UBR4,0.20168218
EMC1,0.08892724
MRTO4,0.05129225
AKR7A3,0.060591068
AKR7A2,0.18879442
SLC66A1,0.031928226
CAPZB,0.39075387
MICOS10,0.77988523
NBL1,0.097386174
TMCO4,0.115654945
OTUD3,0.04757722
PLA2G5,0.01442535
CAMK2N1,0.45903265
MUL1,0.06982692
CDA,0.059246078
PINK1,0.20578296
PINK1-AS,0.012732157
DDOST,0.18601355
KIF17,0.02899971
HP1BP3,0.62085503
EIF4G3,0.3372088
ECE1,0.17160295
NBPF3,0.013691569
ALPL,0.041956026
USP48,0.2896833
HSPG2,0.24957016
CDC42,0.8944286
WNT4,0.0033351912
ZBTB40,0.052422713
C1QA,0.035400923
C1QC,0.020668462
C1QB,0.024864407
EPHB2,0.06078698
KDM1A,0.15449858
LUZP1,0.13879079
HNRNPR,0.3906882
ZNF436,0.024766358
TCEA3,0.27768266
ASAP3,0.073385775
ID3,0.37446898
RPL11,1.7262688
ELOA,0.070255585
PITHD1,0.09936262
LYPLA2,0.11948848
GALE,0.06676696
HMGCL,0.14178611
