,28-10051
LINC01409,0.012959766
NOC2L,0.05335787
PERM1,0.0
ENSG00000272512,0.0
HES4,0.05099002
ISG15,0.06009828
AGRN,0.052466355
RNF223,0.0
C1orf159,0.028115418
TNFRSF18,0.0
TNFRSF4,0.0
SDF4,0.15423004
B3GALT6,0.030649424
UBE2J2,0.19471686
ACAP3,0.024456361
PUSL1,0.03517081
INTS11,0.12817657
CPTP,0.0578239
DVL1,0.06061716
MXRA8,0.021379892
AURKAIP1,1.1527634
CCNL2,0.05102906
MRPL20,0.8986226
VWA1,0.028049657
ATAD3A,0.053763848
SSU72,0.5061299
SSU72-AS1,0.0
FNDC10,0.0031049352
ENSG00000272106,0.019842701
MIB2,0.056283478
MMP23B,0.0
CDK11B,0.046034247
SLC35E2B,0.018973596
CDK11A,0.0
SLC35E2A,0.01608135
NADK,0.09299426
GNB1,0.24579981
GABRD,0.0
PRKCZ,0.09700324
FAAP20,0.43812683
SKI,0.06444509
RER1,0.3237145
PEX10,0.0649245
PANK4,0.016488321
HES5,0.0
ENSG00000272449,0.04587474
TNFRSF14-AS1,0.030242536
TNFRSF14,0.20877841
PRXL2B,0.07030323
MMEL1,0.0
PRDM16,0.0
ENSG00000272235,0.0
ARHGEF16,0.051146917
MEGF6,0.006475461
TPRG1L,0.29804128
WRAP73,0.053765964
SMIM1,0.23716085
LRRC47,0.0647487
CEP104,0.068484515
DFFB,0.0
C1orf174,0.11380015
NPHP4,0.011637755
KCNAB2,0.09172271
RPL22,2.192694
ICMT,0.07486988
ACOT7,0.36555675
TNFRSF25,0.0
PLEKHG5,0.0
NOL9,0.026334133
ZBTB48,0.04491839
KLHL21,0.0348244
PHF13,0.010906784
THAP3,0.06374187
DNAJC11,0.062903516
CAMTA1,0.9845265
VAMP3,0.2062416
PER3,0.07262047
PARK7,1.5626417
ERRFI1,0.07389233
RERE,0.16584092
ENO1,1.131042
GPR157,0.023860302
MIR34AHG,0.0
H6PD,0.041784115
SPSB1,0.0
SLC25A33,0.116727516
PIK3CD,0.0
CLSTN1,0.09119597
CTNNBIP1,0.11175428
LZIC,0.117948055
NMNAT1,0.058138993
RBP7,0.014156209
UBE4B,0.021054398
KIF1B,0.052633625
PGD,0.076093115
CENPS,0.102101356
DFFA,0.1445621
PEX14,0.057806432
CASZ1,0.03910559
TARDBP,0.09312447
SRM,0.22627664
EXOSC10,0.027501587
MTOR,0.025277488
UBIAD1,0.027458385
FBXO2,0.03369524
FBXO44,0.06483794
FBXO6,0.03914658
MAD2L2,0.053977188
AGTRAP,0.21844602
C1orf167,0.0
MTHFR,0.066445544
CLCN6,0.024827609
KIAA2013,0.11622191
PLOD1,0.08316534
MFN2,0.07908289
MIIP,0.035816617
TNFRSF1B,0.040982384
VPS13D,0.034931324
DHRS3,0.20276007
PDPN,0.0
PRDM2,0.030366283
KAZN,0.06607342
TMEM51,0.026162453
FHAD1,0.0
EFHD2,0.18812467
CASP9,0.039517708
DNAJC16,0.08739551
DDI2,0.11418463
PLEKHM2,0.09645912
SLC25A34,0.03233439
FBLIM1,0.0
SPEN-AS1,0.036797125
SPEN,0.082642555
ZBTB17,0.04555588
SRARP,0.008293662
HSPB7,0.005330707
EPHA2,0.0
CPLANE2,0.01439553
FBXO42,0.040456943
SZRD1,0.2504095
NECAP2,0.07762881
NBPF1,0.038027465
CROCC,0.012417907
ENSG00000238142,0.083759785
MFAP2,0.0
ATP13A2,0.02895303
SDHB,0.5880102
PADI2,0.0
PADI4,0.0
RCC2,0.02202698
ARHGEF10L,0.07397423
IGSF21,0.0
ALDH4A1,0.6634101
IFFO2,0.0113876
UBR4,0.1657316
EMC1,0.016433144
MRTO4,0.051102143
AKR7A3,1.1017504
AKR7A2,1.0752709
SLC66A1,0.015938826
CAPZB,0.59108895
MICOS10,1.1018977
NBL1,0.042138714
TMCO4,0.045254644
OTUD3,0.008444821
PLA2G5,0.0
CAMK2N1,0.92584103
MUL1,0.033303138
CDA,0.014508481
PINK1,0.18898809
PINK1-AS,0.0
DDOST,0.18504073
KIF17,0.0
HP1BP3,0.23503
EIF4G3,0.08364745
ECE1,0.027116809
NBPF3,0.0083839875
ALPL,0.15229474
USP48,0.07794081
HSPG2,0.05042624
CDC42,0.80179274
WNT4,0.0
ZBTB40,0.020673145
C1QA,0.0
C1QC,0.0
C1QB,0.0
EPHB2,0.010460858
KDM1A,0.056951363
LUZP1,0.03279036
HNRNPR,0.15416501
ZNF436,0.003759526
TCEA3,0.39651817
ASAP3,0.039533876
ID3,0.039572608
RPL11,2.9259923
ELOA,0.03777311
PITHD1,0.1470528
LYPLA2,0.22250035
GALE,0.19922698
HMGCL,0.4973982
FUCA1,0.04984321
PNRC2,0.2936571
SRSF10,0.20835167
STPG1,0.021132085
NIPAL3,0.027281461
RCAN3,0.017714424
SRRM1,0.3055312
CLIC4,0.533473
RUNX3,0.0
SYF2,0.5296205
RSRP1,0.24837379
TMEM50A,0.2007524
MACO1,0.079295896
LDLRAP1,0.02252402
MAN1C1,0.10528015
ENSG00000233478,0.0
SELENON,0.039887596
MTFR1L,0.31420466
PAQR7,0.19049919
STMN1,0.32302395
PAFAH2,0.041101504
PDIK1L,0.03880964
FAM110D,0.0
ZNF593OS,0.0
ZNF593,0.28382146
CEP85,0.006221757
SH3BGRL3,0.6019893
UBXN11,0.105856575
CD52,0.049583048
DHDDS,0.07634738
HMGN2,0.81606334
RPS6KA1,0.07069155
ARID1A,0.072670884
PIGV,0.020054463
ZDHHC18,0.012386774
SFN,0.0
GPN2,0.0328114
GPATCH3,0.037895937
NUDC,0.4320425
KDF1,0.023424624
TRNP1,0.003759526
SLC9A1,0.004622808
WDTC1,0.06914512
TMEM222,0.098955154
SYTL1,0.016414912
MAP3K6,0.02598676
FCN3,0.0
CD164L2,0.0
WASF2,0.20408589
AHDC1,0.031018915
FGR,0.022041067
IFI6,0.033691898
FAM76A,0.063884296
STX12,0.20841408
PPP1R8,0.017539708
THEMIS2,0.01260609
RPA2,0.103679515
XKR8,0.01574834
EYA3,0.05510112
PTAFR,0.0
DNAJC8,0.34861207
ATP5IF1,1.8935137
ENSG00000270605,0.008581924
MED18,0.029972196
PHACTR4,0.059570752
RCC1,0.0
TRNAU1AP,0.077617206
SNHG12,0.013965155
TAF12,0.13446653
RAB42,0.0
GMEB1,0.009628994
YTHDF2,0.14679097
EPB41,0.07988694
TMEM200B,0.0
SRSF4,0.070979826
MECR,0.06316031
PTPRU,0.0
LAPTM5,0.06937439
SDC3,0.011465897
PUM1,0.132315
NKAIN1,0.0
SNRNP40,0.12759602
ZCCHC17,0.11084094
FABP3,0.59361583
SERINC2,0.14177012
TINAGL1,0.1001855
PEF1,0.2028526
COL16A1,0.0
PTP4A2,0.32827762
KHDRBS1,0.34110352
TMEM39B,0.008471945
KPNA6,0.11105562
TXLNA,0.029012604
CCDC28B,0.039945282
IQCC,0.0
TMEM234,0.053652935
EIF3I,0.43985528
FAM167B,0.0
LCK,0.0
HDAC1,0.12321576
MARCKSL1,0.012216458
FAM229A,0.017070366
BSDC1,0.12521672
ZBTB8A,0.0
ZBTB8OS,0.22559837
RBBP4,0.23525518
SYNC,0.017317157
NHSL3,0.12103262
YARS1,0.030635092
S100PBP,0.048720837
TMEM54,0.08029947
RNF19B,0.09806165
AK2,0.44800207
ZNF362,0.047690194
PHC2,0.23174599
SMIM12,0.23944262
GJA4,0.017391033
ENSG00000284773,0.0
ZMYM6,0.013031727
ZMYM1,0.009101679
SFPQ,0.2669425
ZMYM4,0.10128196
KIAA0319L,0.10580868
TFAP2E-AS1,0.0
PSMB2,0.42245957
C1orf216,0.0
CLSPN,0.0
AGO4,0.01451261
AGO1,0.009361305
AGO3,0.04847691
ADPRS,0.12900598
COL8A2,0.0
TRAPPC3,0.22802663
