,PRE019
LINC01409,0.0049205665
NOC2L,0.14328319
PERM1,0.0045127757
ENSG00000272512,0.0048779254
HES4,0.49473807
ISG15,0.12291658
AGRN,0.2122892
RNF223,0.0029814094
C1orf159,0.017587842
TNFRSF18,0.0031881647
TNFRSF4,0.025977457
SDF4,0.2409047
B3GALT6,0.065538995
UBE2J2,0.15704925
ACAP3,0.05919322
PUSL1,0.04347552
INTS11,0.14884754
CPTP,0.10527326
DVL1,0.09954018
MXRA8,0.042952515
AURKAIP1,0.9057389
CCNL2,0.25090384
MRPL20,0.7621201
VWA1,0.24372444
ATAD3A,0.055952992
SSU72,0.5683905
SSU72-AS1,0.0033469982
FNDC10,0.024841594
ENSG00000272106,0.058381997
MIB2,0.12507695
MMP23B,0.00029693224
CDK11B,0.09758561
SLC35E2B,0.021778282
CDK11A,0.01899017
SLC35E2A,0.043024406
NADK,0.07562718
GNB1,0.38784808
GABRD,0.0
PRKCZ,0.065192804
FAAP20,0.3637912
SKI,0.09422303
RER1,0.5820618
PEX10,0.085354455
PANK4,0.032581024
HES5,0.0017708932
ENSG00000272449,0.049463835
TNFRSF14-AS1,0.027619207
TNFRSF14,0.15581469
PRXL2B,0.052973665
MMEL1,0.0058132983
PRDM16,0.0808904
ENSG00000272235,0.0
ARHGEF16,0.047532167
MEGF6,0.0151604805
TPRG1L,0.14552653
WRAP73,0.055252355
SMIM1,0.12792973
LRRC47,0.099017836
CEP104,0.09641114
DFFB,0.013306137
C1orf174,0.08867879
NPHP4,0.021820227
KCNAB2,0.026632989
RPL22,1.4926616
ICMT,0.13072248
ACOT7,0.10119569
TNFRSF25,0.02204465
PLEKHG5,0.016747123
NOL9,0.06470022
ZBTB48,0.061667517
KLHL21,0.077953644
PHF13,0.04593951
THAP3,0.055405
DNAJC11,0.12931596
CAMTA1,0.7930235
VAMP3,0.2300981
PER3,0.13201696
PARK7,1.0350397
ERRFI1,0.3140451
RERE,0.30728775
ENO1,1.0643809
GPR157,0.023766857
MIR34AHG,0.002665916
H6PD,0.07503999
SPSB1,0.04463209
SLC25A33,0.25307968
PIK3CD,0.02146699
CLSTN1,0.32673797
CTNNBIP1,0.09644977
LZIC,0.12135579
NMNAT1,0.043176018
RBP7,0.17982447
UBE4B,0.088003546
KIF1B,0.12390205
PGD,0.099397436
CENPS,0.051512375
DFFA,0.11257417
PEX14,0.047407933
CASZ1,0.081318066
TARDBP,0.1940355
SRM,0.14540192
EXOSC10,0.065897524
MTOR,0.05037061
UBIAD1,0.043966983
FBXO2,0.09992372
FBXO44,0.09359075
FBXO6,0.018865168
MAD2L2,0.08795686
AGTRAP,0.1607986
C1orf167,0.014160953
MTHFR,0.08041513
CLCN6,0.043185744
KIAA2013,0.14922719
PLOD1,0.0611843
MFN2,0.12854563
MIIP,0.047034126
TNFRSF1B,0.043220058
VPS13D,0.1557914
DHRS3,0.431962
PDPN,0.0014019101
PRDM2,0.11938207
KAZN,0.10049084
TMEM51,0.12660757
FHAD1,0.008183574
EFHD2,0.102715306
CASP9,0.06359311
DNAJC16,0.08203559
DDI2,0.05871646
PLEKHM2,0.09025123
SLC25A34,0.015773723
FBLIM1,0.014809376
SPEN-AS1,0.05274094
SPEN,0.18531248
ZBTB17,0.04236994
SRARP,0.041867808
HSPB7,0.044690367
EPHA2,0.08611399
CPLANE2,0.011592072
FBXO42,0.0565923
SZRD1,0.16939652
NECAP2,0.13912019
NBPF1,0.039593082
CROCC,0.031707592
ENSG00000238142,0.04858317
MFAP2,0.007241683
ATP13A2,0.04945324
SDHB,0.30810145
PADI2,0.025640056
PADI4,0.0
RCC2,0.072578035
ARHGEF10L,0.10199509
IGSF21,0.0025903217
ALDH4A1,0.26089913
IFFO2,0.010995595
UBR4,0.07095029
EMC1,0.06917951
MRTO4,0.08570127
AKR7A3,0.17629029
AKR7A2,0.45847207
SLC66A1,0.034264147
CAPZB,0.48374844
MICOS10,1.1741858
NBL1,0.14773136
TMCO4,0.05354463
OTUD3,0.036863863
PLA2G5,0.0
CAMK2N1,0.68729955
MUL1,0.108813204
CDA,0.23173258
PINK1,0.34649512
PINK1-AS,0.0045581586
DDOST,0.23160525
KIF17,0.014754973
HP1BP3,0.51025116
EIF4G3,0.13252221
ECE1,0.21641342
NBPF3,0.022140088
ALPL,0.04881699
USP48,0.12764622
HSPG2,0.41863444
CDC42,0.9995608
WNT4,0.0032575591
ZBTB40,0.036124267
C1QA,0.02765406
C1QC,0.022664718
C1QB,0.022544585
EPHB2,0.008046273
KDM1A,0.09685223
LUZP1,0.14378557
HNRNPR,0.34414682
ZNF436,0.022369213
TCEA3,0.21745667
ASAP3,0.034129966
ID3,0.51082855
RPL11,2.8276997
ELOA,0.081306
PITHD1,0.17597902
LYPLA2,0.18791157
GALE,0.07596674
HMGCL,0.22913392
FUCA1,0.25478837
PNRC2,0.45698267
SRSF10,0.4931323
STPG1,0.04191541
NIPAL3,0.067133516
RCAN3,0.07008076
SRRM1,0.5196054
CLIC4,0.32272902
RUNX3,0.013502837
SYF2,0.47410542
RSRP1,0.55525106
TMEM50A,0.53667426
MACO1,0.11007423
LDLRAP1,0.05925344
MAN1C1,0.07523529
ENSG00000233478,0.0
SELENON,0.18781602
MTFR1L,0.2792946
PAQR7,0.17129673
STMN1,0.36274594
PAFAH2,0.0479659
PDIK1L,0.034096427
FAM110D,0.08398527
ZNF593OS,0.00069573126
ZNF593,0.35183397
CEP85,0.024731115
SH3BGRL3,0.6158116
UBXN11,0.065294996
CD52,0.102389805
DHDDS,0.090944365
HMGN2,0.81191546
RPS6KA1,0.05054614
ARID1A,0.20683427
PIGV,0.037532497
ZDHHC18,0.02215435
SFN,0.007959879
GPN2,0.04587939
GPATCH3,0.027293911
NUDC,0.4223529
KDF1,0.051281244
TRNP1,0.060355566
SLC9A1,0.03696728
WDTC1,0.08553875
TMEM222,0.1527903
SYTL1,0.023270834
MAP3K6,0.1243706
FCN3,0.21658213
CD164L2,0.00048119653
WASF2,0.36875156
AHDC1,0.09820078
FGR,0.013642101
IFI6,0.15733881
FAM76A,0.09632031
STX12,0.20635489
PPP1R8,0.0642438
THEMIS2,0.012150571
RPA2,0.13855658
XKR8,0.016466523
EYA3,0.11993162
PTAFR,0.006132733
DNAJC8,0.3864575
ATP5IF1,1.4787388
ENSG00000270605,0.0091181295
MED18,0.015934957
