,Sample1153-EO2
LINC01409,0.031041408
NOC2L,0.16546862
PERM1,0.0064513437
ENSG00000272512,0.016195867
HES4,0.5995188
ISG15,0.3796704
AGRN,0.45368248
RNF223,0.0018076524
C1orf159,0.027351627
TNFRSF18,0.009368454
TNFRSF4,0.019105123
SDF4,0.32561675
B3GALT6,0.08774154
UBE2J2,0.19156544
ACAP3,0.07149059
PUSL1,0.046833906
INTS11,0.20052363
CPTP,0.13641495
DVL1,0.13012505
MXRA8,0.06458662
AURKAIP1,1.0474081
CCNL2,0.26186976
MRPL20,0.8745357
VWA1,0.1487733
ATAD3A,0.058555946
SSU72,0.57298595
SSU72-AS1,0.0042169215
FNDC10,0.055680055
ENSG00000272106,0.07224941
MIB2,0.17696992
MMP23B,0.006116123
CDK11B,0.1183127
SLC35E2B,0.03529464
CDK11A,0.0351583
SLC35E2A,0.05712622
NADK,0.10183019
GNB1,0.4381775
GABRD,0.0
PRKCZ,0.042573508
FAAP20,0.43416718
SKI,0.10260145
RER1,0.682985
PEX10,0.10159828
PANK4,0.055840403
HES5,0.0
ENSG00000272449,0.08035247
TNFRSF14-AS1,0.03744217
TNFRSF14,0.13073552
PRXL2B,0.053739343
MMEL1,0.0047584223
PRDM16,0.0708619
ENSG00000272235,0.0
ARHGEF16,0.0575232
MEGF6,0.014443152
TPRG1L,0.12269161
WRAP73,0.066269025
SMIM1,0.12004149
LRRC47,0.10506445
CEP104,0.09173987
DFFB,0.004125696
C1orf174,0.1101746
NPHP4,0.028301654
KCNAB2,0.009029003
RPL22,2.147053
ICMT,0.18438439
ACOT7,0.059226785
TNFRSF25,0.024116557
PLEKHG5,0.009607293
NOL9,0.07512461
ZBTB48,0.072917335
KLHL21,0.07683806
PHF13,0.048215713
THAP3,0.052962285
DNAJC11,0.15773655
CAMTA1,0.74081343
VAMP3,0.1689812
PER3,0.07594889
PARK7,1.023092
ERRFI1,0.22247025
RERE,0.30180618
ENO1,1.2860249
GPR157,0.03807059
MIR34AHG,0.0
H6PD,0.07727715
SPSB1,0.02898379
SLC25A33,0.1913089
PIK3CD,0.024620356
CLSTN1,0.37802345
CTNNBIP1,0.0965867
LZIC,0.11555111
NMNAT1,0.036465622
RBP7,0.12126402
UBE4B,0.092598975
KIF1B,0.12541872
PGD,0.16539733
CENPS,0.043616302
DFFA,0.11551204
PEX14,0.04593419
CASZ1,0.08838142
TARDBP,0.21644194
SRM,0.15514211
EXOSC10,0.071706906
MTOR,0.05320304
UBIAD1,0.064986564
FBXO2,0.15552972
FBXO44,0.13425207
FBXO6,0.032255642
MAD2L2,0.11828358
AGTRAP,0.16939563
C1orf167,0.006065005
MTHFR,0.03805818
CLCN6,0.026720902
KIAA2013,0.16174546
PLOD1,0.057067696
MFN2,0.1860069
MIIP,0.054073397
TNFRSF1B,0.0540043
VPS13D,0.15393534
DHRS3,0.35391307
PDPN,0.0058127507
PRDM2,0.13498504
KAZN,0.13795061
TMEM51,0.22552358
FHAD1,0.005578264
EFHD2,0.14664857
CASP9,0.053394016
DNAJC16,0.067766175
DDI2,0.05069219
PLEKHM2,0.12391219
SLC25A34,0.011769267
FBLIM1,0.0077752625
SPEN-AS1,0.043987595
SPEN,0.1860993
ZBTB17,0.052421145
SRARP,0.07646954
HSPB7,0.015453555
EPHA2,0.18269652
CPLANE2,0.0044173137
FBXO42,0.041014697
SZRD1,0.27126452
NECAP2,0.12579377
NBPF1,0.036051225
CROCC,0.027343288
ENSG00000238142,0.20358032
MFAP2,0.007602694
ATP13A2,0.06768049
SDHB,0.36898458
PADI2,0.03515002
PADI4,0.0
RCC2,0.09848684
ARHGEF10L,0.12269385
IGSF21,0.0
ALDH4A1,0.2836779
IFFO2,0.0137957325
UBR4,0.25783134
EMC1,0.088876046
MRTO4,0.085849136
AKR7A3,0.12330839
AKR7A2,0.4046927
SLC66A1,0.039865922
CAPZB,0.53959155
MICOS10,1.5442721
NBL1,0.13327932
TMCO4,0.08098247
OTUD3,0.046244137
PLA2G5,0.0
CAMK2N1,0.8835057
MUL1,0.13047296
CDA,0.252225
PINK1,0.37528524
PINK1-AS,0.0029649604
DDOST,0.30468258
KIF17,0.0038858093
HP1BP3,0.5534443
EIF4G3,0.1479937
ECE1,0.16523759
NBPF3,0.016217303
ALPL,0.014520466
USP48,0.11625266
HSPG2,0.29809067
CDC42,0.9874837
WNT4,0.0020116759
ZBTB40,0.035789866
C1QA,0.044206873
C1QC,0.025477657
C1QB,0.035649106
EPHB2,0.010635494
KDM1A,0.12905914
LUZP1,0.13656321
HNRNPR,0.3154276
ZNF436,0.020726196
TCEA3,0.29239136
ASAP3,0.02937978
ID3,0.5317038
RPL11,2.895139
ELOA,0.090071715
PITHD1,0.2002612
LYPLA2,0.2589195
GALE,0.09422502
HMGCL,0.203269
FUCA1,0.24030912
PNRC2,0.4889771
SRSF10,0.33407757
STPG1,0.034405615
NIPAL3,0.08610461
RCAN3,0.06101769
SRRM1,0.5420453
CLIC4,0.15751074
RUNX3,0.019719202
SYF2,0.51285464
RSRP1,0.5224269
TMEM50A,0.58770937
MACO1,0.08680498
LDLRAP1,0.05961477
MAN1C1,0.07531298
ENSG00000233478,0.0
SELENON,0.22091909
MTFR1L,0.2054791
PAQR7,0.109630086
STMN1,0.40403843
PAFAH2,0.068667784
PDIK1L,0.028250758
FAM110D,0.019045927
ZNF593OS,0.0
ZNF593,0.5226581
CEP85,0.02854983
SH3BGRL3,0.7411932
UBXN11,0.07193783
CD52,0.09937774
DHDDS,0.07298362
HMGN2,0.80478877
RPS6KA1,0.09185266
ARID1A,0.19930902
PIGV,0.04764088
ZDHHC18,0.04432331
SFN,0.0018904195
GPN2,0.054339733
GPATCH3,0.03232777
NUDC,0.4928335
KDF1,0.07406989
TRNP1,0.058230087
SLC9A1,0.056140136
WDTC1,0.093495585
TMEM222,0.16289473
SYTL1,0.024806364
MAP3K6,0.065402515
FCN3,0.06136057
CD164L2,0.0028930653
WASF2,0.3325964
AHDC1,0.07642651
FGR,0.03583476
IFI6,0.4014352
FAM76A,0.07813681
STX12,0.1575451
PPP1R8,0.05934942
THEMIS2,0.032828774
RPA2,0.13514762
XKR8,0.018758213
EYA3,0.19085957
PTAFR,0.016241139
DNAJC8,0.399656
ATP5IF1,1.6428919
ENSG00000270605,0.0076810396
MED18,0.007790478
PHACTR4,0.18505272
RCC1,0.013987291
TRNAU1AP,0.09255321
SNHG12,0.08526044
TAF12,0.116171196
RAB42,0.0018894286
GMEB1,0.035302233
YTHDF2,0.21001172
EPB41,0.10566983
TMEM200B,0.011946668
SRSF4,0.20542163
MECR,0.09579913
PTPRU,0.04693903
LAPTM5,0.08534884
SDC3,0.032241456
PUM1,0.23698775
NKAIN1,0.0
SNRNP40,0.17445813
ZCCHC17,0.119902164
FABP3,0.39402586
SERINC2,0.5282894
TINAGL1,0.42665675
PEF1,0.2662508
COL16A1,0.0065582627
PTP4A2,0.5410398
KHDRBS1,0.44596788
TMEM39B,0.052808993
KPNA6,0.1511174
