,18-312
LINC01409,0.18015598
NOC2L,0.09389173
PERM1,0.0009133303
ENSG00000272512,0.006339368
HES4,0.07491574
ISG15,0.039023317
AGRN,0.31461453
RNF223,0.0001736157
C1orf159,0.13255256
TNFRSF18,0.00087473006
TNFRSF4,0.010773634
SDF4,0.14993729
B3GALT6,0.024256723
UBE2J2,0.15767334
ACAP3,0.1171532
PUSL1,0.006617343
INTS11,0.14437364
CPTP,0.023864526
DVL1,0.04795463
MXRA8,0.046426922
AURKAIP1,0.13557303
CCNL2,0.62371755
MRPL20,0.14106661
VWA1,0.10876255
ATAD3A,0.057673156
SSU72,0.13603148
SSU72-AS1,0.0025049062
FNDC10,0.002581777
ENSG00000272106,0.010252008
MIB2,0.08597728
MMP23B,0.027100984
CDK11B,0.14175889
SLC35E2B,0.14456475
CDK11A,0.08154961
SLC35E2A,0.11954916
NADK,0.117840886
GNB1,0.8900147
GABRD,0.004442353
PRKCZ,0.21235871
FAAP20,0.118426286
SKI,0.3389959
RER1,0.19007443
PEX10,0.044046234
PANK4,0.016068252
HES5,0.00044885185
ENSG00000272449,0.008854537
TNFRSF14-AS1,0.020182569
TNFRSF14,0.19279784
PRXL2B,0.025452068
MMEL1,0.00063878065
PRDM16,0.26979312
ENSG00000272235,0.00049503037
ARHGEF16,0.057408463
MEGF6,0.049646754
TPRG1L,0.052729454
WRAP73,0.0418518
SMIM1,0.0069434624
LRRC47,0.05681343
CEP104,0.17336513
DFFB,0.03979943
C1orf174,0.03854541
NPHP4,0.12950721
KCNAB2,0.088553846
RPL22,0.12377546
ICMT,0.069615684
ACOT7,0.067588314
TNFRSF25,0.04704715
PLEKHG5,0.04447301
NOL9,0.13416165
ZBTB48,0.062972434
KLHL21,0.06758488
PHF13,0.0483416
THAP3,0.038239084
DNAJC11,0.37103802
CAMTA1,0.8858709
VAMP3,0.07612776
PER3,0.2891698
PARK7,0.11617433
ERRFI1,0.9510782
RERE,1.9164382
ENO1,0.515264
GPR157,0.03840536
MIR34AHG,0.24166843
H6PD,0.16605146
SPSB1,0.35889038
SLC25A33,0.13026871
PIK3CD,0.10649751
CLSTN1,0.33866993
CTNNBIP1,0.15807328
LZIC,0.09037185
NMNAT1,0.11287606
RBP7,0.0117258085
UBE4B,0.656716
KIF1B,0.8474971
PGD,0.07289124
CENPS,0.0
DFFA,0.12697615
PEX14,0.41823116
CASZ1,0.20149946
TARDBP,0.011753455
SRM,0.0424597
EXOSC10,0.1522962
MTOR,0.33462784
UBIAD1,0.027935259
FBXO2,0.010380504
FBXO44,0.04539728
FBXO6,0.010720206
MAD2L2,0.022467894
AGTRAP,0.08167119
C1orf167,0.004659033
MTHFR,0.13139774
CLCN6,0.12449155
KIAA2013,0.079524964
PLOD1,0.090402626
MFN2,0.120579734
MIIP,0.026132805
TNFRSF1B,0.13127802
VPS13D,0.9464285
DHRS3,0.3250957
PDPN,0.00679137
PRDM2,0.4337636
KAZN,1.5253191
TMEM51,0.40149543
FHAD1,0.06623251
EFHD2,0.043675505
CASP9,0.06423388
DNAJC16,0.22838476
DDI2,0.3115074
PLEKHM2,0.20228618
SLC25A34,0.008605282
FBLIM1,0.18588303
SPEN-AS1,0.030873556
SPEN,0.5270348
ZBTB17,0.06429262
SRARP,0.0029547692
HSPB7,0.007631603
EPHA2,0.06007344
CPLANE2,0.003781753
FBXO42,0.4843476
SZRD1,0.11261346
NECAP2,0.0809801
NBPF1,0.14585464
CROCC,0.2073807
ENSG00000238142,0.0044611185
MFAP2,0.0050251093
ATP13A2,0.055242043
SDHB,0.17435619
PADI2,0.010211541
PADI4,0.0026367845
RCC2,0.13629346
ARHGEF10L,0.4567401
IGSF21,0.042209208
ALDH4A1,0.0
IFFO2,0.051047336
UBR4,0.5762445
EMC1,0.066215046
MRTO4,0.049615066
AKR7A3,0.021743335
AKR7A2,0.048447296
SLC66A1,0.025535563
CAPZB,0.7147697
MICOS10,0.0
NBL1,0.056108017
TMCO4,0.31131914
OTUD3,0.09589587
PLA2G5,0.0015768448
CAMK2N1,0.15903237
MUL1,0.0319575
CDA,0.057876028
PINK1,0.12746017
PINK1-AS,0.016866622
DDOST,0.07585842
KIF17,0.019506842
HP1BP3,0.54796326
EIF4G3,1.4217484
ECE1,0.3861678
NBPF3,0.055542536
ALPL,0.026114302
USP48,0.5504246
HSPG2,0.53551334
CDC42,0.3366936
WNT4,0.0022300207
ZBTB40,0.12788099
C1QA,0.020990768
C1QC,0.004934024
