,29-10016
LINC01409,0.014976837
NOC2L,0.08842472
PERM1,0.0023986783
ENSG00000272512,0.0038398532
HES4,0.15168352
ISG15,0.14751789
AGRN,0.3359164
RNF223,0.0005829511
C1orf159,0.020243892
TNFRSF18,0.011479537
TNFRSF4,0.020616325
SDF4,0.24737269
B3GALT6,0.051473796
UBE2J2,0.13406394
ACAP3,0.052044116
PUSL1,0.03827606
INTS11,0.13718502
CPTP,0.07300572
DVL1,0.06212976
MXRA8,0.024807945
AURKAIP1,0.9155589
CCNL2,0.18614759
MRPL20,0.7143155
VWA1,0.11396787
ATAD3A,0.04865578
SSU72,0.4124486
SSU72-AS1,0.003292325
FNDC10,0.026324859
ENSG00000272106,0.02412106
MIB2,0.12092944
MMP23B,0.006280227
CDK11B,0.07010375
SLC35E2B,0.03090555
CDK11A,0.019726207
SLC35E2A,0.026024997
NADK,0.07216819
GNB1,0.3181848
GABRD,0.00041946679
PRKCZ,0.07396493
FAAP20,0.4196115
SKI,0.0772507
RER1,0.483097
PEX10,0.062354084
PANK4,0.017749803
HES5,0.0
ENSG00000272449,0.04229742
TNFRSF14-AS1,0.018092472
TNFRSF14,0.14908409
PRXL2B,0.047494505
MMEL1,0.010610302
PRDM16,0.06358457
ENSG00000272235,0.0
ARHGEF16,0.048294205
MEGF6,0.011652526
TPRG1L,0.13452978
WRAP73,0.040998437
SMIM1,0.18121721
LRRC47,0.08837426
CEP104,0.08195196
DFFB,0.009588177
C1orf174,0.062289774
NPHP4,0.012336483
KCNAB2,0.054134566
RPL22,1.690705
ICMT,0.12665716
ACOT7,0.18654846
TNFRSF25,0.026544
PLEKHG5,0.009433368
NOL9,0.050590064
ZBTB48,0.044587694
KLHL21,0.05523207
PHF13,0.01990871
THAP3,0.06992329
DNAJC11,0.10872926
CAMTA1,0.69376904
VAMP3,0.1744337
PER3,0.070732854
PARK7,0.7534715
ERRFI1,0.045206953
RERE,0.2706772
ENO1,1.1418681
GPR157,0.013979968
MIR34AHG,0.004521465
H6PD,0.053589277
SPSB1,0.0137873655
SLC25A33,0.07015242
PIK3CD,0.028706353
CLSTN1,0.30557802
CTNNBIP1,0.055560876
LZIC,0.09839727
NMNAT1,0.054683533
RBP7,0.06576503
UBE4B,0.064333335
KIF1B,0.10960757
PGD,0.12929618
CENPS,0.035946485
DFFA,0.10652203
PEX14,0.035410825
CASZ1,0.09016779
TARDBP,0.16165204
SRM,0.14682588
EXOSC10,0.060739703
MTOR,0.042026356
UBIAD1,0.03302273
FBXO2,0.09323639
FBXO44,0.08662652
FBXO6,0.024315676
MAD2L2,0.11722026
AGTRAP,0.18919833
C1orf167,0.008506974
MTHFR,0.064746864
CLCN6,0.03203631
KIAA2013,0.1484487
PLOD1,0.06606282
MFN2,0.12772037
MIIP,0.045076575
TNFRSF1B,0.03929218
VPS13D,0.10770822
DHRS3,0.1542278
PDPN,0.003431394
PRDM2,0.09339592
KAZN,0.1027508
TMEM51,0.11855203
FHAD1,0.0010489522
EFHD2,0.135395
CASP9,0.040101815
DNAJC16,0.10505257
DDI2,0.07904885
PLEKHM2,0.067497596
SLC25A34,0.013900179
FBLIM1,0.014097782
SPEN-AS1,0.030240454
SPEN,0.14418548
ZBTB17,0.035245102
SRARP,0.049318474
HSPB7,0.024983365
EPHA2,0.032961957
CPLANE2,0.0079702595
FBXO42,0.030713372
SZRD1,0.16077352
NECAP2,0.091869615
NBPF1,0.046102125
CROCC,0.020438801
ENSG00000238142,0.0414478
MFAP2,0.008172498
ATP13A2,0.04103614
SDHB,0.33090335
PADI2,0.02513661
PADI4,0.0
RCC2,0.07334085
ARHGEF10L,0.12655343
IGSF21,0.0014752486
ALDH4A1,0.46281102
IFFO2,0.013170651
UBR4,0.28134963
EMC1,0.068535864
MRTO4,0.08482718
AKR7A3,0.25377858
AKR7A2,0.44473562
SLC66A1,0.03262822
CAPZB,0.39831147
MICOS10,1.1542125
NBL1,0.12331288
TMCO4,0.054581996
OTUD3,0.034286957
PLA2G5,0.0
CAMK2N1,0.77860737
MUL1,0.06636587
CDA,0.13380946
PINK1,0.24053158
PINK1-AS,0.0024796862
DDOST,0.2070439
KIF17,0.008004983
HP1BP3,0.43305996
EIF4G3,0.097576626
ECE1,0.10509698
NBPF3,0.0047310432
ALPL,0.045350637
USP48,0.1165224
HSPG2,0.1887334
CDC42,0.9694601
WNT4,0.0050854
ZBTB40,0.026251396
C1QA,0.075945035
C1QC,0.047932215
C1QB,0.05551713
EPHB2,0.017464759
KDM1A,0.09271377
LUZP1,0.08076007
HNRNPR,0.3196967
ZNF436,0.017814811
TCEA3,0.2574868
ASAP3,0.044734158
ID3,0.18420066
RPL11,2.6542408
ELOA,0.059955593
PITHD1,0.11273598
LYPLA2,0.20112927
GALE,0.08387225
HMGCL,0.27108157
FUCA1,0.1764217
PNRC2,0.28044274
SRSF10,0.31992364
STPG1,0.03151009
NIPAL3,0.057124622
RCAN3,0.05982484
SRRM1,0.45388162
CLIC4,0.38423926
RUNX3,0.013497026
SYF2,0.4606147
RSRP1,0.3196746
TMEM50A,0.53849524
MACO1,0.09278111
LDLRAP1,0.047725
MAN1C1,0.11573883
ENSG00000233478,0.0006649751
SELENON,0.17147852
MTFR1L,0.2208737
PAQR7,0.16557498
STMN1,0.35334924
PAFAH2,0.05377117
PDIK1L,0.03819942
FAM110D,0.006859776
ZNF593OS,0.0005338391
ZNF593,0.3375134
CEP85,0.010101498
SH3BGRL3,0.7058183
UBXN11,0.060991302
CD52,0.15134133
DHDDS,0.09107767
HMGN2,0.6860914
RPS6KA1,0.06111047
ARID1A,0.20475858
PIGV,0.030241383
ZDHHC18,0.021095054
SFN,0.003933606
GPN2,0.037676793
GPATCH3,0.02691117
NUDC,0.3495035
KDF1,0.03664853
TRNP1,0.05037879
SLC9A1,0.035535134
WDTC1,0.07038581
TMEM222,0.10882197
SYTL1,0.02588884
MAP3K6,0.029522838
FCN3,0.017364103
CD164L2,0.0027267106
WASF2,0.21985286
AHDC1,0.06804007
FGR,0.023457209
IFI6,0.1701169
FAM76A,0.07706391
STX12,0.14370158
PPP1R8,0.059474237
THEMIS2,0.02133029
RPA2,0.10650078
XKR8,0.019985713
EYA3,0.15829247
PTAFR,0.015007307
DNAJC8,0.30938265
ATP5IF1,1.5288136
ENSG00000270605,0.025918396
MED18,0.015451508
PHACTR4,0.16374625
RCC1,0.012557324
TRNAU1AP,0.062206775
SNHG12,0.057347182
TAF12,0.08769402
RAB42,0.0027939167
GMEB1,0.030469267
YTHDF2,0.21420053
EPB41,0.078122824
TMEM200B,0.007729865
SRSF4,0.16180833
MECR,0.061746944
PTPRU,0.017744876
LAPTM5,0.09369061
SDC3,0.062149595
PUM1,0.2718469
NKAIN1,0.00071436225
SNRNP40,0.119584106
ZCCHC17,0.09152805
FABP3,0.3759283
SERINC2,0.35525873
TINAGL1,0.2191657
PEF1,0.13502784
COL16A1,0.015381437
PTP4A2,0.46503982
KHDRBS1,0.3974949
TMEM39B,0.02328504
KPNA6,0.12930226
TXLNA,0.0916416
CCDC28B,0.041175988
IQCC,0.009780417
TMEM234,0.05572537
EIF3I,0.2501225
FAM167B,0.026178814
LCK,0.027913874
HDAC1,0.15429175
MARCKSL1,0.11677029
FAM229A,0.08281168
BSDC1,0.08100253
ZBTB8A,0.011112689
ZBTB8OS,0.16909567
RBBP4,0.3742236
SYNC,0.04568779
NHSL3,0.15561646
YARS1,0.05131547
S100PBP,0.05911482
TMEM54,0.103869274
