,18-162
MED18,0.013745292
PHACTR4,0.83203614
RCC1,0.099576525
TRNAU1AP,0.14589694
SNHG12,0.039805423
TAF12,0.08723802
RAB42,0.0015433745
GMEB1,0.11658903
YTHDF2,0.2746888
EPB41,0.56222266
TMEM200B,0.01265156
SRSF4,0.9060997
MECR,0.1306973
PTPRU,0.043029662
LAPTM5,0.039277595
SDC3,0.049072646
PUM1,1.0359547
NKAIN1,0.004491858
SNRNP40,0.17195004
ZCCHC17,0.21858811
FABP3,0.033014987
SERINC2,0.30062622
TINAGL1,0.2696233
PEF1,0.122804746
COL16A1,0.077494696
PTP4A2,0.123293504
KHDRBS1,0.4957627
TMEM39B,0.07368894
KPNA6,0.37743095
TXLNA,0.14860171
CCDC28B,0.0113809295
IQCC,0.010172708
TMEM234,0.061309226
EIF3I,0.0669598
FAM167B,0.048447136
LCK,0.011009761
HDAC1,0.18756227
MARCKSL1,0.06795596
FAM229A,0.025779482
BSDC1,0.28901204
ZBTB8A,0.043483444
ZBTB8OS,0.29018152
RBBP4,0.31231403
SYNC,0.035740253
NHSL3,0.25029224
YARS1,0.14773224
S100PBP,0.344799
TMEM54,0.044514984
RNF19B,0.102031544
AK2,0.28197315
ZNF362,0.2003544
PHC2,0.5864199
SMIM12,0.119109884
GJA4,0.01794966
ENSG00000284773,0.05013047
ZMYM6,0.0020701364
ZMYM1,0.18164267
SFPQ,0.88091767
ZMYM4,0.9451711
KIAA0319L,0.73020333
TFAP2E-AS1,0.0032282937
PSMB2,0.12506858
C1orf216,0.009483257
CLSPN,0.0077846227
AGO4,0.32673845
AGO1,0.12695941
AGO3,0.78490657
ADPRS,0.06505758
COL8A2,0.003782922
TRAPPC3,0.080937386
MAP7D1,0.08759307
THRAP3,0.55375713
SH3D21,0.045412477
EVA1B,0.088972814
STK40,0.17359206
LSM10,0.023674315
OSCP1,0.05995751
MRPS15,0.040858943
CSF3R,0.01495634
LITATS1,0.050879985
ZC3H12A,0.02261234
MEAF6,0.13899289
SNIP1,0.076297544
DNALI1,0.054797523
GNL2,0.07940685
AIRIM,0.034806326
CDCA8,0.0065338775
YRDC,0.020522363
C1orf122,0.06029229
MTF1,0.13536063
INPP5B,0.2900581
SF3A3,0.1249384
FHL3,0.012741484
UTP11,0.029407728
RRAGC,0.075481564
MYCBP,0.019385543
RHBDL2,0.022511818
AKIRIN1,0.23086478
NDUFS5,0.11776202
MACF1,1.8300763
PABPC4,0.1563591
HEYL,0.028169697
PPIE,0.11596015
TRIT1,0.17867582
MFSD2A,0.008255805
CAP1,0.26454505
PPT1,0.07400196
RLF,0.46012345
ZMPSTE24-DT,0.022448946
ZMPSTE24,0.22016035
COL9A2,0.058481805
SMAP2,0.21096021
ZNF684,0.11787508
RIMS3,0.011085263
NFYC,0.5377177
CITED4,0.101569586
CTPS1,0.14900763
SCMH1,1.1312442
HIVEP3,0.55452114
FOXJ3,0.71007085
PPCS,0.089364864
CCDC30,0.6488105
PPIH,0.098939896
YBX1,0.2562388
P3H1,0.052646164
C1orf50,0.00017002456
SVBP,0.03983393
ERMAP,0.119228624
ZNF691,0.029781576
SLC2A1,0.053406
CFAP144,0.019369207
EBNA1BP2,0.19837469
TMEM125,0.03703521
C1orf210,0.01592291
TIE1,0.117440514
ELOVL1,0.05868328
MED8,0.037559994
SZT2,0.219628
HYI,0.04563536
PTPRF,0.3316974
KDM4A,0.0
ST3GAL3,0.009934741
ARTN,0.004078072
IPO13,0.053826105
DPH2,0.016607547
ATP6V0B,0.26511037
B4GALT2,0.063210875
CCDC24,0.10005882
SLC6A9,0.017378563
DMAP1,0.10623783
ERI3,0.48206085
RNF220,0.1104661
TMEM53,0.06673815
KIF2C,0.00921628
RPS8,0.23747297
PLK3,0.030556427
BTBD19,0.035100903
EIF2B3,0.25825647
HECTD3,0.049165066
UROD,0.045800485
MUTYH,0.052723393
TOE1,0.027761566
PRDX1,0.20047976
AKR1A1,0.13693966
NASP,0.3297486
CCDC17,0.007819164
GPBP1L1,0.6792417
TMEM69,0.05239051
IPP,0.20106544
MAST2,0.23774064
PIK3R3,0.05526298
TSPAN1,0.17340352
POMGNT1,0.117872864
LURAP1,0.12927301
LRRC41,0.18380304
UQCRH,0.24018234
NSUN4,0.14302759
FAAH,0.09603358
MKNK1,0.22150618
MOB3C,0.0
ATPAF1,0.19338624
EFCAB14,0.32203302
CYP4B1,0.012653845
TAL1,0.036144607
CMPK1,0.21888115
TRABD2B,0.8534684
SPATA6,0.5873859
ELAVL4,0.0018501173
FAF1,1.3765609
CDKN2C,0.0053207316
RNF11,0.2620988
EPS15,0.8695068
OSBPL9,0.7621842
NRDC,0.66749287
TXNDC12,0.116814524
KTI12,0.0
BTF3L4,0.18858711
ZFYVE9,0.5147975
CC2D1B,0.12304844
PRPF38A,0.1078127
TUT4,0.82688886
GPX7,0.029219914
SHISAL2A,0.01601322
COA7,0.020933533
ZYG11B,0.32546255
ECHDC2,0.7485507
SCP2,0.4491671
PODN,0.014916758
CPT2,0.08306652
CZIB,0.054175958
MAGOH,0.07501679
LRP8,0.021203822
NDC1,0.1137351
YIPF1,0.08943558
IFT25,0.14243576
LRRC42,0.052688163
TMEM59,0.31604934
TCEANC2,0.089560084
CYB5RL,0.0
MRPL37,0.07202485
SSBP3,0.63655883
ACOT11,0.44212043
TTC4,0.002565021
DHCR24,0.08691587
TMEM61,0.041158672
USP24,0.89499635
PLPP3,0.4266641
OMA1,0.00012980319
TACSTD2,0.19203298
MYSM1,0.40083268
JUN,0.2167555
FGGY,0.78101116
NFIA,1.4583522
NFIA-AS2,0.002711092
TM2D1,0.30382633
PATJ,1.7429928
USP1,0.08602177
DOCK7,0.5982073
ANGPTL3,0.012296052
ATG4C,0.20858446
ALG6,0.108624004
ITGB3BP,0.24818337
EFCAB7,0.16070224
PGM1,0.19219656
CACHD1,0.3548399
JAK1,0.8571736
AK4,0.26022613
DNAJC6,0.20423216
LEPROT,0.00013412378
LEPR,0.29004145
PDE4B,0.1107901
SGIP1,0.745167
MIER1,0.50816834
SERBP1,0.32745147
GADD45A,0.18952458
GNG12,0.71146137
WLS,0.62373626
LRRC40,0.19007155
SRSF11,0.9632453
ANKRD13C,0.39530703
ZRANB2,0.8473162
FPGT,0.0004039562
FPGT-TNNI3K,0.0019226873
CRYZ,0.36450726
TYW3,0.14332011
ACADM,0.30659685
RABGGTB,0.07375513
ST6GALNAC3,0.49831775
PIGK,0.208895
ZZZ3,0.83982825
USP33,0.60520464
MIGA1,0.47408068
NEXN,0.24075443
FUBP1,0.5324365
DNAJB4,0.0077978615
GIPC2,0.20928769
ENSG00000273338,0.0018250188
IFI44L,0.1518933
IFI44,0.14885059
ADGRL4,0.2115164
ADGRL2,0.8257485
TTLL7,0.16386044
PRKACB,0.45006806
RPF1,0.059804033
GNG5,0.12452137
SPATA1,0.08418931
CTBS,0.18388267
SSX2IP,0.18901671
C1orf52,0.12430329
BCL10,0.06455701
DDAH1,0.81305677
CCN1,0.19376841
ZNHIT6,0.2893851
ODF2L,0.5387017
SH3GLB1,0.35096627
SELENOF,0.314664
HS2ST1,0.30136648
LMO4,0.19325277
PKN2,0.936137
GTF2B,0.14363615
KYAT3,0.21852766
RBMXL1,0.0
GBP3,0.059547383
GBP1,0.043399453
GBP2,0.07316744
GBP4,0.06880797
GBP5,0.0026846793
LRRC8B,0.2566983
LRRC8C-DT,0.034969985
LRRC8C,0.0
LRRC8D,0.04102985
ZNF326,0.30888614
ZNF644,0.83819497
TGFBR3,0.51731616
BTBD8,0.14867522
GLMN,0.21174118
RPAP2,0.568114
EVI5,0.86894387
RPL5,0.3703892
DIPK1A,0.15826257
MTF2,0.43316573
TMED5,0.19498548
CCDC18,0.09747312
DR1,0.1299603
FNBP1L,1.000244
BCAR3,0.44750813
DNTTIP2,0.059317335
GCLM,0.14130901
ARHGAP29,1.1309624
ABCD3,0.6255878
F3,0.04938938
CNN3,0.55774003
ALG14,0.2005105
TLCD4,0.0011078403
PTBP2,0.86376286
DPYD,0.9892233
SNX7,0.18667585
PALMD,0.122042954
AGL,0.29831895
SLC35A3,0.00035771367
MFSD14A,0.003863257
TRMT13,0.24139933
DBT,0.23336987
RTCA-AS1,0.010212778
RTCA,0.15933518
CDC14A,0.38440013
VCAM1,0.15611969
EXTL2,0.1652796
SLC30A7,0.3534599
DPH5,0.13186283
DPH5-DT,0.17005783
S1PR1,0.049481735
RNPC3,0.52439153
PRMT6,0.0213825
VAV3,0.996046
SLC25A24,0.27065754
EEIG2,0.09896048
HENMT1,0.010046789
PRPF38B,0.37079352
STXBP3,0.3432598
GPSM2,0.040521618
CLCC1,0.0
WDR47,0.09652603
TAF13,0.05967942
TMEM167B,0.07148722
SARS1,0.15370628
CELSR2,0.09293513
PSRC1,0.004085999
SORT1,0.48205173
PSMA5,0.17552103
CYB561D1,0.037178934
AMIGO1,0.015473002
GNAI3,0.2965419
AMPD2,0.0795048
GSTM4,0.058806375
GSTM1,0.0
GSTM5,0.00425157
GSTM3,0.14345402
CSF1,0.05854528
AHCYL1,0.47393003
STRIP1,0.13316801
KCNC4,0.2035935
RBM15,0.12993132
SLC16A4,0.25687632
LAMTOR5,0.13784197
CD53,0.06076733
LRIF1,0.08788086
DRAM2,0.17506401
CEPT1,0.28279698
ENSG00000273221,0.008493796
DENND2D,0.07979849
WDR77,0.06286875
ATP5PB,0.22247298
C1orf162,0.021210805
TMIGD3,0.008977685
ADORA3,0.0
RAP1A,0.6723469
DDX20,0.04305402
CTTNBP2NL,0.38567036
WNT2B,0.14189073
ST7L,0.30377975
CAPZA1,0.43276387
MOV10,0.12657246
RHOC,0.14287502
PPM1J,0.0006522607
SLC16A1,0.0179165
SLC16A1-AS1,0.14047855
LRIG2,0.27642876
MAGI3,1.0715655
PHTF1,0.19851108
RSBN1,0.24483636
PTPN22,0.017546918
AP4B1,0.050919913
DCLRE1B,0.0063506844
HIPK1-AS1,0.006722442
HIPK1,0.23654002
OLFML3,0.012336229
TRIM33,0.6837542
BCAS2,0.06898026
DENND2C,0.07359423
NRAS,0.069172196
CSDE1,0.55120647
SIKE1,0.06421448
TSPAN2,0.06146697
NGF,0.036388703
VANGL1,0.07948654
CASQ2,0.009530979
SLC22A15,0.32710052
ATP1A1,1.5352796
CD58,0.27718237
CD2,0.009796378
PTGFRN,0.11796703
TTF2,0.105597004
TRIM45,0.028559208
VTCN1,0.15232554
MAN1A2,0.7273714
TENT5C,0.058276046
GDAP2,0.29420158
WDR3,0.082982816
WARS2,0.23753902
PHGDH,0.06597886
HMGCS2,0.14039125
NOTCH2,0.3622344
SEC22B,0.24946961
LINC00623,0.58227336
FCGR1BP,0.0022744567
SRGAP2C,0.21103457
LINC02591,0.10043428
LINC02802,0.0058821705
NBPF15,0.19298196
SRGAP2B,0.244643
ENSG00000276216,0.0
GPR89A,0.09472078
PDZK1,0.42219186
CD160,0.0032431206
RNF115,0.84515953
POLR3C,0.12013735
NUDT17,0.009988163
PIAS3,0.054257438
ITGA10,0.03247897
PEX11B,0.069464765
RBM8A,0.09229928
LIX1L,0.06079278
POLR3GL,0.019930001
TXNIP,1.2423112
NOTCH2NLA,0.00071592577
NBPF12,0.22612928
PRKAB2,0.115569405
ENSG00000237188,0.27529648
FMO5,0.09718337
CHD1L,0.21039708
BCL9,0.23956054
ACP6,0.2888829
GJA5,0.05482249
NBPF11,0.23211914
NBPF14,0.13130236
PDE4DIP,0.70019025
NBPF9,0.15450978
ENSG00000274265,0.8645438
NBPF19,0.21573354
FCGR1A,0.0030786952
H2BC18,0.03771496
H2AC19,0.0012422638
H2AC20,0.008783396
BOLA1,0.015627138
SF3B4,0.04248447
MTMR11,0.025901897
OTUD7B,0.36838543
VPS45,0.40095606
PLEKHO1,0.050968364
ANP32E,0.12443262
APH1A,0.1146904
C1orf54,0.054943867
MRPS21,0.13881268
PRPF3,0.2780281
RPRD2,0.72798115
TARS2,0.07846185
ECM1,0.014061949
ADAMTSL4-AS2,0.026766025
MCL1,0.30108193
ENSA,0.48025504
GOLPH3L,0.19986138
CTSS,0.04798979
CTSK,0.025811022
ARNT,0.2923612
SETDB1,0.23732954
CERS2,0.10931069
ANXA9,0.01896106
MINDY1,0.0771072
C1orf56,0.02819912
CDC42SE1,0.17603508
MLLT11,0.008310324
GABPB2,0.2808454
TNFAIP8L2,0.0
SCNM1,0.050613992
LYSMD1,0.023144927
VPS72,0.06314372
PIP5K1A,0.6362012
PSMD4,0.14365438
ZNF687,0.037657723
PI4KB,0.24486646
RFX5,0.032025702
SELENBP1,0.07781007
PSMB4,0.08734171
POGZ,1.0958952
CGN,0.15670611
TUFT1,0.16365792
SNX27,0.27705237
MRPL9,0.03582346
OAZ3,0.0020944863
TDRKH,0.029245626
TDRKH-AS1,0.0042610886
THEM4,0.27188626
S100A10,0.26812488
S100A11,0.1880104
TCHH,0.000389619
S100A9,0.0024115436
S100A12,0.00044387014
S100A8,0.0002129615
S100A7,0.0
S100A6,0.5873933
S100A5,0.0012668001
S100A4,0.0894995
S100A16,0.106102146
S100A14,0.02829423
S100A13,0.114602886
CHTOP,0.20371643
SNAPIN,0.021421976
ILF2,0.10641314
NPR1,0.11922828
INTS3,0.34718525
SLC27A3,0.037745945
GATAD2B,0.7120872
DENND4B,0.13621227
CRTC2,0.052217815
SLC39A1,0.09667027
CREB3L4,0.01884202
JTB,0.10095353
JTB-DT,0.0021014023
RAB13,0.08695322
RPS27,0.07077138
TPM3,0.26670584
C1orf43,0.21319132
UBAP2L,0.29936606
HAX1,0.04998533
ATP8B2,0.0666638
IL6R,0.22843406
SHE,0.06815355
UBE2Q1,0.08836369
ADAR,0.45631245
KCNN3,0.15503955
PMVK,0.10592806
PBXIP1,0.116236195
PYGO2,0.051211618
SHC1,0.020414067
CKS1B,0.008031329
FLAD1,0.05458852
ZBTB7B,0.061375346
ADAM15,0.09124777
EFNA4,0.0
EFNA3,0.0011703605
EFNA1,0.07073934
SLC50A1,0.043893438
DPM3,0.03950888
KRTCAP2,0.0043088472
MUC1,0.03665981
THBS3,0.081641614
MTX1,0.030946838
GBA1,0.07136066
ENTREP3,0.036879882
SCAMP3,0.11513152
CLK2,0.1265555
FDPS,0.18771821
RUSC1,0.04799689
ASH1L,1.303796
MSTO1,0.040718447
