,Sample1158-EO3
LINC01409,0.021577774
NOC2L,0.13178839
PERM1,0.0038249055
ENSG00000272512,0.021943271
HES4,0.5223052
ISG15,0.19287242
AGRN,0.37833336
RNF223,0.0023319968
C1orf159,0.033159506
TNFRSF18,0.004405444
TNFRSF4,0.022578653
SDF4,0.31220463
B3GALT6,0.08795043
UBE2J2,0.16803703
ACAP3,0.061406758
PUSL1,0.05458331
INTS11,0.2051405
CPTP,0.14927283
DVL1,0.09615954
MXRA8,0.05381796
AURKAIP1,0.9926456
CCNL2,0.27443138
MRPL20,0.8774577
VWA1,0.20575313
ATAD3A,0.04628355
SSU72,0.6248956
SSU72-AS1,0.002614793
FNDC10,0.036028616
ENSG00000272106,0.05683057
MIB2,0.16847436
MMP23B,0.006752864
CDK11B,0.12001623
SLC35E2B,0.06181941
CDK11A,0.053357884
SLC35E2A,0.021818774
NADK,0.08476036
GNB1,0.46244037
GABRD,0.0
PRKCZ,0.06546181
FAAP20,0.38284338
SKI,0.14271726
RER1,0.58255565
PEX10,0.115545936
PANK4,0.043954004
HES5,0.0
ENSG00000272449,0.06281651
TNFRSF14-AS1,0.02019962
TNFRSF14,0.18534438
PRXL2B,0.056095056
MMEL1,0.006286192
PRDM16,0.101501085
ENSG00000272235,0.0
ARHGEF16,0.057995472
MEGF6,0.009166617
TPRG1L,0.14549369
WRAP73,0.05627551
SMIM1,0.12732863
LRRC47,0.11092065
CEP104,0.10145166
DFFB,0.009230306
C1orf174,0.084756844
NPHP4,0.029714968
KCNAB2,0.016350918
RPL22,1.932972
ICMT,0.13816158
ACOT7,0.10235713
TNFRSF25,0.01683915
PLEKHG5,0.01932617
NOL9,0.065910086
ZBTB48,0.06682887
KLHL21,0.08775848
PHF13,0.040250007
THAP3,0.06710676
DNAJC11,0.17298394
CAMTA1,0.7156993
VAMP3,0.27345407
PER3,0.112780064
PARK7,1.1292092
ERRFI1,0.2855488
RERE,0.34870514
ENO1,1.2550623
GPR157,0.018806512
MIR34AHG,0.0062779714
H6PD,0.07939458
SPSB1,0.033122454
SLC25A33,0.28531745
PIK3CD,0.019776955
CLSTN1,0.36898056
CTNNBIP1,0.10329557
LZIC,0.1421235
NMNAT1,0.04623358
RBP7,0.14227615
UBE4B,0.095395476
KIF1B,0.14460163
PGD,0.13371305
CENPS,0.046233933
DFFA,0.12923849
PEX14,0.055909626
CASZ1,0.07203155
TARDBP,0.19873546
SRM,0.17841278
EXOSC10,0.0984098
MTOR,0.054929864
UBIAD1,0.049981736
FBXO2,0.13583758
FBXO44,0.10354542
FBXO6,0.034070257
MAD2L2,0.11617401
AGTRAP,0.19137217
C1orf167,0.012962937
MTHFR,0.0493461
CLCN6,0.041344184
KIAA2013,0.1533531
PLOD1,0.049166616
MFN2,0.16265967
MIIP,0.047756813
TNFRSF1B,0.038572382
VPS13D,0.17350149
DHRS3,0.4659695
PDPN,0.0034039598
PRDM2,0.11092738
KAZN,0.1390557
TMEM51,0.20228787
FHAD1,0.0036215363
EFHD2,0.1027545
CASP9,0.08332289
DNAJC16,0.06612053
DDI2,0.0568839
PLEKHM2,0.086496994
SLC25A34,0.010635683
FBLIM1,0.013806081
SPEN-AS1,0.044959884
SPEN,0.2075774
ZBTB17,0.054705486
SRARP,0.04135429
HSPB7,0.054157443
EPHA2,0.090288505
CPLANE2,0.0071439557
FBXO42,0.053258676
SZRD1,0.24764922
NECAP2,0.14070435
NBPF1,0.031487852
CROCC,0.03232242
ENSG00000238142,0.08461151
MFAP2,0.012201423
ATP13A2,0.0588354
SDHB,0.38844073
PADI2,0.040617388
PADI4,0.0
RCC2,0.11041757
ARHGEF10L,0.113792494
IGSF21,0.003026761
ALDH4A1,0.2703464
IFFO2,0.016196271
UBR4,0.23747876
EMC1,0.079868615
MRTO4,0.09905637
AKR7A3,0.18551779
AKR7A2,0.50217193
SLC66A1,0.044775054
CAPZB,0.58289415
MICOS10,1.2992733
NBL1,0.18300669
TMCO4,0.05864379
OTUD3,0.03482059
PLA2G5,0.0
CAMK2N1,0.7613173
MUL1,0.12669401
CDA,0.26368558
PINK1,0.41909924
PINK1-AS,0.004539044
DDOST,0.30261168
KIF17,0.01988594
HP1BP3,0.5098219
EIF4G3,0.145674
ECE1,0.2515165
NBPF3,0.017438278
ALPL,0.03228778
USP48,0.110168606
HSPG2,0.36222985
CDC42,0.8951416
WNT4,0.007752127
ZBTB40,0.047035556
C1QA,0.034102075
C1QC,0.025043324
C1QB,0.030924836
EPHB2,0.007917619
KDM1A,0.1123742
LUZP1,0.16027483
HNRNPR,0.3390847
ZNF436,0.016529212
TCEA3,0.36193284
ASAP3,0.051379938
ID3,0.59873
RPL11,2.8263218
ELOA,0.086989485
PITHD1,0.18340027
LYPLA2,0.21761663
GALE,0.08557296
HMGCL,0.21901093
FUCA1,0.24150874
PNRC2,0.45884684
SRSF10,0.40619394
STPG1,0.048506908
NIPAL3,0.07802096
RCAN3,0.046606
SRRM1,0.52863073
CLIC4,0.31957865
RUNX3,0.008435585
SYF2,0.51729405
RSRP1,0.47146487
TMEM50A,0.5712883
MACO1,0.098423965
LDLRAP1,0.0673193
MAN1C1,0.084818624
ENSG00000233478,0.0
SELENON,0.22029075
MTFR1L,0.2199785
PAQR7,0.11144051
STMN1,0.47187653
PAFAH2,0.04403806
PDIK1L,0.032696802
FAM110D,0.052420262
ZNF593OS,0.0
ZNF593,0.42759824
CEP85,0.026871044
SH3BGRL3,0.7338536
UBXN11,0.05847033
CD52,0.03040537
DHDDS,0.08122361
HMGN2,0.76881164
RPS6KA1,0.0677261
ARID1A,0.24973504
PIGV,0.04714566
ZDHHC18,0.02554652
SFN,0.0078551285
GPN2,0.06534387
GPATCH3,0.032315012
NUDC,0.5386197
KDF1,0.07502138
TRNP1,0.09585591
SLC9A1,0.07296145
WDTC1,0.08148745
TMEM222,0.17874813
SYTL1,0.020286506
MAP3K6,0.12891473
FCN3,0.2573049
CD164L2,0.0027862042
WASF2,0.42974216
AHDC1,0.119814545
FGR,0.020066516
IFI6,0.24401614
FAM76A,0.1016324
STX12,0.20185162
PPP1R8,0.08294816
THEMIS2,0.0107659
RPA2,0.16358909
XKR8,0.019676074
EYA3,0.13633662
PTAFR,0.013967165
DNAJC8,0.45054477
ATP5IF1,1.565794
ENSG00000270605,0.012403408
MED18,0.01981715
PHACTR4,0.20595826
RCC1,0.014372198
TRNAU1AP,0.09315908
SNHG12,0.065850675
TAF12,0.13120109
RAB42,0.0029026181
GMEB1,0.049388964
YTHDF2,0.23348247
EPB41,0.08601686
TMEM200B,0.021511588
SRSF4,0.27464277
MECR,0.08600678
PTPRU,0.039974354
LAPTM5,0.051393736
SDC3,0.04677239
PUM1,0.22287989
NKAIN1,0.0
SNRNP40,0.16676657
ZCCHC17,0.1607404
FABP3,0.4291988
SERINC2,0.46550912
TINAGL1,0.4934514
PEF1,0.28171203
COL16A1,0.0098326625
PTP4A2,0.5258437
KHDRBS1,0.49628744
TMEM39B,0.041373778
KPNA6,0.16995326
TXLNA,0.10694458
CCDC28B,0.0807755
IQCC,0.010974179
TMEM234,0.06957143
EIF3I,0.47211468
FAM167B,0.17458966
LCK,0.012253871
HDAC1,0.26041025
MARCKSL1,0.2388905
FAM229A,0.09680409
BSDC1,0.12627879
ZBTB8A,0.050870646
ZBTB8OS,0.21813962
RBBP4,0.33137238
SYNC,0.034211393
NHSL3,0.19765513
YARS1,0.05218658
S100PBP,0.06490303
TMEM54,0.097581945
RNF19B,0.06881642
AK2,0.4784611
ZNF362,0.077898525
PHC2,0.34942698
SMIM12,0.28134325
GJA4,0.14666857
ENSG00000284773,0.010634383
ZMYM6,0.06630288
ZMYM1,0.04920323
SFPQ,0.7207096
ZMYM4,0.14127932
KIAA0319L,0.14350262
TFAP2E-AS1,0.0
PSMB2,0.4688295
C1orf216,0.008159635
CLSPN,0.0
AGO4,0.04029804
AGO1,0.062645085
AGO3,0.122353755
ADPRS,0.13223805
COL8A2,0.0012855926
TRAPPC3,0.20867248
MAP7D1,0.12514691
THRAP3,0.31092954
SH3D21,0.025448937
EVA1B,0.3850055
STK40,0.09755255
LSM10,0.22399688
OSCP1,0.049611174
MRPS15,0.42994133
CSF3R,0.0
LITATS1,0.02955576
ZC3H12A,0.047481325
MEAF6,0.3802821
SNIP1,0.08180724
DNALI1,0.087196305
GNL2,0.06554675
AIRIM,0.03273225
CDCA8,0.0
YRDC,0.10691573
C1orf122,0.42787874
MTF1,0.04912411
INPP5B,0.02966673
SF3A3,0.15932381
FHL3,0.049255233
UTP11,0.14553204
RRAGC,0.0939553
MYCBP,0.086281046
RHBDL2,0.0013821325
AKIRIN1,0.3371065
NDUFS5,1.3253272
MACF1,0.45525447
PABPC4,0.23397735
HEYL,0.048481546
PPIE,0.17110348
TRIT1,0.046507522
MFSD2A,0.009846182
CAP1,0.3800857
PPT1,0.28899586
RLF,0.119201526
ZMPSTE24-DT,0.059405252
ZMPSTE24,0.21746394
COL9A2,0.07075231
SMAP2,0.084868096
ZNF684,0.054360885
RIMS3,0.00514584
NFYC,0.16891536
CITED4,0.2791809
CTPS1,0.02923378
SCMH1,0.054843545
HIVEP3,0.03718846
FOXJ3,0.11189364
PPCS,0.33655864
CCDC30,0.026915165
PPIH,0.14017662
YBX1,1.1832246
