,3613
LINC01409,0.09685065
NOC2L,0.1451447
PERM1,0.0004336705
ENSG00000272512,0.0041440814
HES4,0.032502793
ISG15,0.052852143
AGRN,0.15481253
RNF223,0.009441091
C1orf159,0.1383118
TNFRSF18,0.00047449357
TNFRSF4,0.0083087385
SDF4,0.12077835
B3GALT6,0.009634127
UBE2J2,0.14392923
ACAP3,0.06068741
PUSL1,0.008234326
INTS11,0.13963771
CPTP,0.022868805
DVL1,0.051589977
MXRA8,0.012068225
AURKAIP1,0.1024093
CCNL2,0.2368708
MRPL20,0.15325071
VWA1,0.054240923
ATAD3A,0.056600098
SSU72,0.15977474
SSU72-AS1,0.012952212
FNDC10,0.0035738135
ENSG00000272106,0.0048592538
MIB2,0.095487595
MMP23B,0.008679604
CDK11B,0.120123304
SLC35E2B,0.1402845
CDK11A,0.08872041
SLC35E2A,0.11745435
NADK,0.10676506
GNB1,0.70550555
GABRD,0.00040611546
PRKCZ,0.16816743
FAAP20,0.10225728
SKI,0.4098946
RER1,0.13474323
PEX10,0.07038285
PANK4,0.020812273
HES5,0.0007828675
ENSG00000272449,0.013423574
TNFRSF14-AS1,0.04368222
TNFRSF14,0.091727145
PRXL2B,0.03095739
MMEL1,0.0104993265
PRDM16,0.48354974
ENSG00000272235,0.0018484311
ARHGEF16,0.09642502
MEGF6,0.029638365
TPRG1L,0.031977683
WRAP73,0.03159246
SMIM1,0.0061529204
LRRC47,0.049841978
CEP104,0.13073508
DFFB,0.053798843
C1orf174,0.024540007
NPHP4,0.087679714
KCNAB2,0.05582709
RPL22,0.11042954
ICMT,0.05721613
ACOT7,0.0652689
TNFRSF25,0.04399479
PLEKHG5,0.049124885
NOL9,0.11569614
ZBTB48,0.061207816
KLHL21,0.06837794
PHF13,0.019053372
THAP3,0.03964409
DNAJC11,0.24554062
CAMTA1,0.62081796
VAMP3,0.05057032
PER3,0.25813472
PARK7,0.26525867
ERRFI1,0.24552639
RERE,1.682043
ENO1,0.42330328
GPR157,0.078950725
MIR34AHG,0.24556428
H6PD,0.1557059
SPSB1,0.1329645
SLC25A33,0.33033404
PIK3CD,0.071059525
CLSTN1,0.33536902
CTNNBIP1,0.12402537
LZIC,0.11667275
NMNAT1,0.15912953
RBP7,0.021900913
UBE4B,0.49972406
KIF1B,0.78427017
PGD,0.03830269
CENPS,0.0
DFFA,0.08802526
PEX14,0.33252227
CASZ1,0.2779456
TARDBP,0.0036898565
SRM,0.06399412
EXOSC10,0.08135137
MTOR,0.2897647
UBIAD1,0.05865197
FBXO2,0.0873213
FBXO44,0.05771522
FBXO6,0.03753978
MAD2L2,0.01880801
AGTRAP,0.052693635
C1orf167,0.008788708
MTHFR,0.08926208
CLCN6,0.1258035
KIAA2013,0.056007445
PLOD1,0.10420756
MFN2,0.09906518
MIIP,0.024784392
TNFRSF1B,0.08184209
VPS13D,0.9330703
DHRS3,0.8809567
PDPN,0.022608243
PRDM2,0.5373118
KAZN,1.9980807
TMEM51,0.4763638
FHAD1,0.049101096
EFHD2,0.04138015
CASP9,0.13288485
DNAJC16,0.1556311
DDI2,0.2714242
PLEKHM2,0.21208298
SLC25A34,0.019676834
FBLIM1,0.2681061
SPEN-AS1,0.061639246
SPEN,0.564559
ZBTB17,0.05117672
SRARP,0.001831342
HSPB7,0.031264447
EPHA2,0.13338763
CPLANE2,0.010311686
FBXO42,0.63536346
SZRD1,0.13838549
NECAP2,0.09631336
NBPF1,0.12295776
CROCC,0.37018064
ENSG00000238142,0.021085871
MFAP2,0.009442188
ATP13A2,0.09677637
SDHB,0.16684036
PADI2,0.04726861
PADI4,0.003928286
RCC2,0.104076944
ARHGEF10L,0.7520469
IGSF21,0.011088538
ALDH4A1,0.0
IFFO2,0.0764877
UBR4,0.38288614
EMC1,0.07213475
MRTO4,0.04105567
AKR7A3,0.022154165
AKR7A2,0.08594793
SLC66A1,0.021489136
CAPZB,0.590995
MICOS10,0.0
NBL1,0.027261179
TMCO4,0.46999422
OTUD3,0.0704637
PLA2G5,0.0012830754
CAMK2N1,0.24964847
MUL1,0.028371327
CDA,0.04485224
PINK1,0.087008886
PINK1-AS,0.017457236
DDOST,0.088471144
KIF17,0.034837287
HP1BP3,0.4230155
EIF4G3,1.556484
ECE1,0.41813782
NBPF3,0.054734018
ALPL,0.037687235
USP48,0.41805512
HSPG2,0.8153387
CDC42,0.4215068
WNT4,0.08332611
ZBTB40,0.13175143
C1QA,0.021723224
C1QC,0.018125284
C1QB,0.040389206
EPHB2,0.10318678
KDM1A,0.26773652
LUZP1,0.40952784
HNRNPR,0.3730869
ZNF436,0.014928123
TCEA3,0.11566881
ASAP3,0.21852078
ID3,0.1939655
RPL11,0.40708026
ELOA,0.06664473
PITHD1,0.09274658
LYPLA2,0.042357948
GALE,0.08388664
HMGCL,0.116785206
FUCA1,0.12698698
PNRC2,0.09131061
SRSF10,0.3076804
STPG1,0.13961744
NIPAL3,0.38744602
RCAN3,0.16165054
SRRM1,0.26345548
CLIC4,0.7790522
RUNX3,0.011426267
SYF2,0.11948264
RSRP1,0.35100198
TMEM50A,0.13632226
MACO1,0.1953599
LDLRAP1,0.06302488
MAN1C1,0.31880283
ENSG00000233478,0.13825084
SELENON,0.045313593
MTFR1L,0.045712356
PAQR7,0.074808516
STMN1,0.06630688
PAFAH2,0.07549222
PDIK1L,0.03584419
FAM110D,0.008456284
ZNF593OS,0.0
ZNF593,0.02936629
CEP85,0.057243656
SH3BGRL3,0.0867445
UBXN11,0.039005045
CD52,0.004780574
DHDDS,0.14361258
HMGN2,0.11261343
RPS6KA1,0.064474285
ARID1A,0.35068423
PIGV,0.03073766
ZDHHC18,0.048855815
SFN,0.04558468
GPN2,0.06395042
GPATCH3,0.01454214
NUDC,0.1702698
KDF1,0.01834127
TRNP1,0.040072817
SLC9A1,0.19434652
WDTC1,0.18448511
TMEM222,0.08088563
SYTL1,0.047975
MAP3K6,0.032349113
FCN3,0.00743511
CD164L2,0.00051127805
WASF2,0.5194989
AHDC1,0.22824626
FGR,0.024252905
IFI6,0.0974647
FAM76A,0.1599283
STX12,0.5483117
PPP1R8,0.07441268
THEMIS2,0.015732547
RPA2,0.10020644
XKR8,0.013853902
EYA3,0.5093769
PTAFR,0.032869384
DNAJC8,0.09413719
ATP5IF1,0.1772327
ENSG00000270605,0.015575072
MED18,0.018810408
PHACTR4,0.81957155
RCC1,0.10635923
TRNAU1AP,0.19559668
SNHG12,0.033628657
TAF12,0.20149054
RAB42,0.0059643863
GMEB1,0.14515437
YTHDF2,0.17909293
EPB41,0.46823862
TMEM200B,0.008050091
SRSF4,0.4658038
MECR,0.13750084
PTPRU,0.12526877
LAPTM5,0.02260355
SDC3,0.02985234
PUM1,0.9757985
NKAIN1,0.0055045313
SNRNP40,0.18506433
ZCCHC17,0.22306114
FABP3,0.013048447
SERINC2,0.2785349
TINAGL1,0.48263267
PEF1,0.07492474
COL16A1,0.07569648
PTP4A2,0.21114443
KHDRBS1,0.29983458
TMEM39B,0.05925238
KPNA6,0.33795387
TXLNA,0.08169298
